Code,Entity,Unit,Method,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
GDPPCP[8],Albania,Thousand 2011$,SSP4,11.8,12.07,12.36,12.65,12.96,13.27,13.58,13.91,14.25,14.61,14.98,15.36,15.74,16.13,16.53,16.93,17.34,17.75,18.18,18.61,19.05,19.51,19.97,20.43,20.91,21.39,21.88,22.37,22.86,23.36,23.86,24.36,24.86,25.38,25.9,26.42,26.95,27.5,28.05,28.62,29.19,29.78,30.37,30.97,31.59,32.21,32.83,33.47,34.1,34.74,35.39,36.04,36.7,37.37,38.05,38.74,39.45,40.17,40.89,41.64,42.39,43.15,43.93,44.71,45.5,46.29,47.09,47.9,48.72,49.55,50.39,51.24,52.1,52.98,53.86,54.76,55.67,56.59,57.52,58.47,59.42,60.39,61.37,62.36
GDPPCP[9],Albania,Thousand 2011$,SSP5,11.8,12.09,12.41,12.77,13.15,13.57,14.03,14.53,15.07,15.65,16.28,16.94,17.66,18.41,19.2,20.03,20.9,21.8,22.71,23.65,24.61,25.58,26.58,27.59,28.63,29.68,30.75,31.82,32.91,34,35.09,36.19,37.3,38.43,39.57,40.72,41.89,43.08,44.28,45.51,46.75,48.02,49.3,50.6,51.91,53.25,54.59,55.95,57.3,58.65,60,61.35,62.71,64.07,65.44,66.82,68.21,69.63,71.06,72.52,74,75.51,77.05,78.62,80.22,81.85,83.51,85.2,86.94,88.7,90.51,92.36,94.24,96.17,98.13,100.1,102.2,104.3,106.4,108.6,110.9,113.2,115.6,118.1
GDPPCP[1],Algeria,Thousand 2011$,IF,13.82,13.63,13.45,12.48,12.7,12.7,12.78,12.75,12.75,12.76,12.77,12.79,12.82,12.87,12.92,12.98,13.06,13.14,13.22,13.3,13.39,13.47,13.55,13.63,13.7,13.78,13.85,13.93,14.02,14.1,14.19,14.28,14.37,14.48,14.62,14.76,14.91,15.07,15.24,15.38,15.48,15.63,15.75,15.88,15.99,16.09,16.19,16.29,16.38,16.48,16.58,16.67,16.75,16.83,16.9,16.96,17.02,17.07,17.12,17.18,17.24,17.33,17.43,17.54,17.64,17.76,17.87,17.99,18.11,18.25,18.39,18.55,18.71,18.9,19.09,19.3,19.52,19.75,19.99,20.24,20.5,20.76,21.04,21.33
GDPPCP[5],Algeria,Thousand 2011$,SSP1,13.82,14.21,14.63,15.09,15.58,16.1,16.65,17.22,17.8,18.4,19.02,19.64,20.27,20.89,21.52,22.14,22.76,23.38,23.99,24.61,25.22,25.83,26.47,27.13,27.82,28.54,29.3,30.08,30.89,31.73,32.6,33.51,34.44,35.4,36.39,37.41,38.46,39.54,40.65,41.8,42.97,44.18,45.43,46.72,48.04,49.4,50.79,52.2,53.62,55.04,56.47,57.91,59.35,60.79,62.24,63.69,65.14,66.59,68.05,69.52,71,72.49,73.98,75.49,76.99,78.51,80.04,81.58,83.13,84.7,86.28,87.88,89.5,91.14,92.79,94.46,96.15,97.85,99.57,101.3,103.1,104.8,106.6,108.4
GDPPCP[6],Algeria,Thousand 2011$,SSP2,13.82,14.2,14.61,15.04,15.49,15.96,16.44,16.93,17.41,17.88,18.35,18.8,19.23,19.64,20.01,20.36,20.69,21,21.3,21.58,21.86,22.13,22.41,22.7,23.02,23.35,23.71,24.09,24.5,24.94,25.41,25.9,26.43,26.98,27.55,28.16,28.79,29.44,30.13,30.85,31.59,32.37,33.17,34.01,34.88,35.79,36.72,37.67,38.64,39.63,40.64,41.66,42.7,43.76,44.82,45.91,47,48.11,49.23,50.36,51.51,52.68,53.85,55.04,56.25,57.47,58.71,59.96,61.23,62.52,63.83,65.16,66.51,67.88,69.27,70.68,72.12,73.57,75.04,76.54,78.05,79.57,81.11,82.65
GDPPCP[7],Algeria,Thousand 2011$,SSP3,13.82,14.19,14.58,14.98,15.39,15.8,16.22,16.62,17.01,17.38,17.72,18.04,18.32,18.56,18.75,18.91,19.02,19.1,19.14,19.16,19.14,19.09,19.04,18.99,18.94,18.9,18.86,18.83,18.82,18.83,18.86,18.91,18.97,19.05,19.14,19.26,19.39,19.53,19.7,19.88,20.07,20.28,20.51,20.75,21.01,21.28,21.56,21.86,22.16,22.46,22.77,23.08,23.4,23.72,24.04,24.37,24.7,25.03,25.36,25.69,26.02,26.35,26.68,27.01,27.34,27.67,27.99,28.32,28.65,28.99,29.33,29.67,30.02,30.37,30.73,31.09,31.46,31.84,32.22,32.6,32.99,33.38,33.78,34.18
GDPPCP[8],Algeria,Thousand 2011$,SSP4,13.82,14.2,14.61,15.04,15.5,15.97,16.46,16.96,17.47,17.97,18.47,18.96,19.43,19.87,20.29,20.69,21.05,21.39,21.7,21.99,22.25,22.49,22.73,22.99,23.25,23.53,23.83,24.15,24.5,24.88,25.29,25.74,26.22,26.72,27.26,27.83,28.42,29.06,29.72,30.42,31.14,31.91,32.7,33.53,34.39,35.28,36.21,37.15,38.11,39.08,40.07,41.08,42.09,43.12,44.17,45.22,46.29,47.37,48.46,49.57,50.7,51.84,52.99,54.15,55.33,56.52,57.72,58.94,60.19,61.45,62.73,64.04,65.37,66.72,68.1,69.5,70.92,72.37,73.84,75.33,76.83,78.36,79.89,81.43
GDPPCP[9],Algeria,Thousand 2011$,SSP5,13.82,14.21,14.64,15.12,15.65,16.22,16.83,17.49,18.18,18.9,19.67,20.46,21.28,22.12,22.98,23.86,24.76,25.67,26.59,27.5,28.43,29.37,30.34,31.35,32.4,33.5,34.63,35.81,37.03,38.3,39.62,40.98,42.39,43.85,45.35,46.9,48.51,50.17,51.89,53.67,55.51,57.41,59.38,61.43,63.54,65.72,67.97,70.26,72.59,74.95,77.34,79.76,82.22,84.7,87.22,89.76,92.33,94.94,97.59,100.3,103,105.8,108.6,111.5,114.4,117.3,120.3,123.4,126.5,129.6,132.9,136.1,139.5,142.9,146.4,150,153.6,157.3,161.1,165,168.9,172.9,176.9,181
GDPPCP[1],Angola,Thousand 2011$,IF,6.045,5.778,5.631,5.304,5.176,5.181,5.263,5.37,5.417,5.455,5.497,5.542,5.593,5.652,5.719,5.792,5.883,5.975,6.077,6.188,6.297,6.419,6.546,6.681,6.822,6.974,7.122,7.288,7.45,7.626,7.799,7.981,8.167,8.356,8.553,8.751,8.953,9.16,9.372,9.59,9.815,10.06,10.31,10.57,10.84,11.12,11.41,11.71,12.01,12.32,12.64,12.96,13.29,13.63,13.97,14.32,14.67,15.03,15.39,15.76,16.13,16.51,16.88,17.26,17.63,18.02,18.41,18.8,19.2,19.59,19.97,20.35,20.73,21.14,21.53,21.95,22.35,22.77,23.17,23.59,24,24.42,24.82,25.24
GDPPCP[5],Angola,Thousand 2011$,SSP1,6.045,6.271,6.472,6.642,6.778,6.874,6.943,7.004,7.068,7.134,7.202,7.27,7.333,7.389,7.441,7.493,7.547,7.612,7.693,7.789,7.903,8.036,8.19,8.367,8.567,8.792,9.042,9.318,9.621,9.951,10.31,10.69,11.1,11.54,12.01,12.5,13.01,13.56,14.13,14.73,15.36,16.01,16.69,17.4,18.13,18.89,19.68,20.49,21.32,22.17,23.05,23.95,24.87,25.82,26.78,27.76,28.77,29.79,30.83,31.89,32.96,34.06,35.17,36.29,37.43,38.58,39.75,40.93,42.13,43.34,44.56,45.79,47.04,48.3,49.57,50.86,52.15,53.46,54.77,56.09,57.42,58.76,60.09,61.44
