Code,Entity,Unit,Method,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
MFPTOT[5],WB Low Middle Income,Percent,SSP1,1.595,1.484,1.699,1.799,1.879,1.85,1.801,1.788,1.8,1.8,1.79,1.769,1.737,1.695,1.651,1.603,1.553,1.509,1.462,1.417,1.374,1.339,1.299,1.262,1.229,1.196,1.158,1.124,1.097,1.069,1.046,1.023,0.997,0.977,0.954,0.933,0.916,0.905,0.878,0.852,0.836,0.817,0.798,0.786,0.772,0.756,0.74,0.73,0.72,0.699,0.684,0.678,0.664,0.644,0.628,0.61,0.592,0.573,0.561,0.545,0.53,0.518,0.497,0.479,0.457,0.442,0.422,0.404,0.388,0.367,0.331,0.262,-0.202,-0.384,-0.57,-0.421,-0.386,-0.345,-0.316,-0.29,-0.264,-0.232,-0.219,-0.202
MFPTOT[6],WB Low Middle Income,Percent,SSP2,1.595,1.498,1.714,1.805,1.876,1.839,1.795,1.783,1.801,1.809,1.809,1.804,1.79,1.77,1.75,1.726,1.705,1.68,1.65,1.62,1.589,1.57,1.553,1.538,1.529,1.515,1.501,1.485,1.473,1.455,1.44,1.428,1.414,1.404,1.388,1.373,1.361,1.352,1.341,1.328,1.322,1.317,1.312,1.314,1.312,1.311,1.313,1.319,1.322,1.329,1.34,1.355,1.361,1.366,1.37,1.371,1.369,1.371,1.375,1.374,1.374,1.377,1.378,1.378,1.377,1.382,1.382,1.387,1.384,1.38,1.372,1.368,1.357,1.348,1.339,1.327,1.32,1.314,1.301,1.285,1.268,1.254,1.228,1.177
MFPTOT[7],WB Low Middle Income,Percent,SSP3,1.595,1.514,1.731,1.809,1.864,1.817,1.768,1.749,1.759,1.761,1.759,1.753,1.738,1.719,1.7,1.672,1.652,1.637,1.62,1.609,1.59,1.579,1.566,1.557,1.551,1.543,1.531,1.523,1.518,1.51,1.502,1.495,1.482,1.474,1.459,1.446,1.431,1.424,1.409,1.393,1.382,1.369,1.358,1.352,1.345,1.336,1.327,1.323,1.312,1.304,1.294,1.286,1.273,1.262,1.252,1.237,1.222,1.206,1.194,1.178,1.165,1.158,1.146,1.136,1.123,1.118,1.102,1.093,1.078,1.066,1.042,1.027,1.005,0.989,0.969,0.955,0.941,0.931,0.916,0.907,0.886,0.872,0.846,0.83
MFPTOT[8],WB Low Middle Income,Percent,SSP4,1.595,1.498,1.68,1.751,1.798,1.74,1.678,1.647,1.645,1.637,1.623,1.603,1.578,1.546,1.515,1.474,1.437,1.394,1.348,1.302,1.254,1.214,1.182,1.155,1.138,1.113,1.09,1.066,1.044,1.017,0.994,0.974,0.949,0.931,0.903,0.882,0.854,0.831,0.806,0.78,0.759,0.736,0.715,0.702,0.686,0.669,0.655,0.645,0.631,0.621,0.612,0.608,0.586,0.577,0.569,0.558,0.551,0.549,0.551,0.544,0.536,0.532,0.525,0.519,0.514,0.512,0.509,0.511,0.511,0.51,0.504,0.501,0.494,0.469,0.42,0.418,0.416,0.417,0.408,0.409,0.414,0.432,0.432,0.424
MFPTOT[9],WB Low Middle Income,Percent,SSP5,1.595,1.482,1.695,1.792,1.868,1.831,1.763,1.737,1.734,1.711,1.684,1.645,1.591,1.527,1.458,1.392,1.332,1.271,1.2,1.141,1.084,1.037,0.989,0.945,0.906,0.863,0.819,0.777,0.745,0.711,0.684,0.668,0.63,0.597,0.561,0.525,0.489,0.459,0.423,0.387,0.339,0.303,0.279,0.256,0.225,0.21,0.184,0.164,0.141,0.117,0.093,0.068,0.017,-0.002,-0.031,-0.066,-0.1,-0.142,-0.223,-0.233,-0.628,-0.435,-0.451,-0.467,-0.484,-0.504,-0.528,-0.566,-0.691,-1.407,-1.304,-1.281,-1.407,-1.364,-1.434,-1.308,-1.267,-1.231,-1.202,-1.18,-1.234,-1.193,-1.346,-1.441
MFPTOT[5],WB Upper Middle Income,Percent,SSP1,1.468,1.326,1.449,1.464,1.48,1.386,1.289,1.227,1.182,1.142,1.097,1.051,0.999,0.948,0.891,0.845,0.809,0.756,0.71,0.669,0.627,0.593,0.556,0.525,0.491,0.487,0.48,0.48,0.453,0.428,0.41,0.402,0.392,0.376,0.361,0.349,0.335,0.319,0.304,0.287,0.274,0.26,0.245,0.234,0.224,0.22,0.213,0.212,0.214,0.217,0.223,0.231,0.218,0.211,0.198,0.185,0.178,0.163,0.151,0.132,0.119,0.098,0.076,0.057,0.03,0.002,-0.032,-0.063,-0.159,-0.226,-0.251,-0.279,-0.311,-0.348,-0.395,-0.442,-0.502,-0.573,-0.663,-0.781,-0.908,-1.079,-1.199,-1.233
MFPTOT[6],WB Upper Middle Income,Percent,SSP2,1.468,1.332,1.453,1.461,1.468,1.371,1.278,1.217,1.177,1.139,1.103,1.064,1.02,0.977,0.926,0.887,0.849,0.816,0.794,0.774,0.757,0.749,0.741,0.733,0.718,0.706,0.689,0.677,0.667,0.657,0.649,0.649,0.649,0.648,0.647,0.646,0.644,0.641,0.651,0.659,0.672,0.684,0.694,0.704,0.705,0.711,0.712,0.714,0.718,0.723,0.731,0.739,0.732,0.731,0.727,0.724,0.724,0.721,0.72,0.714,0.711,0.704,0.693,0.685,0.669,0.65,0.626,0.604,0.572,0.537,0.5,0.465,0.436,0.403,0.372,0.345,0.314,0.285,0.253,0.217,0.179,0.141,0.105,0.063
MFPTOT[7],WB Upper Middle Income,Percent,SSP3,1.468,1.34,1.461,1.461,1.462,1.362,1.271,1.209,1.165,1.126,1.084,1.04,0.992,0.953,0.907,0.871,0.837,0.809,0.793,0.78,0.768,0.762,0.757,0.76,0.761,0.767,0.765,0.768,0.774,0.779,0.785,0.8,0.814,0.829,0.845,0.865,0.885,0.904,0.925,0.944,0.966,0.982,0.997,1.014,1.028,1.043,1.056,1.073,1.088,1.107,1.126,1.148,1.156,1.171,1.182,1.192,1.208,1.219,1.236,1.247,1.266,1.281,1.295,1.314,1.327,1.337,1.345,1.351,1.347,1.337,1.323,1.307,1.293,1.274,1.258,1.247,1.238,1.234,1.231,1.225,1.225,1.227,1.228,1.229
MFPTOT[8],WB Upper Middle Income,Percent,SSP4,1.468,1.327,1.427,1.42,1.413,1.302,1.198,1.123,1.068,1.017,0.965,0.916,0.862,0.81,0.751,0.703,0.656,0.613,0.581,0.554,0.532,0.513,0.483,0.459,0.432,0.408,0.378,0.353,0.332,0.312,0.293,0.282,0.271,0.262,0.254,0.258,0.261,0.26,0.263,0.259,0.247,0.232,0.219,0.208,0.188,0.169,0.149,0.133,0.12,0.11,0.104,0.103,0.083,0.069,0.054,0.038,0.027,0.01,-0.005,-0.027,-0.044,-0.07,-0.103,-0.138,-0.183,-0.236,-0.298,-0.363,-0.441,-0.527,-0.674,-0.791,-0.888,-0.988,-1.117,-1.184,-1.198,-1.22,-1.25,-1.299,-1.38,-9.353,-25.82,-21.05
MFPTOT[9],WB Upper Middle Income,Percent,SSP5,1.468,1.325,1.447,1.457,1.47,1.365,1.251,1.178,1.123,1.065,1.011,0.951,0.883,0.815,0.758,0.685,0.608,0.536,0.474,0.419,0.374,0.367,0.357,0.312,0.266,0.221,0.179,0.145,0.105,0.065,0.03,0.004,-0.02,-0.043,-0.065,-0.085,-0.106,-0.127,-0.146,-0.169,-0.188,-0.21,-0.232,-0.252,-0.271,-0.286,-0.305,-0.318,-0.328,-0.338,-0.344,-0.351,-0.375,-0.398,-0.417,-0.44,-0.457,-0.481,-0.504,-0.56,-0.769,-0.769,-0.778,-0.781,-0.79,-0.799,-0.809,-0.817,-0.833,-0.865,-0.878,-0.906,-0.939,-0.985,-1.038,-1.098,-1.171,-1.254,-1.354,-1.47,-1.613,-1.763,-1.942,-1.997
MFPTOT[5],World,Percent,SSP1,0.911,0.86,0.971,1.026,1.156,1.14,1.115,1.121,1.144,1.167,1.182,1.19,1.191,1.19,1.181,1.174,1.169,1.154,1.139,1.129,1.115,1.103,1.088,1.073,1.056,1.052,1.044,1.039,1.023,1.006,0.995,0.985,0.973,0.959,0.944,0.93,0.915,0.902,0.885,0.868,0.855,0.843,0.831,0.821,0.812,0.804,0.795,0.789,0.785,0.777,0.772,0.771,0.758,0.746,0.731,0.717,0.704,0.686,0.673,0.656,0.642,0.627,0.608,0.592,0.572,0.552,0.527,0.497,0.461,0.428,0.4,0.359,0.159,0.059,-4.748,-0.027,-0.031,-0.037,-0.053,-0.077,-0.103,-0.136,-0.164,-0.171
MFPTOT[6],World,Percent,SSP2,0.911,0.862,0.962,1.002,1.118,1.089,1.057,1.053,1.071,1.09,1.1,1.108,1.11,1.111,1.105,1.103,1.099,1.097,1.098,1.102,1.107,1.113,1.118,1.122,1.122,1.12,1.116,1.114,1.114,1.11,1.109,1.111,1.113,1.116,1.117,1.116,1.115,1.113,1.117,1.119,1.124,1.129,1.136,1.142,1.145,1.149,1.151,1.156,1.159,1.164,1.171,1.18,1.18,1.181,1.18,1.178,1.178,1.175,1.174,1.171,1.169,1.166,1.162,1.159,1.152,1.146,1.138,1.13,1.118,1.104,1.087,1.074,1.06,1.047,1.032,1.018,0.994,0.989,0.972,0.953,0.933,0.914,0.889,0.853
MFPTOT[7],World,Percent,SSP3,0.911,0.855,0.94,0.959,1.052,1.004,0.957,0.938,0.939,0.942,0.938,0.932,0.92,0.911,0.897,0.888,0.877,0.871,0.869,0.87,0.872,0.875,0.877,0.879,0.881,0.884,0.882,0.884,0.887,0.889,0.893,0.902,0.909,0.919,0.927,0.935,0.942,0.951,0.96,0.967,0.977,0.984,0.992,1.001,1.009,1.017,1.023,1.033,1.039,1.049,1.057,1.069,1.07,1.076,1.079,1.081,1.085,1.084,1.084,1.088,1.093,1.096,1.098,1.102,1.106,1.105,1.104,1.097,1.089,1.075,1.058,1.039,1.025,1.004,0.988,0.97,0.959,0.943,0.932,0.913,0.889,0.784,0.773,0.759
MFPTOT[8],World,Percent,SSP4,0.911,0.857,0.944,0.974,1.079,1.041,0.999,0.985,0.991,1,1,0.998,0.992,0.985,0.972,0.962,0.95,0.934,0.922,0.913,0.905,0.896,0.885,0.875,0.865,0.852,0.837,0.823,0.811,0.797,0.786,0.778,0.771,0.766,0.76,0.758,0.754,0.75,0.747,0.741,0.733,0.722,0.715,0.709,0.699,0.689,0.678,0.671,0.664,0.659,0.656,0.658,0.645,0.639,0.632,0.624,0.62,0.612,0.607,0.597,0.59,0.579,0.565,0.552,0.533,0.511,0.486,0.461,0.432,0.399,0.339,0.295,0.257,0.214,0.149,0.123,0.117,0.108,0.093,0.072,0.042,-2.85,-8.801,-7.058
MFPTOT[9],World,Percent,SSP5,0.911,0.869,0.984,1.044,1.179,1.164,1.133,1.139,1.161,1.175,1.186,1.19,1.181,1.168,1.155,1.132,1.099,1.066,1.038,1.012,0.991,0.986,0.978,0.952,0.923,0.893,0.862,0.834,0.805,0.775,0.75,0.731,0.708,0.686,0.664,0.642,0.618,0.598,0.576,0.554,0.529,0.507,0.49,0.472,0.455,0.443,0.425,0.412,0.398,0.381,0.366,0.347,0.317,0.299,0.28,0.258,0.238,0.212,0.172,0.148,-0.058,0.006,-0.007,-0.017,-0.03,-0.045,-0.061,-0.082,-0.141,-0.467,-0.418,-0.421,-0.48,-0.484,-0.549,-0.554,-0.558,-0.566,-0.578,-0.603,-0.66,-0.683,-0.78,-0.837
