Scenario,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
EC-IAM 2012EMF27-Base-Conv,26821.2189,30035.2572,35155.2225,41106.8441,46973.0421,52903.0408,58563.7018,63940.6359,65953.7572,67009.2908,69492.2224
EC-IAM 2012EMF27-Base-EERE,26821.2189,30035.2572,33638.3432,36710.4179,38366.7641,39393.7908,39665.1923,38132.2936,35891.4077,33508.5303,30818.273
EC-IAM 2012EMF27-Base-FullTech,26821.2189,30035.2572,35091.3431,40900.4906,46076.3582,51303.5894,55714.1411,59687.053,59855.3876,59476.8352,62045.4845
EC-IAM 2012EMF27-Base-LimBio,26821.2189,30035.2572,35096.4817,40911.3581,46166.8335,51622.1028,56597.3781,61601.3067,61895.7132,62284.9115,64865.5749
EC-IAM 2012EMF27-Base-LimSW,26821.2189,30035.2572,35149.6125,41083.4393,46851.4649,52517.9342,57580.8603,62001.8132,63968.7304,64093.2102,66635.0885
EC-IAM 2012EMF27-Base-LimTech,26821.2189,30035.2572,35199.7584,41037.1413,47243.0331,53566.6618,59493.255,65567.8671,68435.2779,70851.3427,72639.1233
EC-IAM 2012EMF27-Base-LowEI,26821.2189,30035.2572,33641.3588,36729.3213,38404.9683,39317.0531,39430.415,37947.8601,35854.257,33529.2272,30848.4966
EC-IAM 2012EMF27-Base-NucOff,26821.2189,30035.2572,35039.4251,40824.9108,46272.9232,51666.825,55906.6948,60033.5147,60597.7611,61174.6156,63578.5532
EC-IAM 2012EMF27-FP-EERE,26821.2189,30035.2572,31396.4501,32077.075,31092.9763,29827.2768,30144.5892,28786.1026,25228.9204,21108.1285,17661.7875
EC-IAM 2012EMF27-FP-FullTech,26821.2189,30035.2572,32127.616,33774.5734,33426.6555,32505.4213,33573.8137,33426.2576,31921.9158,30372.2803,29572.5673
EC-IAM 2012EMF27-G8-EERE,26821.2189,30035.2572,27647.0507,25671.4602,21910.7268,17557.2868,14110.4935,12266.5257,11689.3437,10797.6019,10054.9145
EC-IAM 2012EMF27-G8-FullTech,26821.2189,30035.2572,28426.8716,25431.4068,23943.2733,21778.1475,18976.5315,18619.0784,17735.0109,17293.9885,16923.9534
GCAM 2.0AME 2.6 W/m2 OS,34374.027,36740.6684,34676.3673,33839.6442,24383.4226,13707.5531,5340.49864,841.77941,-2837.2181,-6954.3191,-11045.009
GCAM 2.0AME 3.7 W/m2 NTE,34374.027,36740.6684,37044.4283,39300.1739,36739.1915,25888.3145,19589.0211,17173.4706,14419.4188,13094.6632,12691.9007
GCAM 2.0AME CO2 price $10 (5% p.a.),34374.0227,36740.875,38773.7843,42709.6317,43902.2585,39950.1962,28409.5931,16040.5125,7553.77455,1732.33188,-2653.8141
GCAM 2.0AME CO2 price $30 (5% p.a.),34374.0227,36740.875,34239.3381,32464.3689,22179.4699,12241.0615,4366.49018,193.70147,-3441.8495,-7546.99,-11620.925
GCAM 2.0AME CO2 price $50 (5% p.a.),34374.0227,36740.875,30005.415,20796.4797,11508.9785,4438.2786,-148.34341,-3673.1231,-7384.7168,-11301.482,-14814.731
GCAM 2.0AME Reference,34723.0626,36872.7964,44108.6507,49715.4281,58190.5735,66907.2721,71100.7582,74470.3664,78077.6873,79804.7244,81995.9392
GCAM 3.0AMPERE2-450-Conv-HST,31473.4168,31550.977,41017.8972,45378.2565,14859.46,9948.19939,4671.20851,327.42929,-1806.8864,-3533.0911,-5098.3467
GCAM 3.0AMPERE2-450-Conv-LST,31473.4168,31550.977,37954.6466,38066.5174,16812.7992,11586.2828,5941.10071,1106.71747,-1147.3236,-2799.064,-4686.7942
GCAM 3.0AMPERE2-450-Conv-OPT,31473.4168,31550.977,33451.3966,27339.2965,19580.0413,13951.85,8006.17371,3222.34389,-249.88792,-2046.765,-4106.2275
GCAM 3.0AMPERE2-450-EERE-HST,31473.4013,31534.8393,40973.9073,45506.1273,22640.7656,13165.7701,1707.15286,-2536.8563,-4673.7384,-6194.7822,-8693.5932
GCAM 3.0AMPERE2-450-EERE-LST,31473.4013,31534.8393,37944.2881,38403.1178,24476.0515,15777.2407,3857.39113,-2649.6192,-4356.3043,-5765.2071,-8413.9462
GCAM 3.0AMPERE2-450-EERE-OPT,31473.0847,30757.7545,31376.7519,31040.7055,24783.7213,16986.2037,6390.72657,-1125.0957,-2192.4377,-3337.7429,-4083.7264
GCAM 3.0AMPERE2-450-FullTech-HST,31473.4013,31534.8393,40907.7633,45322.7733,44296.3135,34863.7627,18514.7914,337.14776,-18124.942,-36283.315,-56951.272
GCAM 3.0AMPERE2-450-FullTech-LST,31473.4013,31534.8393,37914.2741,37998.2097,43292.3765,35558.6082,20169.481,2605.20097,-16315.781,-34386.13,-55213.87
GCAM 3.0AMPERE2-450-FullTech-OPT,31473.4013,31534.8393,38867.0127,44615.9913,44197.3668,35175.4053,19030.7931,965.50333,-17616.049,-35699.151,-56683.191
GCAM 3.0AMPERE2-450-LimBio-HST,31473.4013,31534.952,40907.9289,45323.0401,14867.4815,10022.5388,4777.13842,291.89452,-1637.4323,-3623.1369,-5324.593
GCAM 3.0AMPERE2-450-LimBio-LST,31473.4013,31534.952,37914.4451,37997.2302,16818.4585,11625.1823,6072.04817,1236.86114,-1103.6387,-2975.9665,-4826.1639
GCAM 3.0AMPERE2-450-LimBio-OPT,31473.4013,31534.952,33487.8798,27904.1122,19479.2759,13796.9988,8055.49357,3246.64005,-302.98462,-2335.5693,-4062.9105
GCAM 3.0AMPERE2-450-LimSW-HST,31473.4168,31550.8689,41017.7278,45377.977,44807.938,35182.0582,18778.7422,489.9438,-18342.181,-37173.504,-57577.564
GCAM 3.0AMPERE2-450-LimSW-LST,31473.4168,31550.8689,37954.4655,38066.2408,43734.924,35959.6469,20627.0089,2920.44004,-16461.675,-35249.041,-56187.906
GCAM 3.0AMPERE2-450-LimSW-OPT,31473.4168,31550.8689,39126.188,45051.3915,44756.931,35470.8646,19243.8624,1038.80669,-17908.763,-36728.456,-57494.279
