"Year","High income","Low income","Lower-middle income","Upper-middle income"
2020,0.156575840595292,0.0755196186093112,0.433562338650653,0.334342202144744
2021,0.155524699302373,0.0768281966403587,0.43501229913105,0.332634804926218
2022,0.154476743574594,0.0781505889620652,0.436507381846159,0.330865285617182
2023,0.153437285012966,0.0794878042545904,0.438026394420124,0.329048516312321
2024,0.152412799534498,0.0808411171976654,0.439539835968713,0.327206247299123
2025,0.15140808241709,0.0822109570439714,0.441026006478898,0.325354954060041
2026,0.150425394792221,0.0835969109977168,0.442478693988651,0.323499000221411
2027,0.149464262600223,0.084997759483393,0.443901817817185,0.3216361600992
2028,0.148523297752479,0.0864120591702412,0.445296294670512,0.319768348406768
2029,0.147599848448704,0.0878380270916203,0.446665977205339,0.317896147254337
2030,0.146691810569594,0.0892742883184863,0.448013601460419,0.316020299651501
2031,0.145799275009742,0.0907199932540097,0.44933757807656,0.314143153659688
2032,0.144922596350845,0.0921747625389559,0.450635545619626,0.312267095490573
2033,0.144060153921467,0.093638300776364,0.451908805401543,0.310392739900627
2034,0.143209929864919,0.0951105565304987,0.453159374171441,0.308520139433141
2035,0.142370415718845,0.0965913543175113,0.454388761856297,0.306649468107347
2036,0.141540974860668,0.0980802148580054,0.455597493576589,0.304781316704737
2037,0.140721672589098,0.0995764961720107,0.456785265664106,0.302916565574785
2038,0.139912746699356,0.10107961209622,0.457951792051876,0.301055849152547
2039,0.139114721292417,0.102588936439229,0.45909651432832,0.299199827940034
2040,0.138328009816645,0.104103828804539,0.460219152190874,0.297349009187942
2041,0.137552642033271,0.105623808625008,0.461319702678195,0.295503846663526
2042,0.136788500589764,0.107148340608948,0.462398752560806,0.293664406240482
2043,0.136035659832561,0.108676656451163,0.463457334706278,0.291830349009998
2044,0.135294232799804,0.110207921664901,0.464496745419665,0.29000110011563
2045,0.134564366297948,0.11174143160254,0.465517919864714,0.288176282234798
2046,0.13384619438041,0.113276602894789,0.466521035394943,0.286356167329858
2047,0.133139981881129,0.11481302625378,0.467505904890835,0.284541086974256
2048,0.132446255394703,0.116350406248049,0.468472509377846,0.282730828979402
2049,0.131765649336699,0.117888530303928,0.469420726731592,0.280925093627781
2050,0.131098684556599,0.119427098742324,0.470350333982556,0.279123882718521
2051,0.13044563658563,0.120965620390565,0.471261224123995,0.27732751889981
2052,0.129806652729035,0.122503533961298,0.472153052309335,0.275536761000332
2053,0.129181947041869,0.124040373677674,0.473024951507735,0.273752727772723
2054,0.128571704585873,0.125575662023354,0.473875850921685,0.271976782469087
2055,0.127976088075119,0.127108883265928,0.474704840337007,0.270210188321946
2056,0.127395284314033,0.128639533946583,0.475511460951362,0.268453720788022
2057,0.126829472700886,0.130166989642005,0.476295378351181,0.266708159305929
2058,0.126278807289596,0.131690434352307,0.477055940725049,0.264974817633047
2059,0.125743435071684,0.13320895204134,0.477792445122764,0.263255167764213
2060,0.125223500742128,0.134721683616851,0.478504297618548,0.261550518022473
2061,0.124719038321823,0.136227907156582,0.479191417871101,0.259861636650494
2062,0.124230130326029,0.13772701420865,0.479853546882858,0.258189308582463
2063,0.123757031174476,0.139218295826756,0.480489817124181,0.256534855874587
2064,0.123300039434438,0.140701063202518,0.481099200098204,0.25489969726484
2065,0.12285931099079,0.142174619811411,0.481681136122776,0.253284933075024
2066,0.122434901747432,0.143638320452697,0.482235543650665,0.251691234149206
2067,0.122026622411491,0.145091476028748,0.482763122753653,0.250118778806108
2068,0.121634112170978,0.146533342644648,0.483265133079175,0.248567412105199
2069,0.121256875371041,0.147963154964773,0.483743284042105,0.247036685622081
2070,0.120894498794372,0.149380190237623,0.484199065979129,0.245526244988877
2071,0.120546748287991,0.150783815323774,0.484633110946614,0.244036325441621
2072,0.120213521564229,0.152173459595893,0.485045957669026,0.242567061170852
2073,0.119894613636791,0.153548553965262,0.48543899978617,0.241117832611777
2074,0.119589831111279,0.15490856935902,0.485813771625158,0.239687827904543
2075,0.119298955542489,0.156252983550498,0.48617155812039,0.238276502786623
2076,0.119021788128749,0.157581292722076,0.486513178240245,0.23688374090893
2077,0.118758083560784,0.158892956594698,0.486839069562555,0.235509890281963
2078,0.118507568205105,0.160187367144508,0.487149610899461,0.234155453750926
2079,0.118269950193406,0.161463907418395,0.487444987645666,0.232821154742532
2080,0.11804496041752,0.162722022071038,0.487725425772979,0.231507591738463
2081,0.117832421079169,0.163961351903197,0.487991321620666,0.230214905396969
2082,0.117632124011946,0.165181570152521,0.488243104631418,0.228943201204115
2083,0.117443781870577,0.16638221531188,0.488480987436817,0.227693015380726
2084,0.117267085615507,0.167562814740063,0.488705109982168,0.226464989662261
2085,0.117101786410498,0.168722995191406,0.488915611897733,0.225259606500363
2086,0.116947692570999,0.169862553637973,0.489113000226468,0.224076753564561
2087,0.116804723461473,0.170981418685415,0.489297527555112,0.222916330298
2088,0.116672816151338,0.172079618835457,0.489468846200679,0.221778718812526
2089,0.116552000900712,0.173157270472988,0.489626373177161,0.220664355449139
2090,0.116442258336344,0.174214525911519,0.489769912918842,0.219573302833295
2091,0.116343539805966,0.175251554879424,0.489899814280372,0.218505091034238
2092,0.116255745081378,0.176268542948677,0.490016922042007,0.217458789927938
2093,0.116178775955159,0.177265704489075,0.490122411435178,0.216433108120587
2094,0.116112506917245,0.178243332594687,0.490217614811106,0.215426545676962
2095,0.116056880565966,0.179201790978969,0.490303799471274,0.214437528983791
2096,0.116011844120558,0.180141551171047,0.490382172909824,0.21346443179857
2097,0.115977399986004,0.181063174789116,0.490453805368295,0.212505619856585
