SCENARIO,Path,Year,CO2intensity
SSP3-45-SSP2pop,2-degree path,2040,0.1469096843036311
SSP3-45-SSP2pop,2-degree path,2041,NA
SSP3-45-SSP2pop,2-degree path,2042,NA
SSP3-45-SSP2pop,2-degree path,2043,NA
SSP3-45-SSP2pop,2-degree path,2044,NA
SSP3-45-SSP2pop,2-degree path,2045,NA
SSP3-45-SSP2pop,2-degree path,2046,NA
SSP3-45-SSP2pop,2-degree path,2047,NA
SSP3-45-SSP2pop,2-degree path,2048,NA
SSP3-45-SSP2pop,2-degree path,2049,NA
SSP3-45-SSP2pop,2-degree path,2050,0.07605963477634224
SSP3-45-SSP2pop,2-degree path,2051,NA
SSP3-45-SSP2pop,2-degree path,2052,NA
SSP3-45-SSP2pop,2-degree path,2053,NA
SSP3-45-SSP2pop,2-degree path,2054,NA
SSP3-45-SSP2pop,2-degree path,2055,NA
SSP3-45-SSP2pop,2-degree path,2056,NA
SSP3-45-SSP2pop,2-degree path,2057,NA
SSP3-45-SSP2pop,2-degree path,2058,NA
SSP3-45-SSP2pop,2-degree path,2059,NA
SSP3-45-SSP2pop,2-degree path,2060,0.03831741059564773
SSP3-45-SSP2pop,2-degree path,2061,NA
SSP3-45-SSP2pop,2-degree path,2062,NA
SSP3-45-SSP2pop,2-degree path,2063,NA
SSP3-45-SSP2pop,2-degree path,2064,NA
SSP3-45-SSP2pop,2-degree path,2065,NA
SSP3-45-SSP2pop,2-degree path,2066,NA
SSP3-45-SSP2pop,2-degree path,2067,NA
SSP3-45-SSP2pop,2-degree path,2068,NA
SSP3-45-SSP2pop,2-degree path,2069,NA
SSP3-45-SSP2pop,2-degree path,2070,0.018574594869205666
SSP3-45-SSP2pop,2-degree path,2071,NA
SSP3-45-SSP2pop,2-degree path,2072,NA
SSP3-45-SSP2pop,2-degree path,2073,NA
SSP3-45-SSP2pop,2-degree path,2074,NA
SSP3-45-SSP2pop,2-degree path,2075,NA
SSP3-45-SSP2pop,2-degree path,2076,NA
SSP3-45-SSP2pop,2-degree path,2077,NA
SSP3-45-SSP2pop,2-degree path,2078,NA
SSP3-45-SSP2pop,2-degree path,2079,NA
SSP3-45-SSP2pop,2-degree path,2080,0.00888201544162783
SSP3-45-SSP2pop,2-degree path,2081,NA
SSP3-45-SSP2pop,2-degree path,2082,NA
SSP3-45-SSP2pop,2-degree path,2083,NA
SSP3-45-SSP2pop,2-degree path,2084,NA
SSP3-45-SSP2pop,2-degree path,2085,NA
SSP3-45-SSP2pop,2-degree path,2086,NA
SSP3-45-SSP2pop,2-degree path,2087,NA
SSP3-45-SSP2pop,2-degree path,2088,NA
SSP3-45-SSP2pop,2-degree path,2089,NA
SSP3-45-SSP2pop,2-degree path,2090,0.004225290448915634
SSP3-45-SSP2pop,2-degree path,2091,NA
SSP3-45-SSP2pop,2-degree path,2092,NA
SSP3-45-SSP2pop,2-degree path,2093,NA
SSP3-45-SSP2pop,2-degree path,2094,NA
SSP3-45-SSP2pop,2-degree path,2095,NA
SSP3-45-SSP2pop,2-degree path,2096,NA
SSP3-45-SSP2pop,2-degree path,2097,NA
SSP3-45-SSP2pop,2-degree path,2098,NA
SSP3-45-SSP2pop,2-degree path,2099,NA
SSP3-45-SSP2pop,2-degree path,2100,0.0019945249268927797
SSP3-45-SSP2pop,1.5-degree path,2020,0.43425597824380574
SSP3-45-SSP2pop,1.5-degree path,2021,NA
SSP3-45-SSP2pop,1.5-degree path,2022,NA
SSP3-45-SSP2pop,1.5-degree path,2023,NA
SSP3-45-SSP2pop,1.5-degree path,2024,NA
SSP3-45-SSP2pop,1.5-degree path,2025,NA
SSP3-45-SSP2pop,1.5-degree path,2026,NA
SSP3-45-SSP2pop,1.5-degree path,2027,NA
SSP3-45-SSP2pop,1.5-degree path,2028,NA
SSP3-45-SSP2pop,1.5-degree path,2029,NA
SSP3-45-SSP2pop,1.5-degree path,2030,0.07056948781273925
SSP3-45-SSP2pop,1.5-degree path,2031,NA
SSP3-45-SSP2pop,1.5-degree path,2032,NA
SSP3-45-SSP2pop,1.5-degree path,2033,NA
SSP3-45-SSP2pop,1.5-degree path,2034,NA
SSP3-45-SSP2pop,1.5-degree path,2035,NA
SSP3-45-SSP2pop,1.5-degree path,2036,NA
SSP3-45-SSP2pop,1.5-degree path,2037,NA
SSP3-45-SSP2pop,1.5-degree path,2038,NA
SSP3-45-SSP2pop,1.5-degree path,2039,NA
SSP3-45-SSP2pop,1.5-degree path,2040,0.005746671483018455
SSP3-45-SSP2pop,1.5-degree path,2041,NA
SSP3-45-SSP2pop,1.5-degree path,2042,NA
SSP3-45-SSP2pop,1.5-degree path,2043,NA
SSP3-45-SSP2pop,1.5-degree path,2044,NA
SSP3-45-SSP2pop,1.5-degree path,2045,NA
SSP3-45-SSP2pop,1.5-degree path,2046,NA
SSP3-45-SSP2pop,1.5-degree path,2047,NA
SSP3-45-SSP2pop,1.5-degree path,2048,NA
SSP3-45-SSP2pop,1.5-degree path,2049,NA
SSP3-45-SSP2pop,1.5-degree path,2050,4.046889717348285e-4
SSP3-45-SSP2pop,1.5-degree path,2051,NA
SSP3-45-SSP2pop,1.5-degree path,2052,NA
SSP3-45-SSP2pop,1.5-degree path,2053,NA
SSP3-45-SSP2pop,1.5-degree path,2054,NA
SSP3-45-SSP2pop,1.5-degree path,2055,NA
SSP3-45-SSP2pop,1.5-degree path,2056,NA
SSP3-45-SSP2pop,1.5-degree path,2057,NA
SSP3-45-SSP2pop,1.5-degree path,2058,NA
SSP3-45-SSP2pop,1.5-degree path,2059,NA
SSP3-45-SSP2pop,1.5-degree path,2060,2.6842121748557814e-5
SSP3-45-SSP2pop,1.5-degree path,2061,NA
SSP3-45-SSP2pop,1.5-degree path,2062,NA
SSP3-45-SSP2pop,1.5-degree path,2063,NA
SSP3-45-SSP2pop,1.5-degree path,2064,NA
SSP3-45-SSP2pop,1.5-degree path,2065,NA
