ModelScenario,SSPscenario,RCPScenario,Marker,CumulativeCO2post2010,"Cumulative CO2 emissions (2010-2100, thousand Gt)"
MESSAGE-GLOBIOM SSP3-34,SSP3,RCP3.4,Non-marker,1913230.8604930951,1.9132308604930952
MESSAGE-GLOBIOM SSP3-45,SSP3,RCP4.5,Non-marker,2729127.431630703,2.7291274316307033
MESSAGE-GLOBIOM SSP3-60,SSP3,RCP6.0,Non-marker,4283418.124416516,4.283418124416516
MESSAGE-GLOBIOM SSP3-Baseline,SSP3,Baseline,Non-marker,7492549.731113833,7.492549731113833
REMIND-MAGPIE SSP1-19,SSP1,RCP1.9,Non-marker,543779.5417144379,0.5437795417144379
REMIND-MAGPIE SSP1-26,SSP1,RCP2.6,Non-marker,1373239.7566318088,1.3732397566318089
REMIND-MAGPIE SSP1-34,SSP1,RCP3.4,Non-marker,2218318.440890769,2.218318440890769
REMIND-MAGPIE SSP1-45,SSP1,RCP4.5,Non-marker,2902099.8645696314,2.902099864569631
REMIND-MAGPIE SSP1-Baseline,SSP1,Baseline,Non-marker,3440686.3189841085,3.4406863189841084
REMIND-MAGPIE SSP2-19,SSP2,RCP1.9,Non-marker,381322.7505181862,0.3813227505181862
REMIND-MAGPIE SSP2-26,SSP2,RCP2.6,Non-marker,1285505.193008028,1.285505193008028
REMIND-MAGPIE SSP2-34,SSP2,RCP3.4,Non-marker,2162501.6488674292,2.1625016488674293
REMIND-MAGPIE SSP2-45,SSP2,RCP4.5,Non-marker,3069191.0514467196,3.0691910514467198
REMIND-MAGPIE SSP2-60,SSP2,RCP6.0,Non-marker,4294028.4715700755,4.294028471570075
REMIND-MAGPIE SSP2-Baseline,SSP2,Baseline,Non-marker,5454047.412277846,5.454047412277846
REMIND-MAGPIE SSP5-19,SSP5,RCP1.9,Non-marker,429962.7252078613,0.4299627252078613
REMIND-MAGPIE SSP5-26,SSP5,RCP2.6,Non-marker,1312097.6217883255,1.3120976217883256
