MODEL,SCENARIO,REGION,scenariotype,Database,tolerance,variable,growth0520,growth0550,divergence0519
MESSAGE V.4,AMPERE2-450-LimSW-HST,World,Policy,AR5,0.1%/y tolerance 2005-2019,co2ffi,1.460273966348744,-1.9730678889892734,-0.07527439514349621
MESSAGE V.4,AMPERE2-450-NucOff-HST,World,Policy,AR5,0.1%/y tolerance 2005-2019,co2ffi,1.4533822281823205,-1.9197227679047502,-0.08216613330991973
MESSAGE V.4,AMPERE2-550-FullTech-HST,World,Policy,AR5,0.1%/y tolerance 2005-2019,co2ffi,1.4561514290805515,0.2154836722891002,-0.07939693241168877
POLES AMPERE,AMPERE3-450P-CE,World,Policy,AR5,0.1%/y tolerance 2005-2019,co2ffi,1.5481381793043762,-1.627978374936458,0.012589817812135973
POLES AMPERE,AMPERE3-550,World,Policy,AR5,0.1%/y tolerance 2005-2019,co2ffi,1.5889846195593667,-0.29274857741568167,0.053436258067126374
POLES AMPERE,AMPERE3-RefP-CEback,World,Policy,AR5,0.1%/y tolerance 2005-2019,co2ffi,1.5481381793043762,1.0611158692060405,0.012589817812135973
POLES EMF27,EMF27-G8-FullTech,World,Policy,AR5,0.1%/y tolerance 2005-2019,co2ffi,1.4587955866704878,-0.9933409479366715,-0.07675277482175247
POLES-AME,AME CO2 price $10 (5% p.a.),World,Policy,AR5,0.1%/y tolerance 2005-2019,co2ffi,1.5000444144024054,0.6853435648072193,-0.03550394708983484
REMIND 1.2,450CO2os-DEF,World,Policy,AR5,0.1%/y tolerance 2005-2019,co2ffi,1.5951303308630571,-0.6884061583532346,0.059581969370816834
REMIND 1.4,ROSE 550 DEF,World,Policy,AR5,0.1%/y tolerance 2005-2019,co2ffi,1.5321603895640006,-0.3576718630668512,-0.003387971928239697
REMIND 1.4,ROSE 550 FS Gr,World,Policy,AR5,0.1%/y tolerance 2005-2019,co2ffi,1.5573414452582195,-0.37542962919542017,0.021793083765979215
REMIND 1.4,ROSE 550 FS Gr SL Con,World,Policy,AR5,0.1%/y tolerance 2005-2019,co2ffi,1.4393421095172816,-0.32140289999325944,-0.09620625197495869
REMIND 1.4,ROSE 550 HI Coal,World,Policy,AR5,0.1%/y tolerance 2005-2019,co2ffi,1.5335617191301765,-0.37921086716716146,-0.0019866423620638063
REMIND 1.4,ROSE 550 HI Gas,World,Policy,AR5,0.1%/y tolerance 2005-2019,co2ffi,1.481190527211839,-0.40627877722283834,-0.054357834280401196
REMIND 1.4,ROSE 550 LO Oil,World,Policy,AR5,0.1%/y tolerance 2005-2019,co2ffi,1.4635462084197808,-0.497512555634698,-0.0720021530724595
REMIND 1.4,ROSE 550 SL Gr,World,Policy,AR5,0.1%/y tolerance 2005-2019,co2ffi,1.4998797243547557,-0.3398842100212186,-0.03566863713748458
REMIND 1.5,AMPERE2-550-FullTech-OPT,World,Policy,AR5,0.1%/y tolerance 2005-2019,co2ffi,1.5486553790420032,0.1522186168223685,0.013107017549762956
REMIND 1.5,AMPERE2-550-LowEI-OPT,World,Policy,AR5,0.1%/y tolerance 2005-2019,co2ffi,1.473774925255024,0.1698188472473087,-0.061773436237216206
REMIND 1.5,AMPERE2-550-NucOff-OPT,World,Policy,AR5,0.1%/y tolerance 2005-2019,co2ffi,1.5371801966896352,0.16346080579319042,0.0016318351973949596
REMIND 1.5,AMPERE3-CF550,World,Policy,AR5,0.1%/y tolerance 2005-2019,co2ffi,1.5410313231058954,0.16439900334685909,0.005482961613655135
REMIND 1.5,EMF27-G8-FullTech,World,Policy,AR5,0.1%/y tolerance 2005-2019,co2ffi,1.626009085016887,-1.489726088496314,0.09046072352464662
TIAM-ECN,LIMITS-500,World,Policy,AR5,0.1%/y tolerance 2005-2019,co2ffi,1.5939416366538595,-0.670825531779392,0.058393275161619185
TIAM-ECN,LIMITS-RefPol-500,World,Policy,AR5,0.1%/y tolerance 2005-2019,co2ffi,1.6092566309193046,-0.6665421551456537,0.07370826942706432
TIAM-ECN,LIMITS-RefPol2030-500,World,Policy,AR5,0.1%/y tolerance 2005-2019,co2ffi,1.573093010236235,-0.7598654250296535,0.03754464874399477
TIAM-World_Mar2012,AME 3.7 W/m2 NTE,World,Policy,AR5,0.1%/y tolerance 2005-2019,co2ffi,1.5443936708143842,0.5485444329327175,0.00884530932214389
TIMES-VTT-2011,AME Reference,World,Baseline,AR5,0.1%/y tolerance 2005-2019,co2ffi,1.4839881863255993,1.2496557780722581,-0.05156017516664102
WITCH_AMPERE,AMPERE2-450-LowEI-LST,World,Policy,AR5,0.1%/y tolerance 2005-2019,co2ffi,1.6323995713310542,-2.4100562680049324,0.0968512098388139
WITCH_AMPERE,AMPERE2-550-LowEI-OPT,World,Policy,AR5,0.1%/y tolerance 2005-2019,co2ffi,1.4914608806475016,-0.39354691466221603,-0.04408748084473868
WITCH_AMPERE,AMPERE2-550-NoCCS-OPT,World,Policy,AR5,0.1%/y tolerance 2005-2019,co2ffi,1.541913744963234,-0.3834049943778852,0.006365383470993802
WITCH_EMF27,EMF27-550-EERE,World,Policy,AR5,0.1%/y tolerance 2005-2019,co2ffi,1.5994608355351048,-0.3090620419267825,0.06391247404286449
WITCH_EMF27,EMF27-550-LowEI,World,Policy,AR5,0.1%/y tolerance 2005-2019,co2ffi,1.549196762345512,-0.3255954467655226,0.013648400853271792
WITCH_ROSE,ROSE 550 DEF,World,Policy,AR5,0.1%/y tolerance 2005-2019,co2ffi,1.4559731277827364,0.22801660730516618,-0.07957523370950392
WITCH_ROSE,ROSE 550 FS Gr,World,Policy,AR5,0.1%/y tolerance 2005-2019,co2ffi,1.504398749570252,0.22354235231792943,-0.031149611921988285
WITCH_ROSE,ROSE 550 FS Gr SL Con,World,Policy,AR5,0.1%/y tolerance 2005-2019,co2ffi,1.5075713664352246,0.17842431483602736,-0.027976995057015674
WITCH_ROSE,ROSE WEAK-POL FS Gr SL Con,World,Policy,AR5,0.1%/y tolerance 2005-2019,co2ffi,1.6293396075069804,1.2584842848395381,0.09379124601474009
WorldScan2,AMPERE3-Base,World,Baseline,AR5,0.1%/y tolerance 2005-2019,co2ffi,1.577427533906679,1.6602198062504707,0.041879172414438726
BET 1.5,EMF27-550-FullTech,World,Policy,AR5,0.1%/y tolerance 2005-2019,population,1.0850124630652402,0.7972064103043606,-0.09137041663727019
BET 1.5,EMF27-550-LowEI,World,Policy,AR5,0.1%/y tolerance 2005-2019,population,1.0850124630652402,0.7972064103043606,-0.09137041663727019
EC-IAM 2012,EMF27-Base-EERE,World,Baseline,AR5,0.1%/y tolerance 2005-2019,population,1.07536777800334,0.7559498736925442,-0.1010151016991705
EC-IAM 2012,EMF27-Base-LowEI,World,Baseline,AR5,0.1%/y tolerance 2005-2019,population,1.07536777800334,0.7559498736925442,-0.1010151016991705
FARM_3.0,EMF27-Base-EERE,World,Baseline,AR5,0.1%/y tolerance 2005-2019,population,1.0859883653644076,0.7975538353003407,-0.09039451433810286
FARM_3.0,EMF27-Base-LowEI,World,Baseline,AR5,0.1%/y tolerance 2005-2019,population,1.0859883653644076,0.7975538353003407,-0.09039451433810286
GCAM 3.0,AMPERE2-450-LowEI-OPT,World,Policy,AR5,0.1%/y tolerance 2005-2019,population,1.0879234908634434,0.7981774190179417,-0.08845938883906701
GCAM 3.0,AMPERE2-550-EERE-OPT,World,Policy,AR5,0.1%/y tolerance 2005-2019,population,1.0879234908634434,0.7981774190179417,-0.08845938883906701
GCAM 3.0,EMF27-G8-FullTech,World,Policy,AR5,0.1%/y tolerance 2005-2019,population,1.0971341184524992,0.7198342501473063,-0.07924876125001123
