MODEL,SCENARIO,REGION,VARIABLE,UNIT,2005,2020,2050,growth0520,growth0550,divergence0519,divergence0520,divergence0550steps,divergence0550aps,scenariotype,Database,absdivergence0519,absdivergence0520,absdivergence0550steps,absdivergence0550aps,tolerance01in2005to2019,tolerance01in2005to2020,tolerance01in2005to2050steps,tolerance01in2005to2050aps,tolerance03in2005to2019,tolerance03in2005to2020,tolerance03in2005to2050steps,tolerance03in2005to2050aps
AIM-Enduse 12.1,EMF27-450-Conv,World,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,29048.11737010795,31158.831000939103,12451.068732270305,0.467626864143836,-1.8825493633005013,-1.0679214973484044,-0.6120916605789617,-2.2259404522081003,-1.132339442874767,Policy,AR5,1.0679214973484044,0.6120916605789617,2.2259404522081003,1.132339442874767,N,N,N,N,N,N,N,N
AIM-Enduse 12.1,EMF27-450-EERE,World,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,29048.11737010798,30888.94825936031,12688.466565621839,0.4096318917135851,-1.840578307219604,-1.1259164697786552,-0.6700866330092126,-2.1839693961272033,-1.0903683867938698,Policy,AR5,1.1259164697786552,0.6700866330092126,2.1839693961272033,1.0903683867938698,N,N,N,N,N,N,N,N
AIM-Enduse 12.1,EMF27-450-FullTech,World,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,29048.11737010797,29357.72475565492,12217.282872788723,0.07068020922593139,-1.9246713255043069,-1.464868152266309,-1.0090383154968663,-2.268062414411906,-1.1744614050785727,Policy,AR5,1.464868152266309,1.0090383154968663,2.268062414411906,1.1744614050785727,N,N,N,N,N,N,N,N
AIM-Enduse 12.1,EMF27-450-LimBio,World,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,29048.11737010797,31159.00413400294,12232.721866014623,0.46766390716443357,-1.9218648738277642,-1.0678844543278068,-0.6120546175583641,-2.2652559627353632,-1.17165495340203,Policy,AR5,1.0678844543278068,0.6120546175583641,2.2652559627353632,1.17165495340203,N,N,N,N,N,N,N,N
AIM-Enduse 12.1,EMF27-450-LimSW,World,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,29048.11737010795,31158.803369751335,12435.192049960579,0.4676209522403951,-1.8853847849284557,-1.0679274092518451,-0.6120975724824025,-2.228775873836055,-1.1351748645027215,Policy,AR5,1.0679274092518451,0.6120975724824025,2.228775873836055,1.1351748645027215,N,N,N,N,N,N,N,N
AIM-Enduse 12.1,EMF27-450-LowEI,World,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,29048.11737010797,30889.930699062996,12243.29877842806,0.409843925280029,-1.9199442796582982,-1.1257044362122113,-0.6698745994427686,-2.2633353685658975,-1.169734359232564,Policy,AR5,1.1257044362122113,0.6698745994427686,2.2633353685658975,1.169734359232564,N,N,N,N,N,N,N,N
AIM-Enduse 12.1,EMF27-450-NoCCS,World,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,29048.11737010797,31159.0237880266,12743.98597383173,0.4676681122661937,-1.8308760059190572,-1.0678802492260466,-0.612050412456604,-2.1742670948266563,-1.080666085493323,Policy,AR5,1.0678802492260466,0.612050412456604,2.1742670948266563,1.080666085493323,N,N,N,N,N,N,N,N
AIM-Enduse 12.1,EMF27-450-NucOff,World,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,29048.11737010798,31209.579594343824,12213.79685704882,0.4784760753861761,-1.9253054932760505,-1.0570722861060642,-0.6012424493366215,-2.2686965821836496,-1.1750955728503163,Policy,AR5,1.0570722861060642,0.6012424493366215,2.2686965821836496,1.1750955728503163,N,N,N,N,N,N,N,N
AIM-Enduse 12.1,EMF27-550-Conv,World,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,29048.11737010795,35108.2107151265,24460.157680228927,1.2632090130847,-0.38201799548972243,-0.27233934840754026,0.1834904883619024,-0.7254090843973215,0.36819192493601177,Policy,AR5,0.27233934840754026,0.1834904883619024,0.7254090843973215,0.36819192493601177,N,N,N,N,Y,Y,N,N
AIM-Enduse 12.1,EMF27-550-EERE,World,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,29048.11737010798,33385.51325632174,24696.348159641704,0.927789309271129,-0.36066286610126574,-0.6077590522211113,-0.1519292154516686,-0.7040539550088649,0.38954705432446846,Policy,AR5,0.6077590522211113,0.1519292154516686,0.7040539550088649,0.38954705432446846,N,N,N,N,N,Y,N,N
