MODEL,SCENARIO,REGION,scenariotype,Database,tolerance,variable,growth0520,growth0550,divergence0550aps
DNE21 V.12,AMPERE2-450-FullTech-OPT,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,population,1.0741164650310253,0.7914466393539578,-0.09389412484032345
DNE21 V.12,AMPERE2-450-LowEI-OPT,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,population,1.0741164650310253,0.7914466393539578,-0.09389412484032345
DNE21 V.12,AMPERE2-450-NucOff-OPT,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,population,1.0741164650310253,0.7914466393539578,-0.09389412484032345
DNE21 V.12,AMPERE2-550-FullTech-HST,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,population,1.0741164650310253,0.7914466393539578,-0.09389412484032345
DNE21 V.12,AMPERE3-450P-EU,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,population,1.0741164650310253,0.7914466393539578,-0.09389412484032345
EC-IAM 2012,EMF27-550-LowEI,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,population,1.07536777800334,0.7559498736925442,-0.12939089050173702
GCAM 3.0,EMF27-450-FullTech,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,population,1.0971341184524992,0.7198342501473063,-0.16550651404697492
GCAM 3.1,LIMITS-450,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,population,1.0971341184524992,0.7198342501473063,-0.16550651404697492
GCAM 3.1,LIMITS-RefPol-450,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,population,1.0971341184524992,0.7198342501473063,-0.16550651404697492
GCAM 3.1,LIMITS-RefPol-450-EE,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,population,1.0971341184524992,0.7198342501473063,-0.16550651404697492
GCAM 3.1,LIMITS-RefPol-450-PC,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,population,1.0971341184524992,0.7198342501473063,-0.16550651404697492
GCAM 3.1,LIMITS-StrPol-450,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,population,1.0971341184524992,0.7198342501473063,-0.16550651404697492
GRAPE_ver1998,AME CO2 price $50 (5% p.a.),World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,population,1.0854948156803108,0.763819747759812,-0.12152101643446922
IMACLIM v1.1,EMF27-550-Conv,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,population,1.000280153696463,0.7671556999199246,-0.1181850642743566
IMACLIM v1.1,EMF27-550-EERE,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,population,1.000280153696463,0.7671556999199246,-0.1181850642743566
IMACLIM v1.1,EMF27-550-LimBio,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,population,1.000280153696463,0.7671556999199246,-0.1181850642743566
IMACLIM v1.1,EMF27-550-NoCCS,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,population,1.000280153696463,0.7671556999199246,-0.1181850642743566
IMAGE 2.4,EMF27-550-LowEI,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,population,1.0901467367378004,0.7504432549714934,-0.13489750922278776
IMAGE 2.4,EMF27-550-NoCCS,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,population,1.0901467367378004,0.7504432549714934,-0.13489750922278776
IMAGE 2.4,EMF27-550-NucOff,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,population,1.0901467367378004,0.7504432549714934,-0.13489750922278776
IMAGE 2.4,LIMITS-RefPol2030-500,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,population,1.0901467367378004,0.7504432549714934,-0.13489750922278776
MARIA23_org,AME 3.7 W/m2 NTE,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,population,0.9832411019779622,0.678645361745684,-0.2066954024485972
MERGE-ETL_2011,AMPERE3-450P-CE,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,population,1.0389789845490682,0.7815958086203483,-0.10374495557393293
Phoenix 2012.4,EMF27-450-EERE,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,population,1.152130618533569,0.7741607578201956,-0.11118000637408565
POLES-AME,AME CO2 price $50 (5% p.a.),World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,population,1.0950434538129745,0.7556934848307151,-0.12964727936356613
REMIND 1.2,450CO2-IC+CHN+IND,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,population,1.0857879359604776,0.7648599610728724,-0.12048080312140885
REMIND 1.2,450CO2os-DEF,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,population,1.0857879359604776,0.7648599610728724,-0.12048080312140885
REMIND 1.5,AMPERE3-450P-CE,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,population,1.0901358959245637,0.7999899293707102,-0.08535083482357098
REMIND 1.5,AMPERE3-450P-EU,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,population,1.0901358959245637,0.7999899293707102,-0.08535083482357098
TIAM-ECN,LIMITS-500,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,population,1.0878176840187,0.7871158236008924,-0.09822494059338882
TIAM-ECN,LIMITS-RefPol-500,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,population,1.0878176840187,0.7871158236008924,-0.09822494059338882
TIAM-ECN,LIMITS-RefPol2030-500,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,population,1.0878176840187,0.7871158236008924,-0.09822494059338882
WorldScan2,AMPERE3-450,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,population,1.0178453862126702,0.8333681725214603,-0.05197259167282087
WorldScan2,AMPERE3-CF450,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,population,1.0178453862126702,0.8333681725214603,-0.05197259167282087
AIM-Enduse[Backcast] 1.0,LIMITS-450,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,pcgdp,2.0746300782301454,2.13845716219118,0.22641373263352071
DNE21 V.12,AMPERE2-450-FullTech-OPT,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,pcgdp,2.084260925586167,2.142310745916522,0.23026731635886288
DNE21 V.12,AMPERE2-450-LowEI-OPT,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,pcgdp,2.084260925586167,2.142310745916522,0.23026731635886288
DNE21 V.12,AMPERE2-450-NucOff-OPT,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,pcgdp,2.084260925586167,2.142310745916522,0.23026731635886288
DNE21 V.12,AMPERE2-550-FullTech-HST,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,pcgdp,2.084260925586167,2.142310745916522,0.23026731635886288
DNE21 V.12,AMPERE3-450P-EU,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,pcgdp,2.084260925586167,2.142310745916522,0.23026731635886288
EC-IAM 2012,EMF27-550-LowEI,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,pcgdp,1.2794870932566362,1.679220279202036,-0.23282315035562307
GCAM 3.0,EMF27-450-FullTech,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,pcgdp,1.2903633411584419,1.729791232738166,-0.18225219681949323
GCAM 3.1,LIMITS-450,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,pcgdp,1.2903633411584419,1.729791232738166,-0.18225219681949323
GCAM 3.1,LIMITS-RefPol-450,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,pcgdp,1.2903633411584419,1.729791232738166,-0.18225219681949323
GCAM 3.1,LIMITS-RefPol-450-EE,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,pcgdp,1.2903633411584419,1.729791232738166,-0.18225219681949323
GCAM 3.1,LIMITS-RefPol-450-PC,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,pcgdp,1.2903633411584419,1.729791232738166,-0.18225219681949323
GCAM 3.1,LIMITS-StrPol-450,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,pcgdp,1.2903633411584419,1.729791232738166,-0.18225219681949323
GRAPE_ver1998,AME CO2 price $50 (5% p.a.),World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,pcgdp,1.8671594960932818,1.914772810157888,0.00272938060022887
IMACLIM v1.1,EMF27-550-Conv,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,pcgdp,NA,NA,NA
IMACLIM v1.1,EMF27-550-EERE,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,pcgdp,NA,NA,NA
IMACLIM v1.1,EMF27-550-LimBio,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,pcgdp,NA,NA,NA
IMACLIM v1.1,EMF27-550-NoCCS,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,pcgdp,NA,NA,NA
IMAGE 2.4,EMF27-550-LowEI,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,pcgdp,1.9791706759985437,2.3251531450506526,0.41310971549299347
IMAGE 2.4,EMF27-550-NoCCS,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,pcgdp,1.9791706759985437,2.3251531450506526,0.41310971549299347
IMAGE 2.4,EMF27-550-NucOff,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,pcgdp,1.9791706759985437,2.3251531450506526,0.41310971549299347
IMAGE 2.4,LIMITS-RefPol2030-500,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,pcgdp,1.9791706759985437,2.3251531450506526,0.41310971549299347
MARIA23_org,AME 3.7 W/m2 NTE,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,pcgdp,1.6798911573450446,1.7657087215727745,-0.14633470798488468
MERGE-ETL_2011,AMPERE3-450P-CE,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,pcgdp,2.104042765188403,2.133438362652499,0.22139493309483993
Phoenix 2012.4,EMF27-450-EERE,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,pcgdp,1.6571098711955776,2.179801063279806,0.267757633722147
POLES-AME,AME CO2 price $50 (5% p.a.),World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,pcgdp,1.9147546139540952,1.9826331053780146,0.07058967582035547
REMIND 1.2,450CO2-IC+CHN+IND,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,pcgdp,2.212050532470447,2.0210488915620632,0.10900546200440409
REMIND 1.2,450CO2os-DEF,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,pcgdp,2.2123294871805754,2.023640569157814,0.11159713960015494
REMIND 1.5,AMPERE3-450P-CE,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,pcgdp,2.09698425219468,2.141297227861515,0.22925379830385606
REMIND 1.5,AMPERE3-450P-EU,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,pcgdp,2.1160116704588106,2.1399018164282784,0.2278583868706192
TIAM-ECN,LIMITS-500,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,pcgdp,1.8346027589245157,1.9337037975610096,0.021660368003350472
TIAM-ECN,LIMITS-RefPol-500,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,pcgdp,1.8346027589245157,1.9337037975610096,0.021660368003350472
TIAM-ECN,LIMITS-RefPol2030-500,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,pcgdp,1.8346027589245157,1.9337037975610096,0.021660368003350472
WorldScan2,AMPERE3-450,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,pcgdp,1.6545054707719111,1.8234499545944711,-0.08859347496318803
WorldScan2,AMPERE3-CF450,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,pcgdp,1.657082087582348,1.825394146818482,-0.08664928273917716
AIM-Enduse[Backcast] 1.0,LIMITS-450,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,energyintensity,-2.1585571145699234,-1.5380131792377312,0.6040150977962746
DNE21 V.12,AMPERE2-450-FullTech-OPT,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,energyintensity,-1.61505591123228,-1.835618161249387,0.30641011578461885
DNE21 V.12,AMPERE2-450-LowEI-OPT,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,energyintensity,-1.8379877211063975,-2.3130361120163756,-0.17100783498236982
DNE21 V.12,AMPERE2-450-NucOff-OPT,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,energyintensity,-1.623543514701726,-1.7913756702522539,0.3506526067817519
DNE21 V.12,AMPERE2-550-FullTech-HST,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,energyintensity,-1.0937677432263784,-1.8785205486286218,0.26350772840538395
DNE21 V.12,AMPERE3-450P-EU,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,energyintensity,-1.3642839946000505,-1.9998767193480287,0.1421515576859771
EC-IAM 2012,EMF27-550-LowEI,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,energyintensity,-1.6208620890865433,-2.32533340464931,-0.18330512761530438
GCAM 3.0,EMF27-450-FullTech,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,energyintensity,-0.8825933130654562,-1.2585779625679372,0.8834503144660686
GCAM 3.1,LIMITS-450,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,energyintensity,-0.8668162770319772,-1.2335577447108608,0.908470532323145
