MODEL,SCENARIO,REGION,scenariotype,Database,tolerance,variable,growth0520,growth0550,divergence0520
BET 1.5,EMF27-550-LimBio,World,Policy,AR5,0.1%/y tolerance 2005-2020,co2ffi,0.9871419162371708,-0.38422567366777194,-0.09257660848562677
EC-IAM 2012,EMF27-FP-EERE,World,Policy,AR5,0.1%/y tolerance 2005-2020,co2ffi,1.0500100612110803,0.23606662025157574,-0.029708463511717298
FARM_3.0,EMF27-FP-FullTech,World,Policy,AR5,0.1%/y tolerance 2005-2020,co2ffi,1.0852365491397957,1.1001728094436123,0.005518024416998113
GCAM 3.0,EMF27-550-LowEI,World,Policy,AR5,0.1%/y tolerance 2005-2020,co2ffi,1.1308064090113608,-0.42521817031559944,0.051087884288563146
GCAM 3.0,ROSE 550 DEF,World,Policy,AR5,0.1%/y tolerance 2005-2020,co2ffi,1.1736795641942166,-1.7065189591878986,0.09396103947141898
GCAM 3.0,ROSE 550 FS Gr,World,Policy,AR5,0.1%/y tolerance 2005-2020,co2ffi,1.1553404719627025,-1.7617435976685019,0.0756219472399049
GCAM 3.0,ROSE 550 HI Gas,World,Policy,AR5,0.1%/y tolerance 2005-2020,co2ffi,1.1745618365248707,-1.7070642448591085,0.09484331180207306
GEM-E3-ICCS,AMPERE3-450P-CE,World,Policy,AR5,0.1%/y tolerance 2005-2020,co2ffi,1.0572497702347523,-1.2905884238446437,-0.022468754488045306
GEM-E3-ICCS,AMPERE3-550,World,Policy,AR5,0.1%/y tolerance 2005-2020,co2ffi,1.0985682155653482,0.07939322038523816,0.018849690842550615
GEM-E3-ICCS,AMPERE3-CF550,World,Policy,AR5,0.1%/y tolerance 2005-2020,co2ffi,1.098172428818079,0.07934971247854843,0.01845390409528136
GEM-E3-ICCS,AMPERE3-RefP-CEback,World,Policy,AR5,0.1%/y tolerance 2005-2020,co2ffi,1.0589240331659155,0.7905610420476863,-0.020794491556882067
GRAPE_ver1998,AME CO2 price $30 (5% p.a.),World,Policy,AR5,0.1%/y tolerance 2005-2020,co2ffi,1.1355830254998978,-0.23175429094700284,0.055864500777100146
IGSM,Level4,World,Policy,AR5,0.1%/y tolerance 2005-2020,co2ffi,1.1377114634614571,1.2500819527685971,0.057992938738659516
IMAGE 2.4,AME 2.6 W/m2 OS,World,Policy,AR5,0.1%/y tolerance 2005-2020,co2ffi,1.1193292574141367,-1.9487601800199292,0.03961073269133908
