Entity,Code,Year,"CO2 mitigation curves for 1.5C (Andrews & GCP, 2019)"
Start in 2000,,2033,13163472000
Start in 2000,,2034,12666346000
Start in 2000,,2035,12183018000
Start in 2000,,2036,11713536000
Start in 2000,,2037,11257897000
Start in 2000,,2038,10816056000
Start in 2000,,2039,10387923000
Start in 2000,,2040,9973377000
Start in 2000,,2041,9572264000
Start in 2000,,2042,9184405000
Start in 2000,,2043,8809595000
Start in 2000,,2044,8447609999.999999
Start in 2000,,2045,8098210999.999999
Start in 2000,,2046,7761141000
Start in 2000,,2047,7436134000
Start in 2000,,2048,7122912000
Start in 2000,,2049,6821191000
Start in 2000,,2050,6530680000
Start in 2000,,2051,6251084000
Start in 2000,,2052,5982105000
Start in 2000,,2053,5723442000
Start in 2000,,2054,5474797000
Start in 2000,,2055,5235870000
Start in 2000,,2056,5006361000
Start in 2000,,2057,4785976000
Start in 2000,,2058,4574423000
Start in 2000,,2059,4371410000
Start in 2000,,2060,4176655000
Start in 2000,,2061,3989876000
Start in 2000,,2062,3810798000
Start in 2000,,2063,3639152000
Start in 2000,,2064,3474673000
Start in 2000,,2065,3317103000
Start in 2000,,2066,3166190000
Start in 2000,,2067,3021687000
Start in 2000,,2068,2883356000
Start in 2000,,2069,2750962000
Start in 2000,,2070,2624280000
Start in 2000,,2071,2503089000
Start in 2000,,2072,2387176000
Start in 2000,,2073,2276333000
Start in 2000,,2074,2170359000
Start in 2000,,2075,2069061000
Start in 2000,,2076,1972250000
Start in 2000,,2077,1879744000
Start in 2000,,2078,1791367000
Start in 2000,,2079,1706950000
Start in 2000,,2080,1626329000
Start in 2000,,2081,1549346000
Start in 2000,,2082,1475848000
Start in 2000,,2083,1405689000
Start in 2000,,2084,1338727000
Start in 2000,,2085,1274827000
Start in 2000,,2086,1213856000
Start in 2000,,2087,1155689000
Start in 2000,,2088,1100204000
Start in 2000,,2089,1047285999.9999999
Start in 2000,,2090,996821000
Start in 2000,,2091,948703000
Start in 2000,,2092,902829000
Start in 2000,,2093,859098000
Start in 2000,,2094,817415000
Start in 2000,,2095,777691000
Start in 2000,,2096,739836000
Start in 2000,,2097,703767000
Start in 2000,,2098,669404000
Start in 2000,,2099,636669000
Start in 2000,,2100,605489000
Start in 2001,,2001,29453605000
Start in 2001,,2002,29473156000
Start in 2001,,2003,29393106000
Start in 2001,,2004,29224841000
Start in 2001,,2005,28978771000
Start in 2001,,2006,28664397000
Start in 2001,,2007,28290387000
Start in 2001,,2008,27864637000
Start in 2001,,2009,27394333000
Start in 2001,,2010,26886004000
Start in 2001,,2011,26345577000
Start in 2001,,2012,25778424000
Start in 2001,,2013,25189404000
Start in 2001,,2014,24582906000
Start in 2001,,2015,23962886000
Start in 2001,,2016,23332904000
Start in 2001,,2017,22696154000
Start in 2001,,2018,22055498000
Start in 2001,,2019,21413489000
Start in 2001,,2020,20772400000
Start in 2001,,2021,20134247000
Start in 2001,,2022,19500812000
Start in 2001,,2023,18873662000
Start in 2001,,2024,18254167000
Start in 2001,,2025,17643521000
Start in 2001,,2026,17042753000.000002
Start in 2001,,2027,16452746000.000002
Start in 2001,,2028,15874249000
Start in 2001,,2029,15307888000
Start in 2001,,2030,14754180000
Start in 2001,,2031,14213541000
Start in 2001,,2032,13686301000
Start in 2001,,2033,13172704000
Start in 2001,,2034,12672924000
Start in 2001,,2035,12187072000
Start in 2001,,2036,11715196000
Start in 2001,,2037,11257296000
Start in 2001,,2038,10813325000
Start in 2001,,2039,10383194000
Start in 2001,,2040,9966780000
Start in 2001,,2041,9563927000
Start in 2001,,2042,9174452000
Start in 2001,,2043,8798149000
Start in 2001,,2044,8434790000
Start in 2001,,2045,8084130999.999999
Start in 2001,,2046,7745912000
Start in 2001,,2047,7419862000
Start in 2001,,2048,7105700000
Start in 2001,,2049,6803136000
Start in 2001,,2050,6511876000
Start in 2001,,2051,6231619000
Start in 2001,,2052,5962064000
Start in 2001,,2053,5702905000
Start in 2001,,2054,5453839000
Start in 2001,,2055,5214562000
Start in 2001,,2056,4984771000
Start in 2001,,2057,4764166000
Start in 2001,,2058,4552451000
Start in 2001,,2059,4349333000
Start in 2001,,2060,4154523000
Start in 2001,,2061,3967737000
Start in 2001,,2062,3788696000
Start in 2001,,2063,3617128000
Start in 2001,,2064,3452764000
Start in 2001,,2065,3295343000
Start in 2001,,2066,3144611000
Start in 2001,,2067,3000319000
Start in 2001,,2068,2862224000
Start in 2001,,2069,2730090000
Start in 2001,,2070,2603689000
Start in 2001,,2071,2482799000
Start in 2001,,2072,2367202000
Start in 2001,,2073,2256691000
Start in 2001,,2074,2151063000
Start in 2001,,2075,2050120999.9999998
Start in 2001,,2076,1953676000
Start in 2001,,2077,1861544000
Start in 2001,,2078,1773549000
Start in 2001,,2079,1689518000
Start in 2001,,2080,1609288000
Start in 2001,,2081,1532698000
Start in 2001,,2082,1459595000
Start in 2001,,2083,1389833000
Start in 2001,,2084,1323267000
Start in 2001,,2085,1259761000
Start in 2001,,2086,1199184000
Start in 2001,,2087,1141408000
Start in 2001,,2088,1086312000
Start in 2001,,2089,1033778000.0000001
Start in 2001,,2090,983695000
Start in 2001,,2091,935953000
Start in 2001,,2092,890449000
Start in 2001,,2093,847084000
Start in 2001,,2094,805761000
Start in 2001,,2095,766391000
Start in 2001,,2096,728884000
Start in 2001,,2097,693156000
Start in 2001,,2098,659128000
Start in 2001,,2099,626721000
Start in 2001,,2100,595861000
Start in 2002,,2002,30397202000
Start in 2002,,2003,30444587000
Start in 2002,,2004,30371069000
Start in 2002,,2005,30191345000
Start in 2002,,2006,29918764000
Start in 2002,,2007,29565432000
Start in 2002,,2008,29142319000
Start in 2002,,2009,28659347000
Start in 2002,,2010,28125486000
Start in 2002,,2011,27548825000
Start in 2002,,2012,26936653000
Start in 2002,,2013,26295522000
Start in 2002,,2014,25631313000
Start in 2002,,2015,24949294000
Start in 2002,,2016,24254169000
Start in 2002,,2017,23550135000
Start in 2002,,2018,22840918000
Start in 2002,,2019,22129821000
Start in 2002,,2020,21419762000
Start in 2002,,2021,20713303000
Start in 2002,,2022,20012690000
Start in 2002,,2023,19319879000
Start in 2002,,2024,18636561000
Start in 2002,,2025,17964190000
Start in 2002,,2026,17304007000
Start in 2002,,2027,16657056999.999998
Start in 2002,,2028,16024211000.000002
Start in 2002,,2029,15406182000
Start in 2002,,2030,14803543000
Start in 2002,,2031,14216740000
Start in 2002,,2032,13646105000
Start in 2002,,2033,13091870000
Start in 2002,,2034,12554177000
Start in 2002,,2035,12033089000
Start in 2002,,2036,11528599000
Start in 2002,,2037,11040635000
Start in 2002,,2038,10569075000
Start in 2002,,2039,10113747000
Start in 2002,,2040,9674438000
Start in 2002,,2041,9250902000
Start in 2002,,2042,8842860000
Start in 2002,,2043,8450010000.000001
Start in 2002,,2044,8072025000
Start in 2002,,2045,7708565000
Start in 2002,,2046,7359273000
Start in 2002,,2047,7023781000
Start in 2002,,2048,6701714000
Start in 2002,,2049,6392689000
Start in 2002,,2050,6096321000
Start in 2002,,2051,5812222000
Start in 2002,,2052,5540005000
Start in 2002,,2053,5279282000
Start in 2002,,2054,5029670000
Start in 2002,,2055,4790789000
Start in 2002,,2056,4562263000
Start in 2002,,2057,4343722000
Start in 2002,,2058,4134801999.9999995
Start in 2002,,2059,3935148000
Start in 2002,,2060,3744408000
Start in 2002,,2061,3562244000
Start in 2002,,2062,3388320000
Start in 2002,,2063,3222314000
Start in 2002,,2064,3063908000
Start in 2002,,2065,2912797000
Start in 2002,,2066,2768682000
Start in 2002,,2067,2631274000
Start in 2002,,2068,2500293000
Start in 2002,,2069,2375470000
Start in 2002,,2070,2256541000
Start in 2002,,2071,2143255000
Start in 2002,,2072,2035365999.9999998
Start in 2002,,2073,1932640000
Start in 2002,,2074,1834850000
Start in 2002,,2075,1741777000
Start in 2002,,2076,1653212000
Start in 2002,,2077,1568950000
Start in 2002,,2078,1488800000
Start in 2002,,2079,1412572000
Start in 2002,,2080,1340089000
Start in 2002,,2081,1271178000
Start in 2002,,2082,1205674000
Start in 2002,,2083,1143418000
Start in 2002,,2084,1084258000
Start in 2002,,2085,1028049999.9999999
Start in 2002,,2086,974654000
Start in 2002,,2087,923937000
Start in 2002,,2088,875771000
Start in 2002,,2089,830035000
Start in 2002,,2090,786611000
Start in 2002,,2091,745389000
Start in 2002,,2092,706261000
Start in 2002,,2093,669127000
Start in 2002,,2094,633888000
Start in 2002,,2095,600453000
Start in 2002,,2096,568732000
Start in 2002,,2097,538642000
Start in 2002,,2098,510101000
Start in 2002,,2099,483033000
Start in 2002,,2100,457365000
Start in 2003,,2003,31948771000
Start in 2003,,2004,32525002000
Start in 2003,,2005,32841271999.999996
Start in 2003,,2006,32932878000.000004
Start in 2003,,2007,32831319999.999996
Start in 2003,,2008,32564669000.000004
Start in 2003,,2009,32157897000
Start in 2003,,2010,31633188000
Start in 2003,,2011,31010211000
Start in 2003,,2012,30306370000
Start in 2003,,2013,29537032000
Start in 2003,,2014,28715734000
Start in 2003,,2015,27854370000
Start in 2003,,2016,26963357000
Start in 2003,,2017,26051791000
Start in 2003,,2018,25127586000
Start in 2003,,2019,24197597000
Start in 2003,,2020,23267732000
Start in 2003,,2021,22343062000
Start in 2003,,2022,21427902000
Start in 2003,,2023,20525903000
Start in 2003,,2024,19640124000
Start in 2003,,2025,18773099000
Start in 2003,,2026,17926898000
Start in 2003,,2027,17103183999.999998
Start in 2003,,2028,16303258000
Start in 2003,,2029,15528107000
Start in 2003,,2030,14778441000
Start in 2003,,2031,14054731000
Start in 2003,,2032,13357238000
Start in 2003,,2033,12686041000
Start in 2003,,2034,12041067000
Start in 2003,,2035,11422107000
Start in 2003,,2036,10828842000
Start in 2003,,2037,10260855000
Start in 2003,,2038,9717653000
Start in 2003,,2039,9198677000
Start in 2003,,2040,8703314000
Start in 2003,,2041,8230910000
Start in 2003,,2042,7780778000
Start in 2003,,2043,7352207000
Start in 2003,,2044,6944471000
Start in 2003,,2045,6556832000
Start in 2003,,2046,6188548000
Start in 2003,,2047,5838875000
Start in 2003,,2048,5507075000
Start in 2003,,2049,5192417000
Start in 2003,,2050,4894180000
Start in 2003,,2051,4611657000
Start in 2003,,2052,4344153000
Start in 2003,,2053,4090994000.0000005
Start in 2003,,2054,3851520000
Start in 2003,,2055,3625092000
Start in 2003,,2056,3411089000
Start in 2003,,2057,3208913000
Start in 2003,,2058,3017985000
Start in 2003,,2059,2837746000
Start in 2003,,2060,2667660000
Start in 2003,,2061,2507211000
Start in 2003,,2062,2355904000
Start in 2003,,2063,2213263000
Start in 2003,,2064,2078836000
Start in 2003,,2065,1952187000
Start in 2003,,2066,1832900000
Start in 2003,,2067,1720580000
Start in 2003,,2068,1614849000
Start in 2003,,2069,1515346000
Start in 2003,,2070,1421729000
Start in 2003,,2071,1333670000
Start in 2003,,2072,1250860000
Start in 2003,,2073,1173005000
Start in 2003,,2074,1099823000
Start in 2003,,2075,1031050999.9999999
Start in 2003,,2076,966435000
Start in 2003,,2077,905738000
Start in 2003,,2078,848732000
Start in 2003,,2079,795205000
Start in 2003,,2080,744952000
Start in 2003,,2081,697783000
Start in 2003,,2082,653517000
Start in 2003,,2083,611982000
Start in 2003,,2084,573016000
Start in 2003,,2085,536466000
Start in 2003,,2086,502187999.99999994
Start in 2003,,2087,470046000
Start in 2003,,2088,439912000
Start in 2003,,2089,411664000
Start in 2003,,2090,385188000
Start in 2003,,2091,360377000
Start in 2003,,2092,337129000
Start in 2003,,2093,315348000
Start in 2003,,2094,294945000
