Entity,Code,Year,"CO2 mitigation curves for 2C (Andrews & GCP, 2019)"
Start in 2002,,2011,29786907000
Start in 2002,,2012,29563124000
Start in 2002,,2013,29316623000
Start in 2002,,2014,29049337000
Start in 2002,,2015,28763090000
Start in 2002,,2016,28459602000
Start in 2002,,2017,28140492000
Start in 2002,,2018,27807285000
Start in 2002,,2019,27461418000
Start in 2002,,2020,27104239000
Start in 2002,,2021,26737018000
Start in 2002,,2022,26360946000
Start in 2002,,2023,25977144000
Start in 2002,,2024,25586660000
Start in 2002,,2025,25190479000
Start in 2002,,2026,24789522000
Start in 2002,,2027,24384652000
Start in 2002,,2028,23976674000
Start in 2002,,2029,23566343000
Start in 2002,,2030,23154360000
Start in 2002,,2031,22741381000
Start in 2002,,2032,22328016000
Start in 2002,,2033,21914831000
Start in 2002,,2034,21502355000
Start in 2002,,2035,21091074000
Start in 2002,,2036,20681440000
Start in 2002,,2037,20273873000
Start in 2002,,2038,19868757000
Start in 2002,,2039,19466448000
Start in 2002,,2040,19067271000
Start in 2002,,2041,18671525000
Start in 2002,,2042,18279484000
Start in 2002,,2043,17891396000
Start in 2002,,2044,17507488000
Start in 2002,,2045,17127965000
Start in 2002,,2046,16753010000
Start in 2002,,2047,16382788999.999998
Start in 2002,,2048,16017450000
Start in 2002,,2049,15657123000
Start in 2002,,2050,15301923000
Start in 2002,,2051,14951949000
Start in 2002,,2052,14607289000
Start in 2002,,2053,14268014000
Start in 2002,,2054,13934187000
Start in 2002,,2055,13605855000
Start in 2002,,2056,13283057000
Start in 2002,,2057,12965823000
Start in 2002,,2058,12654172000
Start in 2002,,2059,12348115000
Start in 2002,,2060,12047654000
Start in 2002,,2061,11752784000
Start in 2002,,2062,11463493000
Start in 2002,,2063,11179764000
Start in 2002,,2064,10901572000
Start in 2002,,2065,10628888000
Start in 2002,,2066,10361676000
Start in 2002,,2067,10099898000
Start in 2002,,2068,9843509000
Start in 2002,,2069,9592461000
Start in 2002,,2070,9346705000
Start in 2002,,2071,9106184000
Start in 2002,,2072,8870841000
Start in 2002,,2073,8640617000
Start in 2002,,2074,8415448000
Start in 2002,,2075,8195270000.000001
Start in 2002,,2076,7980016000
Start in 2002,,2077,7769618000
Start in 2002,,2078,7564006000
Start in 2002,,2079,7363109000
Start in 2002,,2080,7166854000
Start in 2002,,2081,6975168000
Start in 2002,,2082,6787978000
Start in 2002,,2083,6605208000
Start in 2002,,2084,6426784000
Start in 2002,,2085,6252630000
Start in 2002,,2086,6082671000
Start in 2002,,2087,5916830000
Start in 2002,,2088,5755033000
Start in 2002,,2089,5597203000
Start in 2002,,2090,5443265000
Start in 2002,,2091,5293144000
Start in 2002,,2092,5146765000
Start in 2002,,2093,5004053000
Start in 2002,,2094,4864935000
Start in 2002,,2095,4729337000
Start in 2002,,2096,4597186000
Start in 2002,,2097,4468411000
Start in 2002,,2098,4342940000
Start in 2002,,2099,4220702000
