"Year","High income","Low income","Lower-middle income","Upper-middle income"
2020,37.4361559504915,1.40614471932278,5.92952811704086,12.7079561049658
2021,37.7845767587318,1.46460183556206,6.18060736117388,13.1429039259675
2022,38.1256153935652,1.52562339322593,6.44091573908753,13.5859803951251
2023,38.4593220118841,1.58934445526119,6.71060266228817,14.0369311582229
2024,38.7856959743944,1.65590148404999,6.9898006912263,14.4954414874902
2025,39.1046172300018,1.7254365848122,7.27862630034741,14.9611753632917
2026,39.4161118079643,1.79809759731558,7.57717842220915,15.4337765903174
2027,39.7202370675309,1.87403816818073,7.88553723596044,15.9128700332496
2028,40.0170577696663,1.95341780106426,8.20376301255424,16.3980629619122
2029,40.3066455261527,2.03640188184627,8.53189502914812,16.8889464948655
2030,40.5890782630036,2.12316167580408,8.86995056496129,17.385097129518
2031,40.8644396994443,2.21387429362869,9.2179239904895,17.8860783461095
2032,41.1328188435096,2.30872262303633,9.57578596142799,18.3914422723774
2033,41.3943095051245,2.40789522265131,9.94348272792049,18.900731395356
2034,41.6490098273563,2.51158617479192,10.3209355688443,19.4134803065731
2035,41.8970218363658,2.61999489378429,10.7080403597675,19.9292174669094
2036,42.1384510104345,2.73332588646508,11.1046672819905,20.4474669775449
2037,42.3734058683089,2.85178846161797,11.5106606787209,20.9677503437487
2038,42.6019975769794,2.97559638522617,11.9258390629604,21.4895882187436
2039,42.8243395788959,3.10496747861909,12.3499952801121,22.0125021154895
2040,43.0405472385262,3.24012315684919,12.7828968266882,22.5360160749664
2041,43.2507375080677,3.38128790496045,13.2242863248248,23.0596582803709
2042,43.4550286120491,3.52868869020362,13.6738821506292,23.5829626075691
2043,43.6535397504841,3.68255430872001,14.1313792127192,24.1054701031354
2044,43.8463908201844,3.84311466575348,14.5964498756949,24.6267303823545
2045,44.0337021537813,4.0105999890609,15.0687450217316,25.1463029406327
2046,44.2155942759686,4.18523997587133,15.5478952420343,25.6637583728594
2047,44.392187676438,4.36726287449034,16.0335121485579,26.1786794963453
2048,44.5636025989517,4.55689450245294,16.5251897952071,26.6906623740384
2049,44.7299588459742,4.75435720398815,17.0225061966944,27.199317235764
2050,44.8913755982666,4.95986875046212,17.5250249323682,27.7042692962355
2051,45.0479712488368,5.17364118840284,18.0322968216408,28.2051594695372
2052,45.1998632506297,5.39587964066503,18.5438616571469,28.7016449806689
2053,45.3471679773403,5.62678106725402,19.059249981457,29.193399875568
2054,45.4900005967316,5.86653299327584,19.577984893049,29.6801154317757
2055,45.6284749558448,6.11531221240015,20.099583867306,30.1615004725887
2056,45.7627034774947,6.37328347509409,20.6235605785481,30.637281588134
2057,45.8927970674531,6.64059817168996,21.1494267095093,31.1072032673232
2058,46.0188650317352,6.91739302106895,21.6766937352268,31.5710279450788
2059,46.1410150034153,7.20378877635749,22.2048746690052,32.028535969585
2060,46.2593528784163,7.49988895952526,22.7334857589253,32.4795254946044
2061,46.3739827597295,7.80577863712747,23.2620481242845,32.9238123021094
2062,46.4850069095421,8.12152324963388,23.7900893223501,33.3612295606302
2063,46.5925257087656,8.44716750682217,24.3171448368645,33.7916275247966
2064,46.6966376234771,8.78273436157273,24.8427594808494,34.2148731815824
2065,46.7974391778055,9.12822407408091,25.3664887073801,34.6308498487267
2066,46.8950249328133,9.483613377998,25.8878998231465,35.0394567307339
2067,46.9894874709426,9.84885475932508,26.4065731007415,35.4406084377359
2068,47.0809173856165,10.223875858019,26.9221027867311,35.8342344723439
2069,47.1694032756028,10.6085790012367,27.4340980036283,36.2202786894327
2070,47.2550317437695,11.0028408759556,27.9421835449191,36.5986987335875
2071,47.3378873998761,11.4065123473786,28.4460005632506,36.9694654587107
2072,47.4180528670679,11.8194184280837,28.9452071527946,37.3325623340352
2073,47.4956087917543,12.241358401335,29.4394788276189,37.6879848405296
2074,47.5706338565723,12.6721061003493,29.9285088986523,38.0357398614101
2075,47.6432047961521,13.1114103436516,30.412008752489,38.3758450701962
2076,47.7133964154187,13.5589955249692,30.8897080358663,38.7083283194752
2077,47.7812816101792,14.0145623544394,31.3613547501449,39.0332270332597
2078,47.8469313897606,14.4777887462734,31.826715260541,39.3505876055552
2079,47.9104149014774,14.9483308464468,32.2855742251967,39.6604648074864
2080,47.9717994567241,15.4258241925095,32.7377344494344,39.9629212050756
2081,48.0311505584984,15.9098849962403,33.1830166707279,40.2580265895167
2082,48.0885319301762,16.4001115386445,33.621259280045,40.5458574215533
2083,48.1440055453713,16.8960856657124,34.0523179852659,40.8264962913415
2084,48.1976316587224,17.3973743724501,34.476065422384,41.1000313949669
2085,48.2494688374658,17.9035314619617,34.8923907201358,41.3665560285848
2086,48.2995739936566,18.4140992658169,35.301199023608,41.6261681009654
2087,48.3480024169169,18.9286104115836,35.7024109822233,41.8789696650524
2088,48.3948078075954,19.4465896232351,36.0959622073289,42.1250664689859
2089,48.4400423102334,19.9675555401646,36.4818027044037,42.3645675268888
2090,48.4837565472393,20.4910225407307,36.8598962846655,42.5975847095887
2091,48.5259996526846,21.0165025566245,37.2302199606073,42.8242323553204
2092,48.5668193061372,21.5435068648698,37.5927633297233,43.0446269003489
2093,48.6062617664597,22.0715478449228,37.947527950409,43.2588865293538
2094,48.6443719055038,22.6001406891281,38.2945267137305,43.4671308453317
2095,48.6811932416395,23.1288050556714,38.6337832144749,43.6694805586933
2096,48.7167679730628,23.6570666541506,38.9653311246024,43.8660571951728
2097,48.7511370108323,24.1844587549309,39.2892135719358,44.0569828221032
2098,48.7843400115887,24.7105236145447,39.6054825266468,44.2423797925703
