"Grouping","Model","Parameter_1","Parameter_2","Parameter_3"
"Tilman","Kuznets",0.853393437720969,3.04690902665103,-0.838912507239899
"Tilman","Kuznets_Asymptoting",0.640104878072337,4.2253370265194,3.97272758791484
"WB","Kuznets",0.553723512136931,3.21249313738008,-0.852845224670594
"WB","Kuznets_Asymptoting",0.447263914217493,4.37289758900446,3.70329244559441
