"Year","High income","Low income","Lower-middle income","Upper-middle income"
2020,37.4361559504915,1.40614471932278,5.92952811704086,12.7079561049658
2021,37.8283930126682,1.46106017119376,6.17772860654774,13.1471900957931
2022,38.2130058262072,1.51833510310905,6.43523584818269,13.5952032994652
2023,38.5900005980016,1.57809468399171,6.70222241949723,14.0517642194233
2024,38.9592573141068,1.64046502795861,6.97884542837593,14.5165793791554
2025,39.3206422200062,1.70557773969753,7.26524729000112,14.9893318979305
2026,39.6741675627119,1.77357004449331,7.56155417953735,15.4696824519112
2027,40.0198568395278,1.84458490495051,7.86787472431312,15.9572703715093
2028,40.3577436225642,1.91877112208097,8.18429873574352,16.4517148665062
2029,40.6878709438736,1.99628341824713,8.51089599374994,16.9526163691681
2030,41.0102906879649,2.07728249927971,8.84771509651004,17.459557984428
2031,41.3250629939569,2.16193509292284,9.19478238827155,17.9721070352069
2032,41.6322556693777,2.25041396060589,9.55210097767863,18.4898166901198
2033,41.9319436173699,2.34289787940256,9.91964985858651,19.0122276601618
2034,42.2242082788284,2.43957159091804,10.2973831446788,19.538869950504
2035,42.5091370907748,2.54062571375026,10.6852294283559,20.0692646532517
2036,42.7868229620636,2.64625661610497,11.083091273342,20.602925766927
2037,43.0573637673191,2.75666624511279,11.4908448492713,21.1393620285222
2038,43.3208618598187,2.87206190940463,11.9083397151816,21.6780787442355
2039,43.5774236038699,2.99265601155551,12.3353987573778,22.2185796054176
2040,43.8271589270719,3.11866572711082,12.7718182855625,22.7603684768325
2041,44.0701808927106,3.25031262706943,13.217368289475,23.302951145036
2042,44.3066052924056,3.3878222409192,13.6717928565767,23.8458370154951
2043,44.5365502590106,3.53142355760648,14.134810749589,24.388540747992
2044,44.7601358996644,3.68134846217685,14.6061161409585,24.9305838208483
2045,44.9774839487956,3.8378311062509,15.0853794996259,25.4714960155694
2046,45.1887174407997,4.00110721099986,15.5722486238394,26.0108168146049
2047,45.3939604020387,4.17141330186002,16.0663498121988,26.5480967060491
2048,45.5933375617465,4.34898587487269,16.5672891636782,27.0828983902354
2049,45.7869740813729,4.53406049525443,17.0746539960701,27.6147978843018
2050,45.9749953018522,4.72687082958633,17.58801437114,28.1433855219061
2051,46.1575265082453,4.9276476138553,18.1069247138,28.6682668463268
2052,46.3346927111746,5.13661756047625,18.6309255118071,29.1890633962039
2053,46.5066184444463,5.35400220836134,19.1595450818832,29.705413384126
2054,46.6734275782387,5.5800167210699,19.6923013877362,30.2169722691581
2055,46.8352431472199,5.81486863905516,20.2287038952441,30.7234132252228
2056,46.9921871929549,6.05875659300712,20.7682554500343,31.2244275079816
2057,47.1443806199558,6.31186898625659,21.3104541628493,31.7197247235217
2058,47.2919430647306,6.57438265513639,21.8547952884288,32.2090330027294
2059,47.4349927771909,6.84646151707173,22.4007730841303,32.6920990857198
2060,47.5736465137868,7.1282552169744,22.9478826351683,33.1686883211075
2061,47.7080194417438,7.41989778322428,23.4956216341249,33.638584585229
2062,47.8382250537927,7.72150630511803,24.043492103286,34.1015901266877
2063,47.9643750927963,8.03317964413113,24.591002049347,34.5575253417705
2064,48.0865794856894,8.354997191658,25.1376670410957,35.0062284864014
2065,48.2049462861702,8.68701768605344,25.6830117018079,35.4475553303499
2066,48.3195816255967,9.02927810178289,26.2265711092457,35.8813787594044
2067,48.4305896715586,9.38179262329221,26.7678920973274,36.3075883311631
2068,48.5380725936205,9.74455171582341,27.3065344547164,36.7260897899927
2069,48.642130535745,10.1175213048296,27.8420720167348,37.136804546557
2070,48.7428615949294,10.5006420748824,28.3740936481402,37.5396691271402
2071,48.8403618056092,10.893828898025,28.9022041153887,37.9346345977794
2072,48.9347251293991,11.2969704004129,29.4260248480392,38.3216659679869
2073,49.0260434497656,11.7099286748177,29.9451945899164,38.7007415785899
2074,49.114406571244,12.1325391451645,30.4593699415475,39.0718524779465
2075,49.1999022228318,12.5646105877497,30.9682257961967,39.4350017905203
2076,49.2826160652091,13.0059253121684,31.4714556725552,39.7902040815094
2077,49.362631701458,13.4562395033002,31.9687719477902,40.1374847209378
2078,49.4400306909685,13.9152837239731,32.4599059952135,40.4768792503306
2079,49.5148925662367,14.3827635761925,32.9446082313072,40.8084327548079
