"Group","Year","pcrGDP","src_pcrGDP","sd_src_pcrGDP","theta"
"A",1961,11.8477855004742,2.56785879762775,2.52353649459394,2.02831181233125
"A",1962,12.3435896028672,4.09958952986318,2.52537478119324,1.92142816947029
"A",1963,12.7563687889244,3.28937919273664,2.5368054400579,1.8130882052989
"A",1964,13.4350762739386,5.18382595614217,2.53962207234792,1.7244358293084
"A",1965,14.0201024851779,4.26232721991662,2.53365398448789,1.68849151895294
"A",1966,14.6579520275745,4.44907972103756,2.52470300969467,1.67095731875762
"A",1967,15.0331876281694,2.52772769368512,2.51623612046812,1.67500601299733
"A",1968,15.747408353215,4.64155370756987,2.50144254349871,1.68580647470897
"A",1969,16.4150939749712,4.15254731523631,2.48998233451176,1.69514338982791
"A",1970,16.7911755923579,2.26522101688538,2.48350724467672,1.70361981350763
"A",1971,17.1943123036504,2.3725163061425,2.47796957637113,1.71245822907342
"A",1972,17.9277315238197,4.17701120297811,2.46710058571008,1.74148748333107
"A",1973,18.8222267500457,4.86896842968654,2.45201240599403,1.7924837697002
"A",1974,18.7373288867481,-0.452071418020283,2.45258595902892,1.79159584755179
"A",1975,18.6725444149926,-0.346349938129231,2.45345279146443,1.78876748611033
"A",1976,19.3916592165336,3.7788804450122,2.45167276300502,1.78717819966781
"A",1977,19.988374831596,3.03078098099627,2.44550908229635,1.80741187727541
"A",1978,20.7446878906668,3.7139362495072,2.44255900469152,1.82648476928249
"A",1979,21.3814716043697,3.02345254827281,2.43911365822552,1.856494773389
"A",1980,21.3919464040611,0.0489780821295138,2.43908826204843,1.85698768533199
"A",1981,21.6378774383689,1.14308491278021,2.4407096220204,1.85685579134219
"A",1982,21.4677790512148,-0.789220180892203,2.43949483433127,1.85796985954721
"A",1983,21.9907859926662,2.40703848585739,2.44536952450606,1.84845779672629
"A",1984,22.9705352388315,4.35887709623528,2.45358451616393,1.85856733009908
"A",1985,23.6640633710938,2.97452658419246,2.45213050925781,1.90384573262359
"A",1986,24.2500996954825,2.44631446105075,2.44686813408578,1.95057838861174
"A",1987,24.9186795247318,2.71969754121852,2.44311671600294,1.99726142687628
"A",1988,25.8521144934556,3.67746922542649,2.42313897611906,2.03857167906153
"A",1989,26.5776026798073,2.76764603888053,2.40752255470211,2.02245542397284
"A",1990,26.8463113181108,1.00595738570677,2.40560853472534,2.0066827330829
"A",1991,26.922873127905,0.284779701703597,2.405756611553,2.0001480734442
"A",1992,27.3251879968413,1.4832686611407,2.41185724782689,1.9490122430223
"A",1993,27.5547350573445,0.836547817096411,2.41758887838912,1.91516380787553
"A",1994,28.27993571653,2.59781756779582,2.43288863270726,1.83036326435889
"A",1995,28.8714066415403,2.06991478647298,2.44183151158864,1.78387247037421
"A",1996,29.5890823550757,2.45537381531209,2.44988846381299,1.74549619355088
"A",1997,30.4315956359622,2.80759448763939,2.45530716277987,1.72223229744883
"A",1998,31.2275205165764,2.58183750483072,2.45688201070501,1.71788039970916
"A",1999,32.146352547429,2.89992192955122,2.45478331385635,1.73180198181249
"A",2000,33.2141790188261,3.26778704738095,2.44576547156195,1.77625832899189
"A",2001,33.4996990178721,0.855959061900835,2.44269580299652,1.79136983915542
"A",2002,33.8349228696245,0.995703582882479,2.44012608999927,1.80639300342058
"A",2003,34.3835367765732,1.60843776676849,2.43668327606928,1.83021553887663
"A",2004,35.3067705505292,2.6496878100164,2.42832016024902,1.88451804344414
"A",2005,36.1025623138254,2.22890951961099,2.41623828032758,1.94831274280481
"A",2006,36.9103859175922,2.21291315827616,2.3976408309178,2.01279875128839
"A",2007,37.5803251375932,1.79876732012962,2.38952166085433,2.04653670696841
"A",2008,37.408576998605,-0.458063618483351,2.38993809090794,2.04356635997057
"A",2009,35.9664819864388,-3.93125608194782,2.41946765134393,1.93765335648182
"A",2010,36.871339955328,2.48471054630466,2.39847734250721,2.00976016457542
"A",2011,37.3793826009631,1.36847307777415,2.39022522212487,2.04221631227927
"A",2012,37.7620480959406,1.01852945724632,2.39059398936565,2.04533838292078
"A",2013,38.1192792788137,0.941559233013578,2.39496569413044,2.03659820528044
"A",2014,38.6182606093993,1.30050654240561,2.40283157280252,2.02030592629946
"A",2015,39.1660264952094,1.40844625898615,2.41284347048686,2.00007715362871
"A",2016,39.5346683919224,0.936826779929234,2.42104645311097,1.98279159874453
"A",2017,40.3157037698318,1.9563096979665,2.4402734719171,1.94125111196666
"A",2018,41.0404932124033,1.78181538780637,2.45887249173125,1.90140939003142
"A",2019,41.5421176612505,1.21485773579089,2.47498304051452,1.8615649418988
"A",2020,41.3090342350528,-0.562657333740857,2.46691286105688,1.88287503490553
"B",1961,5.88031095343084,6.47820851437559,2.9278335836983,0.967055886971949
"B",1962,6.13402861746519,4.22420873163296,2.92041167705403,0.972188719882696
"B",1963,6.42024756541648,4.5604947484609,2.91193672890314,0.984527566194736
"B",1964,6.68691933296561,4.06966011871284,2.90341865627707,1.00586000371938
"B",1965,6.94437028874589,3.77780211916579,2.89451957106767,1.02895147622541
"B",1966,7.23346814379978,4.07873081677761,2.88407726536187,1.06404621572997
"B",1967,7.52540642779122,3.95662104178318,2.87192977755661,1.11206136633842
"B",1968,7.95928239379465,5.60540247449262,2.85019689178418,1.20691777326705
"B",1969,8.43416925555248,5.79523791058754,2.81937253061195,1.3502424363445
"B",1970,8.66506567357155,2.70082789512376,2.80396226027727,1.41355068823577
"B",1971,8.95803214125338,3.32510734568441,2.78807259397175,1.4740450464325
"B",1972,9.33520246710828,4.12418900168792,2.76936696511277,1.55530278155548
