"Year","High income","Low income","Lower-middle income","Upper-middle income"
2020,37.4361559504915,1.40614471932278,5.92952811704086,12.7079561049658
2021,38.1100216095834,1.46319615883207,6.16453418154599,13.0934045949336
2022,38.7898423655907,1.52311703470507,6.40644041052193,13.4857669731971
2023,39.4753209866863,1.58605748913951,6.65529016780302,13.8850686919805
2024,40.1663084624336,1.65216570011464,6.911120233427,14.291290885504
2025,40.8627754420624,1.72159177101428,7.17396346145417,14.7044134393992
2026,41.5646927489066,1.79448734203138,7.44384865889335,15.1244150763493
2027,42.2720313840512,1.87100517725394,7.72080074488362,15.5512734376841
2028,42.984762529632,1.9512987322969,8.00484091142271,15.9849651610391
2029,43.7028575518072,2.03552170764375,8.29598678455647,16.4254659541911
2030,44.426288003422,2.12382759305371,8.59425258506985,16.8727506651906
2031,45.1550256263834,2.21636920846663,8.89964928783946,17.326793348918
2032,45.8890423537634,2.31329824679639,9.21218477912009,17.7875673301886
2033,46.6283103116468,2.41476482384531,9.53186401114276,18.2550452635379
2034,47.372801820739,2.52091704030507,9.85868915349804,18.7291991898169
2035,48.1224893977495,2.63190056044455,10.1926597408677,19.2100005897263
2036,48.8773457565627,2.74785821163641,10.5337728167479,19.6974204344206
2037,49.6373438092125,2.86892960835905,10.8820230728797,20.1914292333062
2038,50.4024566666696,2.99525080374813,11.2374029841692,20.6919970791617
2039,51.1726576394558,3.12695397117946,11.5999029389355,21.199093690699
2040,51.9479202380951,3.26416711776305,11.9695113643772,21.7126884526876
2041,52.7282181734121,3.40701383103195,12.3462148471948,22.2327504537555
2042,53.5135253566879,3.5556130595363,12.7299982493406,22.7592485219798
2043,54.3038158996826,3.71007892751363,13.1208448189077,23.2921512583754
2044,55.099064114533,3.87052058331378,13.518736296194,23.8314270683866
2045,55.8992445135345,4.03704208081615,13.9236530150031,24.377044191482
2046,56.7043318088136,4.20974229269511,14.3355739992654,24.9289707289497
2047,57.5143009118999,4.38871485406805,14.7544770550786,25.4871746699858
2048,58.3291269332033,4.57404813480032,15.1803388582805,26.0516239161657
2049,59.1487851814043,4.76582523854017,15.6131350376792,26.6222863043825
2050,59.9732511627617,4.96412402641302,16.0528402540727,27.1991296283344
2051,60.8025005803455,5.16901716321141,16.4994282751973,27.7821216586396
2052,61.6365093331989,5.38057218387244,16.9528720467493,28.3712301616513
2053,62.4752535154362,5.59885157803015,17.413143759625,28.9664229170455
2054,63.318709415279,5.82391289046234,17.8802149135279,29.5676677342465
2055,64.1668535140386,6.05580883531292,18.3540563770911,30.1749324677565
2056,65.0196624850459,6.29458742205615,18.8346384446619,30.7881850314482
2057,65.8771131925345,6.54029209127381,19.3219308898943,31.4073934118798
2058,66.7391826904809,6.79296185843447,19.8159030162938,32.0325256806859
2059,67.605848221404,7.05263146399181,20.316523704853,32.6635500060972
2060,68.4770872151297,7.3193315282526,20.8237614589172,33.3004346636384
2061,69.3528772875212,7.59308870960068,21.3375844464112,33.9431480460507
2062,70.2331962391798,7.87392586479896,21.8579605395588,34.5916586724832
2063,71.1180220541187,8.16186221022438,22.3848573522176,35.2459351969964
2064,72.0073328984113,8.45691348301926,22.9182422749522,35.9059464164153
2065,72.901107118819,8.75909210126531,23.458082507959,36.5716612775727
2066,73.7993232413978,9.06840732240241,24.0043450919574,37.243048883975
2067,74.7019599700884,9.38486539922263,24.5569969371515,37.9200785019279
2068,75.6089961852906,9.70846973287081,25.1160048503667,38.6027195661498
2069,76.5204109424246,10.039221022375,25.6813355604579,39.290941684907
2070,77.4361834704801,10.3771174103147,26.2529557420844,39.9847146446961
2071,78.3562931705564,10.722154624311,26.8308320379389,40.6840084145025
2072,79.2807196143937,11.0743261140916,27.4149310795172,41.3887931496586
2073,80.2094425428977,11.4336231839444,28.0052195065087,42.0990391953281
2074,81.1424418646598,11.8000351204286,28.6016639848856,42.8147170896367
2075,82.0796976544722,12.1735493152589,29.2042312237629,43.5357975664721
2076,83.0211901518408,12.554151383321,29.8128879910993,44.2622515579727
2077,83.9668997594971,12.9418252758128,30.4276011283053,44.9940501967251
2078,84.9168070419088,13.3365533885358,31.0483375638206,45.7311648176869
2079,85.870892723792,13.7383166653889,31.67506432572,46.4735669598536
