"Grouping","Model","IC_Year","Year","High income","Low income","Lower-middle income","Upper-middle income"
"WB","Kuznets",2003,2003,30.859188024016,0.883007546067956,3.15762933391483,6.61993710712216
"WB","Kuznets",2003,2004,31.3895167447714,0.91394064685396,3.27963747126389,6.88032016392432
"WB","Kuznets",2003,2005,31.9152789475282,0.9459101443385,3.40696032485973,7.15006912897121
"WB","Kuznets",2003,2006,32.4361506267826,0.978878991747556,3.53980966549388,7.42934413422717
"WB","Kuznets",2003,2007,32.9518243949444,1.01281812238015,3.67840126141177,7.71829217798971
"WB","Kuznets",2003,2008,33.4620097856398,1.04774011810907,3.82295446174252,8.01704589407652
"WB","Kuznets",2003,2009,33.9664334719953,1.08371326115854,3.97369172426426,8.32572233663916
"WB","Kuznets",2003,2010,34.4648394032948,1.12080577124594,4.13083808560654,8.64442179112963
"WB","Kuznets",2003,2011,34.9569888637948,1.15906745102073,4.29462057236006,8.97322662226581
"WB","Kuznets",2003,2012,35.4426604578066,1.19866974934091,4.46526755199292,9.31220017003345
"WB","Kuznets",2003,2013,35.921650025422,1.23979184787574,4.64300802296246,9.66138570481826
"WB","Kuznets",2003,2014,36.3937704934568,1.28251107120666,4.82807084396132,10.0208054526705
"WB","Kuznets",2003,2015,36.858851666338,1.32690841958688,5.02068390284396,10.3904597014638
"WB","Kuznets",2003,2016,37.316739961745,1.37306872469096,5.2210732264415,10.770325998313
"WB","Kuznets",2003,2017,37.7672980958636,1.4210808065798,5.42946203318432,11.1603584480671
"WB","Kuznets",2003,2018,38.2104047231009,1.4710376312244,5.64606973120614,11.5604871219906
"WB","Kuznets",2003,2019,38.6459540350662,1.52303646782884,5.87111086539293,11.9706175849018
"WB","Kuznets",2003,2020,39.0738553235388,1.57717904508347,6.10479401765515,12.3906305480518
"WB","Kuznets",2003,2021,39.4940325120246,1.63357170536153,6.34732066553211,12.8203816539246
"WB","Kuznets",2003,2022,39.9064236603627,1.69232555574856,6.59888400506957,13.2597013979214
"WB","Kuznets",2003,2023,40.3109804466689,1.753556614663,6.85966774473343,13.7083951905865
"WB","Kuznets",2003,2024,40.7076676307174,1.81738595268886,7.12984487791862,14.1662435626535
"WB","Kuznets",2003,2025,41.0964625026533,1.88393982609932,7.40957644236784,14.6330025137607
"WB","Kuznets",2004,2004,31.811556621844,0.903883001768415,3.33649780559033,7.10584251838199
"WB","Kuznets",2004,2005,32.3559416542505,0.935952539101379,3.4691687750196,7.39031797201401
"WB","Kuznets",2004,2006,32.8952505497582,0.969015113183865,3.6076993747499,7.68490660199672
"WB","Kuznets",2004,2007,33.4291532756267,1.00307075982017,3.75232099304341,7.98975647304488
"WB","Kuznets",2004,2008,33.9573380562499,1.03812684798113,3.90326875297337,8.30499921395906
"WB","Kuznets",2004,2009,34.4795116230006,1.07426547290019,4.06078097269811,8.63074869497808
"WB","Kuznets",2004,2010,34.995399372782,1.11159414668007,4.2250985608216,8.96709974258965
"WB","Kuznets",2004,2011,35.5047454395285,1.15018339580467,4.39646434527609,9.31412690430092
"WB","Kuznets",2004,2012,36.0073126832776,1.19014703165758,4.57512233468293,9.67188327598118
"WB","Kuznets",2004,2013,36.502882601741,1.23166669091769,4.7613169117378,10.0403994043319
"WB","Kuznets",2004,2014,36.9912551695394,1.27482622931893,4.95529195882687,10.4196822768061
"WB","Kuznets",2004,2015,37.4722486104329,1.31971030880373,5.15728991680584,10.8097144108851
"WB","Kuznets",2004,2016,37.9456991079857,1.36640767860278,5.3675507786606,11.2104530540282
"WB","Kuznets",2004,2017,38.4114604601509,1.41501134726147,5.58631102060977,11.6218295048351
"WB","Kuznets",2004,2018,38.8694036832547,1.46561875556491,5.81380247409665,12.0437485650196
"WB","Kuznets",2004,2019,39.3194165708049,1.51833194953763,6.05025114304117,12.4760881306857
"WB","Kuznets",2004,2020,39.7614032124519,1.57325775256989,6.29587597166973,12.9186989301425
"WB","Kuznets",2004,2021,40.1952834782918,1.63050793559072,6.55088756919716,13.3714044141139
"WB","Kuznets",2004,2022,40.6209924735373,1.69019938406707,6.81548689858707,13.8340008027014
"WB","Kuznets",2004,2023,41.0384799683806,1.75245426045998,7.08986393754614,14.3062572918789
"WB","Kuznets",2004,2024,41.4477098076581,1.81740016061275,7.3741963207981,14.7879164206552
