MODEL,SCENARIO,REGION,variable,growtherror,ieadivergencecps,ieadivergencestps,ieadivergencestps2020,errorplusdivergencestps,errorplusdivergencestps2020,absgrowtherror,absieadivergencecps,absieadivergencestps,absieadivergencestps2020,abserrorplusdivergencestps,abserrorplusdivergencestps2020,errorpctile,ieadivergencecpspctile,ieadivergencestpspctile,ieadivergencestpspctile2020,errorplusdivergencestpspctile,errorplusdivergencestpspctile2020,divergence01t0520,divergence02t0520,divergence03t0520,divergence01t2040,divergence02t2040,divergence03t2040,divergence01t0540,divergence02t0540,divergence03t0540
MESSAGE-GLOBIOM,SSP3-45,World,pcgdpppp,0.3705028039197702,-1.1406734495541992,-1.1406734495541992,-0.7683606335541995,-0.49302648377964087,-0.28027630320821245,0.3705028039197702,1.1406734495541992,1.1406734495541992,0.7683606335541995,0.49302648377964087,0.28027630320821245,0.2,0.7401574803149606,0.7401574803149606,0.5039370078740157,0.4857142857142857,0.2,0,0,0,0,0,1,0,0,0
MESSAGE-GLOBIOM,SSP3-45,World,pop,-0.08098727357584035,0.07275641421327383,0.07275641421327383,0.08512120721327388,0.006866262303653475,0.013931858303653497,0.08098727357584035,0.07275641421327383,0.07275641421327383,0.08512120721327388,0.006866262303653475,0.013931858303653497,0.1523809523809524,0.10236220472440945,0.10236220472440945,0.10236220472440945,0.0380952380952381,0.0380952380952381,0,0,0,0,0,1,0,0,0
MESSAGE-GLOBIOM,SSP3-60,World,co2intensity,-0.07606060475281096,0.3234567008486722,0.641756293848672,0.795445452848672,0.3341204801623222,0.4219428567337507,0.07606060475281096,0.3234567008486722,0.641756293848672,0.795445452848672,0.3341204801623222,0.4219428567337507,0.26666666666666666,0.4881889763779528,0.6614173228346457,0.7165354330708661,0.6,0.6761904761904762,0,0,0,0,0,0,0,0,0
MESSAGE-GLOBIOM,SSP3-60,World,energyintensity,0.46144418429052814,1.1110546918895912,1.4694565698895912,1.2436304778895915,1.037451261775707,0.90840778063285,0.46144418429052814,1.1110546918895912,1.4694565698895912,1.2436304778895915,1.037451261775707,0.90840778063285,0.5714285714285714,0.7165354330708661,0.8740157480314961,0.7716535433070866,0.8380952380952381,0.7428571428571429,0,0,0,0,0,0,0,0,0
MESSAGE-GLOBIOM,SSP3-60,World,fossilco2,0.6801427270631744,0.38586808790081095,1.0625695589008108,1.3751102349008109,0.8986723452561094,1.0772670172561094,0.6801427270631744,0.38586808790081095,1.0625695589008108,1.3751102349008109,0.8986723452561094,1.0772670172561094,0.8,0.30708661417322836,0.5590551181102362,0.6377952755905512,0.6571428571428571,0.7333333333333333,0,0,0,0,0,0,0,0,0
MESSAGE-GLOBIOM,SSP3-60,World,pcgdpppp,0.3757464211012975,-1.1213997190507263,-1.1213997190507263,-0.7490869030507266,-0.4797656589855733,-0.2670154784141448,0.3757464211012975,1.1213997190507263,1.1213997190507263,0.7490869030507266,0.4797656589855733,0.2670154784141448,0.20952380952380953,0.7244094488188977,0.7244094488188977,0.4881889763779528,0.4666666666666667,0.1619047619047619,0,0,0,0,0,0,0,0,0
MESSAGE-GLOBIOM,SSP3-60,World,pop,-0.08098727357584035,0.07275641421327383,0.07275641421327383,0.08512120721327388,0.006866262303653475,0.013931858303653497,0.08098727357584035,0.07275641421327383,0.07275641421327383,0.08512120721327388,0.006866262303653475,0.013931858303653497,0.1523809523809524,0.10236220472440945,0.10236220472440945,0.10236220472440945,0.0380952380952381,0.0380952380952381,0,0,0,0,0,0,0,0,0
MESSAGE-GLOBIOM,SSP3-Baseline,World,co2intensity,0.1592962953157424,0.5075129849579361,0.825812577957936,0.9795017369579359,0.540162742539853,0.6279851191112814,0.1592962953157424,0.5075129849579361,0.825812577957936,0.9795017369579359,0.540162742539853,0.6279851191112814,0.6761904761904762,0.6377952755905512,0.7716535433070866,0.8188976377952756,0.8,0.819047619047619,0,0,0,0,0,0,0,0,0
MESSAGE-GLOBIOM,SSP3-Baseline,World,energyintensity,0.5820982816767024,1.3557038150730893,1.7141056930730894,1.4882796010730899,1.228959659617495,1.099916178474638,0.5820982816767024,1.3557038150730893,1.7141056930730894,1.4882796010730899,1.228959659617495,1.099916178474638,0.7333333333333333,0.7952755905511811,0.9291338582677166,0.8582677165354331,0.9142857142857143,0.8476190476190476,0,0,0,0,0,0,0,0,0
MESSAGE-GLOBIOM,SSP3-Baseline,World,fossilco2,1.0507648343071418,0.8124912980865546,1.4891927690865545,1.8017334450865545,1.3012950827525205,1.4798897547525205,1.0507648343071418,0.8124912980865546,1.4891927690865545,1.8017334450865545,1.3012950827525205,1.4798897547525205,0.9714285714285714,0.5354330708661418,0.7401574803149606,0.7795275590551181,0.8,0.8380952380952381,0,0,0,0,0,0,0,0,0
MESSAGE-GLOBIOM,SSP3-Baseline,World,pcgdpppp,0.3903575308905374,-1.1234819161577447,-1.1234819161577447,-0.751169100157745,-0.47469358170848097,-0.2619434011370525,0.3903575308905374,1.1234819161577447,1.1234819161577447,0.751169100157745,0.47469358170848097,0.2619434011370525,0.26666666666666666,0.7322834645669292,0.7322834645669292,0.49606299212598426,0.44761904761904764,0.1523809523809524,0,0,0,0,0,0,0,0,0
MESSAGE-GLOBIOM,SSP3-Baseline,World,pop,-0.08098727357584035,0.07275641421327383,0.07275641421327383,0.08512120721327388,0.006866262303653475,0.013931858303653497,0.08098727357584035,0.07275641421327383,0.07275641421327383,0.08512120721327388,0.006866262303653475,0.013931858303653497,0.1523809523809524,0.10236220472440945,0.10236220472440945,0.10236220472440945,0.0380952380952381,0.0380952380952381,0,0,0,0,0,0,0,0,0
REMIND-MAGPIE,SSP1-19,World,co2intensity,-0.2884516595587737,-2.2664311762121008,-1.948131583212101,-1.7944424242121007,-1.236840187360675,-1.1490178107892461,0.2884516595587737,2.2664311762121008,1.948131583212101,1.7944424242121007,1.236840187360675,1.1490178107892461,0.9142857142857143,0.937007874015748,0.937007874015748,0.937007874015748,0.9238095238095239,0.9238095238095239,0,0,0,0,0,0,0,0,0
