MODEL,SCENARIO,REGION,variable,growtherror,ieadivergencecps,ieadivergencestps,ieadivergencestps2020,errorplusdivergencestps,errorplusdivergencestps2020,absgrowtherror,absieadivergencecps,absieadivergencestps,absieadivergencestps2020,abserrorplusdivergencestps,abserrorplusdivergencestps2020,errorpctile,ieadivergencecpspctile,ieadivergencestpspctile,ieadivergencestpspctile2020,errorplusdivergencestpspctile,errorplusdivergencestpspctile2020,divergence01t0520,divergence02t0520,divergence03t0520,divergence01t2040,divergence02t2040,divergence03t2040,divergence01t0540,divergence02t0540,divergence03t0540
AIM-Enduse 12.1,EMF27-450-Conv,World,co2intensity,-0.13885978173888414,-1.3888367171400051,-1.0705371241400052,-0.9168479651400053,-0.6712468345395247,-0.5834244579680962,0.13885978173888414,1.3888367171400051,1.0705371241400052,0.9168479651400053,0.6712468345395247,0.5834244579680962,0.38804554079696396,0.8709677419354839,0.8691244239631336,0.7493087557603687,0.8149568552253116,0.7171620325982742,0,0,0,0,0,0,0,0,0
AIM-Enduse 12.1,EMF27-450-Conv,World,energyintensity,-0.956213471759672,-0.21504941336404482,0.1433524646359552,-0.0824736273640444,-0.3278900795335993,-0.4569335606764562,0.956213471759672,0.21504941336404482,0.1433524646359552,0.0824736273640444,0.3278900795335993,0.4569335606764562,0.7711864406779662,0.24507042253521127,0.09765258215962441,0.08826291079812207,0.4362272240085745,0.5551982851018221,0,0,0,0,0,0,0,0,0
AIM-Enduse 12.1,EMF27-450-Conv,World,fossilco2,-1.1921210950825323,-2.0687375580287397,-1.3920360870287398,-1.0794954110287398,-1.306358233337508,-1.1277635613375079,1.1921210950825323,2.0687375580287397,1.3920360870287398,1.0794954110287398,1.306358233337508,1.1277635613375079,0.791588785046729,0.828649138712602,0.7334542157751587,0.5530371713508613,0.8309726156751652,0.7384324834749764,0,0,0,0,0,0,0,0,0
AIM-Enduse 12.1,EMF27-450-Conv,World,pcgdpmer,0.00560088992936425,-0.2937782191117999,-0.2937782191117999,0.07853459688819975,-0.1654728866655867,0.04727729390584167,0.00560088992936425,0.2937782191117999,0.2937782191117999,0.07853459688819975,0.1654728866655867,0.04727729390584167,0.03229166666666667,0.5051353874883286,0.5051353874883286,0.21288515406162464,0.553213909378293,0.1285563751317176,0,0,0,0,0,0,0,0,0
AIM-Enduse 12.1,EMF27-450-Conv,World,pop,-0.10264873151334042,-0.17107320841288987,-0.17107320841288987,-0.15870841541288983,-0.14174843259879724,-0.1346828365987972,0.10264873151334042,0.17107320841288987,0.17107320841288987,0.15870841541288983,0.14174843259879724,0.1346828365987972,0.34205607476635513,0.7820844099913867,0.7820844099913867,0.7708871662360034,0.7214353163361662,0.7214353163361662,0,0,0,0,0,0,0,0,0
AIM-Enduse 12.1,EMF27-450-EERE,World,co2intensity,0.009176927260054146,-2.544709723474823,-2.226410130474823,-2.0727209714748227,-1.2683013914455898,-1.180479014874161,0.009176927260054146,2.544709723474823,2.226410130474823,2.0727209714748227,1.2683013914455898,1.180479014874161,0.03795066413662239,0.9834101382488479,0.9834101382488479,0.9834101382488479,0.9702780441035475,0.9702780441035475,0,0,0,0,0,0,0,0,0
AIM-Enduse 12.1,EMF27-450-EERE,World,energyintensity,-1.171780343329069,-0.7866097273891839,-0.4282078493891839,-0.6540339413891835,-0.7468817753634203,-0.8759252565062772,1.171780343329069,0.7866097273891839,0.4282078493891839,0.6540339413891835,0.7468817753634203,0.8759252565062772,0.8421610169491526,0.7258215962441315,0.3586854460093897,0.5981220657276995,0.8338692390139335,0.8756698821007503,0,0,0,0,0,0,0,0,0
AIM-Enduse 12.1,EMF27-450-EERE,World,fossilco2,-1.259651257652991,-3.7961708783886965,-3.1194694073886966,-2.8069287313886964,-2.322404486073394,-2.143809814073394,1.259651257652991,3.7961708783886965,3.1194694073886966,2.8069287313886964,2.322404486073394,2.143809814073394,0.8130841121495327,0.9737080689029919,0.9737080689029919,0.9737080689029919,0.9782813975448537,0.9745042492917847,0,0,0,0,0,0,0,0,0
AIM-Enduse 12.1,EMF27-450-EERE,World,pcgdpmer,0.00560088992936425,-0.2937782191117999,-0.2937782191117999,0.07853459688819975,-0.1654728866655867,0.04727729390584167,0.00560088992936425,0.2937782191117999,0.2937782191117999,0.07853459688819975,0.1654728866655867,0.04727729390584167,0.03229166666666667,0.5051353874883286,0.5051353874883286,0.21288515406162464,0.553213909378293,0.1285563751317176,0,0,0,0,0,0,0,0,0
AIM-Enduse 12.1,EMF27-450-EERE,World,pop,-0.10264873151334042,-0.17107320841288987,-0.17107320841288987,-0.15870841541288983,-0.14174843259879724,-0.1346828365987972,0.10264873151334042,0.17107320841288987,0.17107320841288987,0.15870841541288983,0.14174843259879724,0.1346828365987972,0.34205607476635513,0.7820844099913867,0.7820844099913867,0.7708871662360034,0.7214353163361662,0.7214353163361662,0,0,0,0,0,0,0,0,0
AIM-Enduse 12.1,EMF27-450-FullTech,World,co2intensity,-0.28946817750071885,-1.4879950031819456,-1.1696954101819457,-1.0160062511819459,-0.7924551676042769,-0.7046327910328485,0.28946817750071885,1.4879950031819456,1.1696954101819457,1.0160062511819459,0.7924551676042769,0.7046327910328485,0.6688804554079696,0.8930875576036866,0.8930875576036866,0.8423963133640553,0.8676893576222435,0.837967401725791,0,0,0,0,0,0,0,0,0
