"Grouping","Model","Last_Year","Parameter_1","Parameter_2","Parameter_3"
"Tilman","Kuznets",2020,0.853393437720969,3.04690902665103,-0.838912507239899
"Tilman","Kuznets_Asymptoting",2020,0.640104878072337,4.2253370265194,3.97272758791484
"Tilman","Kuznets",2019,0.882116145705449,3.14852880704572,-0.858238260737059
"Tilman","Kuznets_Asymptoting",2019,0.636709988909014,4.33358966282974,4.23246352595966
"Tilman","Kuznets",2018,0.879650614928873,3.16981926142779,-0.863786127320033
"Tilman","Kuznets_Asymptoting",2018,0.628836075090984,4.34545459696297,4.26574641040228
"Tilman","Kuznets",2017,0.871096771911296,3.18908665839671,-0.869111261485892
"Tilman","Kuznets_Asymptoting",2017,0.616157131365225,4.34376023776228,4.28721437401873
"Tilman","Kuznets",2016,0.87680080356451,3.19513370992395,-0.871846277734448
"Tilman","Kuznets_Asymptoting",2016,0.619652057741263,4.34300814732371,4.29763474790131
"Tilman","Kuznets",2015,0.888399293584989,3.19111058645183,-0.867550767655207
"Tilman","Kuznets_Asymptoting",2015,0.622670294657353,4.35052162579824,4.3444624426057
"Tilman","Kuznets",2014,0.884642718106244,3.19791192237395,-0.869262863073802
"Tilman","Kuznets_Asymptoting",2014,0.614892218772738,4.34396128087531,4.35900581121728
"Tilman","Kuznets",2013,0.829384068716044,3.24675160090844,-0.878214969919973
"Tilman","Kuznets_Asymptoting",2013,0.544888969915612,4.31363831194795,4.42453828198967
"Tilman","Kuznets",2012,0.794281872772001,3.27835105697773,-0.882197331036837
"Tilman","Kuznets_Asymptoting",2012,0.497628752054158,4.30751340010289,4.48165099444021
"Tilman","Kuznets",2011,0.753833280487251,3.3294122681569,-0.890972431994801
"Tilman","Kuznets_Asymptoting",2011,0.448049036139915,4.3368425943327,4.54181145747114
"Tilman","Kuznets",2010,0.726488825291804,3.35467151597926,-0.898547211553153
"Tilman","Kuznets_Asymptoting",2010,0.419990821686401,4.33524884528073,4.53752193405167
"Tilman","Kuznets",2009,0.657496427054982,3.39012558736178,-0.910729546541767
"Tilman","Kuznets_Asymptoting",2009,0.364013094892355,4.32555352309538,4.45331299767278
"Tilman","Kuznets",2008,0.623899264049821,3.35147905738435,-0.877349638940485
"Tilman","Kuznets_Asymptoting",2008,0.3061675318097,4.33869346264211,4.56970186682108
"Tilman","Kuznets",2007,0.571072209066125,3.37529399933921,-0.875498418765044
"Tilman","Kuznets_Asymptoting",2007,0.25200087526869,4.36682168201998,4.58483402666158
"Tilman","Kuznets",2006,0.478617060283635,3.43769744387662,-0.891309370382714
"Tilman","Kuznets_Asymptoting",2006,0.180944105549944,4.40253448080468,4.4938296878113
"Tilman","Kuznets",2005,0.420698212794591,3.45473415600512,-0.897099080053372
