"grouping","model","pcrGDP","fit","CI_lower","CI_upper"
"Tilman","Kuznets",0.75319665826811,-0.0775801730867502,-0.704724411657784,0.548091181999466
"Tilman","Kuznets",0.791097508005056,0.0933321772702173,-0.506169620227134,0.686743285400367
"Tilman","Kuznets",0.828998357742001,0.252480248205362,-0.320760625516136,0.816532769206101
"Tilman","Kuznets",0.866899207478947,0.401080838808919,-0.147821501093582,0.931783196025375
"Tilman","Kuznets",0.904800057215893,0.540180670904431,0.0173899920537717,1.04807575079467
"Tilman","Kuznets",0.942700906952839,0.670685987893416,0.17241519472933,1.15579021548235
"Tilman","Kuznets",0.980601756689785,0.793386058140657,0.318094080604874,1.25268903658161
"Tilman","Kuznets",1.01850260642673,0.908972018969412,0.450325649339355,1.34593601072026
"Tilman","Kuznets",1.05640345616368,1.01805211937056,0.579791817515041,1.43340121923789
"Tilman","Kuznets",1.09430430590062,1.12116415076393,0.705103019422337,1.52444767364209
"Tilman","Kuznets",1.13220515563757,1.2187856614121,0.810534597478423,1.60721203925751
"Tilman","Kuznets",1.17010600537451,1.31134240866616,0.919066188504488,1.68764750447942
"Tilman","Kuznets",1.20800685511146,1.39921539878432,1.02585837059492,1.76200273535513
"Tilman","Kuznets",1.24590770484841,1.48274678610023,1.11844585758602,1.83560216448429
"Tilman","Kuznets",1.28380855458535,1.56224484453028,1.21932446686451,1.89943672234231
"Tilman","Kuznets",1.3217094043223,1.63798817966409,1.30909271414688,1.95689207198602
"Tilman","Kuznets",1.35961025405924,1.71022931532612,1.39233775440246,2.01900942137694
"Tilman","Kuznets",1.39751110379619,1.7791977618994,1.47121945000803,2.07845509069021
"Tilman","Kuznets",1.43541195353314,1.84510265295304,1.54285099653629,2.13514426500078
"Tilman","Kuznets",1.47331280327008,1.90813502041015,1.61110600845137,2.18934444280865
"Tilman","Kuznets",1.51121365300703,1.96846976559201,1.67847762635267,2.24653162038047
"Tilman","Kuznets",1.54911450274397,2.02626737320104,1.74587332823695,2.29563885150307
"Tilman","Kuznets",1.58701535248092,2.08167540707421,1.80836680694528,2.34150837276803
"Tilman","Kuznets",1.62491620221787,2.13482981990553,1.86327666757756,2.38943824566827
"Tilman","Kuznets",1.66281705195481,2.18585610376169,1.91772015443098,2.43499434460698
"Tilman","Kuznets",1.70071790169176,2.23487030383705,1.96988273649239,2.48231522967694
"Tilman","Kuznets",1.7386187514287,2.28197991431084,2.01794515413247,2.52980024356405
"Tilman","Kuznets",1.77651960116565,2.32728467222213,2.06376231207837,2.57323521418374
"Tilman","Kuznets",1.8144204509026,2.37087726284326,2.11300191267358,2.61322472987269
"Tilman","Kuznets",1.85232130063954,2.41284394801232,2.16163396261347,2.65684625370185
"Tilman","Kuznets",1.89022215037649,2.45326512720184,2.20438861430295,2.69542625268014
"Tilman","Kuznets",1.92812300011343,2.49221583969361,2.244854997545,2.73396359489828
"Tilman","Kuznets",1.96602384985038,2.52976621504694,2.28522751503539,2.77002398998625
"Tilman","Kuznets",2.00392469958733,2.56598187805258,2.32550644678111,2.8068744192069
"Tilman","Kuznets",2.04182554932427,2.60092431352184,2.35776062316847,2.84369890849769
"Tilman","Kuznets",2.07972639906122,2.6346511955466,2.39528553783977,2.87389311662392
"Tilman","Kuznets",2.11762724879816,2.66721668525774,2.42839507578955,2.90499235429316
"Tilman","Kuznets",2.15552809853511,2.69867170059088,2.46162208248335,2.93820217134906
"Tilman","Kuznets",2.19342894827205,2.72906416112363,2.49242859028691,2.96999209293461
"Tilman","Kuznets",2.231329798009,2.7584392106675,2.52081482724012,3.00095517918677
"Tilman","Kuznets",2.26923064774595,2.78683941996899,2.54882875888118,3.02947548962601
"Tilman","Kuznets",2.30713149748289,2.81430497159077,2.57520124703907,3.05622544372108
"Tilman","Kuznets",2.34503234721984,2.84087382879868,2.60330889522159,3.08518354950773
"Tilman","Kuznets",2.38293319695678,2.86658189006742,2.63203221873076,3.11064983215238
"Tilman","Kuznets",2.42083404669373,2.8914631306324,2.65274559367893,3.13498765749035
"Tilman","Kuznets",2.45873489643068,2.91554973235422,2.67364421803877,3.16321857713872
"Tilman","Kuznets",2.49663574616762,2.93887220302097,2.69237276424873,3.18603426986452
"Tilman","Kuznets",2.53453659590457,2.9614594860904,2.71590587755136,3.20913389207444
"Tilman","Kuznets",2.57243744564151,2.98333906176549,2.74016055735348,3.23070345488678
