"Grouping","Model","Bootstrap_Replicate","Parameter_1","Parameter_2","Parameter_3"
"Tilman","Kuznets",1,0.853393437720969,3.04690902665103,-0.838912507239899
"Tilman","Kuznets_Asymptoting",1,0.640104878072337,4.2253370265194,3.97272758791484
"Tilman","Kuznets",2,0.898088052831964,2.93590856668486,-0.791151846074368
"Tilman","Kuznets_Asymptoting",2,0.484048182748913,3.37044956557581,4.75973699720028
"Tilman","Kuznets",3,0.927923578043111,2.84888629841443,-0.780360006646179
"Tilman","Kuznets_Asymptoting",3,0.620129146061787,3.48392025128774,4.37235004814964
"Tilman","Kuznets",4,0.981791378216074,2.77202326837172,-0.775431937847814
"Tilman","Kuznets_Asymptoting",4,0.846335768352907,4.3334290204602,3.44131439693883
"Tilman","Kuznets",5,0.917792046743648,3.03420729027918,-0.842379892963559
"Tilman","Kuznets_Asymptoting",5,0.69793687154091,4.16472136380124,4.00106231650451
"Tilman","Kuznets",6,0.87474514363934,3.34925129386848,-0.929407716210679
"Tilman","Kuznets_Asymptoting",6,0.620154902270798,4.4624335803418,4.24765619939295
"Tilman","Kuznets",7,0.57597455176594,3.56631958230855,-0.978106422648265
"Tilman","Kuznets_Asymptoting",7,0.39642152151674,4.57194496747771,4.0472420595074
"Tilman","Kuznets",8,0.807368735418687,3.34257186723482,-0.949499200158516
"Tilman","Kuznets_Asymptoting",8,0.71744997718905,4.70910278844315,3.65560152204184
"Tilman","Kuznets",9,0.78319041347545,3.30473737354866,-0.915133397100368
"Tilman","Kuznets_Asymptoting",9,0.67690230712284,4.81546296191558,3.72251532694315
"Tilman","Kuznets",10,1.21043246426598,2.45716622418019,-0.678853180869461
"Tilman","Kuznets_Asymptoting",10,0.693589020333346,3.20016564576711,4.66410345918266
"Tilman","Kuznets",11,0.785736560107337,3.1005408208598,-0.845330468797652
"Tilman","Kuznets_Asymptoting",11,0.572474097139823,4.34341709369765,3.88381852868568
"Tilman","Kuznets",12,0.995527097501985,2.5473575240534,-0.691774338325379
"Tilman","Kuznets_Asymptoting",12,0.578498216116683,3.58513542164011,4.15324644798611
"Tilman","Kuznets",13,0.882581208948623,3.39442406458889,-0.970819946648866
"Tilman","Kuznets_Asymptoting",13,0.648597133215695,4.4188208185998,4.14220801913263
"Tilman","Kuznets",14,0.734229668248693,2.64500684653856,-0.687504300984192
"Tilman","Kuznets_Asymptoting",14,0.48873567508638,3.70098882307109,3.90032181111816
"Tilman","Kuznets",15,0.902726862697565,2.80230708280105,-0.76936481677696
"Tilman","Kuznets_Asymptoting",15,0.78710655073813,4.28242564065035,3.48415871826658
"Tilman","Kuznets",16,0.916954377446822,3.19207782739038,-0.903347772163557
"Tilman","Kuznets_Asymptoting",16,0.81642829729824,4.64028847776037,3.65566823874748
"Tilman","Kuznets",17,0.561512004235088,3.3785882750642,-0.930619612852976
"Tilman","Kuznets_Asymptoting",17,0.387646620288824,4.28897888223078,3.83986451812359
"Tilman","Kuznets",18,0.792819296959287,3.12709783452293,-0.864058039484908
"Tilman","Kuznets_Asymptoting",18,0.503084035495693,4.00728285138876,4.30318580384082
"Tilman","Kuznets",19,0.58915432051263,3.28343374691217,-0.905568392131645
"Tilman","Kuznets_Asymptoting",19,0.446292884918664,4.51588441740361,3.67360783949454
"Tilman","Kuznets",20,0.658275441268208,3.05858573203455,-0.825006041513175
"Tilman","Kuznets_Asymptoting",20,0.587663406553031,4.60769538914415,3.36674019913907
"Tilman","Kuznets",21,0.758706284649226,3.29939346849936,-0.900909387688124
"Tilman","Kuznets_Asymptoting",21,0.531659303469065,3.54800830761165,4.72939036443038
"Tilman","Kuznets",22,0.760819794861689,3.3397818547683,-0.926104131151758
"Tilman","Kuznets_Asymptoting",22,0.502968420414519,4.22458430745893,4.32642908568919
"Tilman","Kuznets",23,0.614447361094791,3.66387701153217,-1.01794285372961
"Tilman","Kuznets_Asymptoting",23,0.633979475910867,5.51599783519213,3.38149071595068
"Tilman","Kuznets",24,0.0295425121601344,4.10320547624549,-1.08065977158102
"Tilman","Kuznets_Asymptoting",24,-0.139846609114745,4.79442524093805,4.22901181264484
"Tilman","Kuznets",25,0.972623069561348,2.93408025474126,-0.827342110355401
"Tilman","Kuznets_Asymptoting",25,0.761216648065537,4.13374426696256,3.81169998395911
"Tilman","Kuznets",26,0.941127006191755,2.78682102613519,-0.780045945162988
"Tilman","Kuznets_Asymptoting",26,0.628364916914139,3.57335605073225,4.1224012103841
"Tilman","Kuznets",27,0.954059896121627,3.09681035590719,-0.846975568320393
"Tilman","Kuznets_Asymptoting",27,0.809449386342916,4.7203261398519,3.84803208084606
"Tilman","Kuznets",28,0.908528111496409,3.02097305492861,-0.824433213705414
"Tilman","Kuznets_Asymptoting",28,0.567532766582958,3.35712641104617,4.87410167634415
"Tilman","Kuznets",29,0.76263967253995,2.86503504372623,-0.760478499031244
"Tilman","Kuznets_Asymptoting",29,0.550737296796375,3.75239108833893,4.13219212453901
"Tilman","Kuznets",30,0.325590949348146,3.77629268476947,-1.00667894732944
"Tilman","Kuznets_Asymptoting",30,0.383492122533214,5.69612127485719,3.28890370507685
"Tilman","Kuznets",31,0.877486969877627,3.15965556294486,-0.870357759619467
"Tilman","Kuznets_Asymptoting",31,0.738994702081811,4.60533684337891,3.78031719843567
"Tilman","Kuznets",32,0.705754810877756,3.11517728234103,-0.847615700951588
"Tilman","Kuznets_Asymptoting",32,0.475424579073712,3.634156921936,4.3078458486661
"Tilman","Kuznets",33,0.88622328954607,2.99378479332556,-0.849320527085886
"Tilman","Kuznets_Asymptoting",33,0.720016886225768,4.39797815332393,3.57206330870175
"Tilman","Kuznets",34,1.13111325836774,2.75674284754306,-0.781607820731034
"Tilman","Kuznets_Asymptoting",34,0.948517657853895,4.27758644768207,3.68140117876038
"Tilman","Kuznets",35,0.929686573557842,2.74296965303162,-0.778632735438052
"Tilman","Kuznets_Asymptoting",35,0.719947839049103,3.92319341601253,3.53528890429453
"Tilman","Kuznets",36,1.61397505437061,2.32576555502283,-0.6831671344018
"Tilman","Kuznets_Asymptoting",36,1.21595789608027,3.83875494454918,4.20413842625968
"Tilman","Kuznets",37,0.899268337831548,2.97830467991372,-0.819148038696313
"Tilman","Kuznets_Asymptoting",37,0.959676650802908,5.3990804614108,2.85729073905569
"Tilman","Kuznets",38,0.925157299735446,3.16650500224857,-0.847340098149342
"Tilman","Kuznets_Asymptoting",38,0.591237803333723,3.85332904654227,4.88133444574978
