MODEL,SCENARIO,CLIMATE_METRIC,CLIMATE_VALUE,CLIMATE,BUDGET_2100,BUDGET_2050,OVERSHOOT,NEGATIVE_EMISSION,POLICY,TECHNOLOGY,BASELINE,Baseline Scenario
IMACLIM v1.1,EMF27-450-LimBio,Carbon Budget 2100,915633,Category 1,Category 1,Category 1,N/A,N1,P1,T2,EMF27-Base-LimBio,Policy
IMACLIM v1.1,EMF27-450-LimSW,Carbon Budget 2100,923905,Category 1,Category 1,Category 1 - 2,N/A,N1,P1,T2,EMF27-Base-LimSW,Policy
IMACLIM v1.1,EMF27-450-LowEI,Carbon Budget 2100,927465,Category 1,Category 1,Category 1,N/A,N1,P1,T0,EMF27-Base-LowEI,Policy
IMACLIM v1.1,EMF27-450-NucOff,Carbon Budget 2100,922650,Category 1,Category 1,Category 1 - 2,N/A,N1,P1,T2,EMF27-Base-NucOff,Policy
IMACLIM v1.1,EMF27-550-Conv,Carbon Budget 2100,1672660,Category 3,Category 3,Category 1 - 2,N/A,N1,P1,T2,EMF27-Base-Conv,Policy
IMACLIM v1.1,EMF27-550-EERE,Carbon Budget 2100,1671025,Category 3,Category 3,Category 2,N/A,N1,P1,T3,EMF27-Base-EERE,Policy
IMACLIM v1.1,EMF27-550-FullTech,Carbon Budget 2100,1669810,Category 3,Category 3,Category 1 - 2,N/A,N1,P1,T0,EMF27-Base-FullTech,Policy
IMACLIM v1.1,EMF27-550-LimBio,Carbon Budget 2100,1669090,Category 3,Category 3,Category 1 - 2,N/A,N1,P1,T2,EMF27-Base-LimBio,Policy
IMACLIM v1.1,EMF27-550-LimSW,Carbon Budget 2100,1669860,Category 3,Category 3,Category 1 - 2,N/A,N1,P1,T2,EMF27-Base-LimSW,Policy
IMACLIM v1.1,EMF27-550-LowEI,Carbon Budget 2100,1663630,Category 3,Category 3,Category 1 - 2,N/A,N1,P1,T0,EMF27-Base-LowEI,Policy
IMACLIM v1.1,EMF27-550-NoCCS,Carbon Budget 2100,1674700,Category 3,Category 3,Category 2,N/A,N1,P1,T3,EMF27-Base-FullTech,Policy
IMACLIM v1.1,EMF27-550-NucOff,Carbon Budget 2100,1668290,Category 3,Category 3,Category 1 - 2,N/A,N1,P1,T2,EMF27-Base-NucOff,Policy
IMACLIM v1.1,EMF27-FP-EERE,Carbon Budget 2100,2473650,Category 4,Category 4,Category 3 - 4,N/A,N1,P6,T3,EMF27-Base-EERE,Policy
IMACLIM v1.1,EMF27-FP-FullTech,Carbon Budget 2100,2915100,Category 5,Category 5,Category 3 - 5,N/A,N1,P6,T0,EMF27-Base-FullTech,Policy
IMACLIM v1.1,EMF27-G8-EERE,Carbon Budget 2100,1650445,Category 3,Category 3,N/A,N/A,N1,P7,T3,EMF27-Base-EERE,Policy
IMACLIM v1.1,EMF27-G8-FullTech,Carbon Budget 2100,2051050,Category 4,Category 4,N/A,N/A,N1,P7,T0,EMF27-Base-FullTech,Policy
IMAGE 2.4,AME 2.6 W/m2 OS,Forcing (MAGICC6),2.5283062974915,Category 1,Category 1,Category 1 - 2,O2,N1,P1,T0,AME Reference,Policy
IMAGE 2.4,AME 3.7 W/m2 NTE,Forcing (MAGICC6),3.6862495194654,Category 3,Category 4,Category 3 - 5,O1,N1,P1,T0,AME Reference,Policy
IMAGE 2.4,AME CO2 price $10 (5% p.a.),Forcing (MAGICC6),3.7808816882213,Category 3,Category 4,Category 3 - 5,O1,N1,P1,T0,AME Reference,Policy
IMAGE 2.4,AME CO2 price $30 (5% p.a.),Forcing (MAGICC6),3.1342645447656,Category 2,Category 3,Category 2 - 4,O1,N1,P1,T0,AME Reference,Policy
IMAGE 2.4,AME CO2 price $50 (5% p.a.),Forcing (MAGICC6),2.9644820777679,Category 2,Category 2,Category 1 - 2,O1,N1,P1,T0,AME Reference,Policy
IMAGE 2.4,AMPERE2-450-FullTech-OPT,Forcing (MAGICC6),2.8676861431192,Category 1,Category 2,Category 2 - 4,O2,N1,P1,T0,AMPERE2-Base-FullTech-OPT,Policy
IMAGE 2.4,AMPERE2-450-LimSW-OPT,Forcing (MAGICC6),2.8854978749923,Category 1,Category 2,Category 2 - 4,O2,N1,P1,T2,AMPERE2-Base-LimSW-OPT,Policy
IMAGE 2.4,AMPERE2-450-LowEI-HST,Forcing (MAGICC6),2.8870432582445,Category 1,Category 2,N/A,O2,N1,P3,T0,AMPERE2-Base-LowEI-OPT,Policy
IMAGE 2.4,AMPERE2-450-LowEI-LST,Forcing (MAGICC6),2.8865386442246,Category 1,Category 2,N/A,O2,N1,P3,T0,AMPERE2-Base-LowEI-OPT,Policy
IMAGE 2.4,AMPERE2-450-LowEI-OPT,Forcing (MAGICC6),2.9112051295916,Category 2,Category 2,Category 2 - 4,O2,N1,P1,T0,AMPERE2-Base-LowEI-OPT,Policy
IMAGE 2.4,AMPERE2-450-NucOff-OPT,Forcing (MAGICC6),2.9133028256207,Category 2,Category 2,Category 1 - 2,O1,N1,P1,T2,AMPERE2-Base-NucOff-OPT,Policy
IMAGE 2.4,AMPERE2-550-FullTech-HST,Forcing (MAGICC6),3.764946290701,Category 3,Category 4,N/A,O1,N1,P3,T0,AMPERE2-Base-FullTech-OPT,Policy
IMAGE 2.4,AMPERE2-550-FullTech-LST,Forcing (MAGICC6),3.8050883719222,Category 3,Category 4,N/A,O1,N1,P3,T0,AMPERE2-Base-FullTech-OPT,Policy
IMAGE 2.4,AMPERE2-550-FullTech-OPT,Forcing (MAGICC6),3.8197968816938,Category 3,Category 4,Category 4 - 6,O1,N1,P1,T0,AMPERE2-Base-FullTech-OPT,Policy
IMAGE 2.4,AMPERE3-450,Forcing (MAGICC6),2.8897299998266,Category 1,Category 2,Category 2 - 4,O2,N1,P1,T0,AMPERE3-Base,Policy
IMAGE 2.4,AMPERE3-450P-CE,Forcing (MAGICC6),3.3169164984313,Category 2,Category 3,N/A,O1,N1,P4,T0,AMPERE3-Base,Policy
IMAGE 2.4,AMPERE3-450P-EU,Forcing (MAGICC6),3.5216665733445,Category 3,Category 3,N/A,O1,N1,P4,T0,AMPERE3-Base,Policy
IMAGE 2.4,AMPERE3-550,Forcing (MAGICC6),3.8310188989944,Category 3,Category 4,Category 3 - 5,O1,N1,P1,T0,AMPERE3-Base,Policy
IMAGE 2.4,AMPERE3-CF450,Forcing (MAGICC6),2.8676861431192,Category 1,Category 2,Category 2 - 4,O2,N1,P1,T0,AMPERE3-Base,Policy
IMAGE 2.4,AMPERE3-CF550,Forcing (MAGICC6),3.8197968816938,Category 3,Category 4,Category 4 - 6,O1,N1,P1,T0,AMPERE3-Base,Policy
IMAGE 2.4,AMPERE3-RefP-CEback,Forcing (MAGICC6),5.4226474499713,Category 6,Category 6,Category 4 - 6,O1,N1,P6,T0,AMPERE3-Base,Policy
IMAGE 2.4,AMPERE3-RefP-EUback,Forcing (MAGICC6),5.6029556230449,Category 6,Category 6,Category 6,O1,N1,P6,T0,AMPERE3-Base,Policy
IMAGE 2.4,AMPERE3-RefPol,Forcing (MAGICC6),5.6193964570326,Category 6,Category 6,Category 6,O1,N1,P6,T0,AMPERE3-Base,Policy
IMAGE 2.4,EMF27-450-FullTech,Forcing (MAGICC6),2.7426112220846,Category 1,Category 2,Category 1 - 2,O2,N1,P1,T0,EMF27-Base-FullTech,Policy
IMAGE 2.4,EMF27-450-LimSW,Forcing (MAGICC6),2.7831354576733,Category 1,Category 2,Category 1 - 2,O2,N1,P1,T2,EMF27-Base-LimSW,Policy
IMAGE 2.4,EMF27-450-LowEI,Forcing (MAGICC6),2.8536809831165,Category 1,Category 2,Category 2 - 4,O2,N1,P1,T0,EMF27-Base-LowEI,Policy
IMAGE 2.4,EMF27-450-NucOff,Forcing (MAGICC6),2.7273632720317,Category 1,Category 2,Category 1 - 2,O2,N1,P1,T2,EMF27-Base-NucOff,Policy
IMAGE 2.4,EMF27-550-Conv,Forcing (MAGICC6),3.7314307096866,Category 3,Category 4,Category 3 - 5,O1,N1,P1,T2,EMF27-Base-Conv,Policy
IMAGE 2.4,EMF27-550-EERE,Forcing (MAGICC6),3.7507160964519,Category 3,Category 4,Category 3 - 4,O1,N1,P1,T3,EMF27-Base-EERE,Policy
IMAGE 2.4,EMF27-550-FullTech,Forcing (MAGICC6),3.7641764530916,Category 3,Category 3,Category 3 - 5,O1,N1,P1,T0,EMF27-Base-FullTech,Policy
IMAGE 2.4,EMF27-550-LimBio,Forcing (MAGICC6),3.7356043291739,Category 3,Category 4,Category 3 - 5,O1,N1,P1,T2,EMF27-Base-LimBio,Policy
IMAGE 2.4,EMF27-550-LimSW,Forcing (MAGICC6),3.7613637435879,Category 3,Category 3,Category 3 - 5,O1,N1,P1,T2,EMF27-Base-LimSW,Policy
IMAGE 2.4,EMF27-550-LowEI,Forcing (MAGICC6),3.7157930351592,Category 3,Category 3,Category 2 - 4,O1,N1,P1,T0,EMF27-Base-LowEI,Policy
IMAGE 2.4,EMF27-550-NoCCS,Forcing (MAGICC6),3.6420344612345,Category 3,Category 4,Category 3 - 4,O1,N1,P1,T3,EMF27-Base-FullTech,Policy
IMAGE 2.4,EMF27-550-NucOff,Forcing (MAGICC6),3.7087312482803,Category 3,Category 3,Category 3 - 5,O1,N1,P1,T2,EMF27-Base-NucOff,Policy
IMAGE 2.4,EMF27-FP-EERE,Forcing (MAGICC6),5.1229159662329,Category 6,Category 5,Category 4 - 5,O1,N1,P6,T3,EMF27-Base-EERE,Policy
IMAGE 2.4,EMF27-FP-FullTech,Forcing (MAGICC6),5.2684230475731,Category 6,Category 6,Category 4 - 6,O1,N1,P6,T0,EMF27-Base-FullTech,Policy
IMAGE 2.4,EMF27-G8-FullTech,Forcing (MAGICC6),3.120545272648,Category 2,Category 2,N/A,O1,N1,P7,T0,EMF27-Base-FullTech,Policy
IMAGE 2.4,LIMITS-450,Forcing (MAGICC6),2.8446209175167,Category 1,Category 2,Category 1 - 2,O2,N1,P1,T0,LIMITS-Base,Policy
IMAGE 2.4,LIMITS-500,Forcing (MAGICC6),3.3851795368635,Category 2,Category 3,Category 3 - 5,O1,N1,P1,T0,LIMITS-Base,Policy
IMAGE 2.4,LIMITS-RefPol,Forcing (MAGICC6),5.7565721411531,Category 6,Category 6,Category 6,O1,N1,P6,T0,LIMITS-Base,Policy
IMAGE 2.4,LIMITS-RefPol-450,Forcing (MAGICC6),2.8890420533842,Category 1,Category 2,Category 2 - 4,O2,N1,P2,T0,LIMITS-Base,Policy
IMAGE 2.4,LIMITS-RefPol-450-EE,Forcing (MAGICC6),2.8960649624367,Category 1,Category 2,Category 2 - 4,O2,N1,P2,T0,LIMITS-Base,Policy
IMAGE 2.4,LIMITS-RefPol-450-PC,Forcing (MAGICC6),2.8890602775795,Category 1,Category 2,Category 2 - 4,O2,N1,P2,T0,LIMITS-Base,Policy
IMAGE 2.4,LIMITS-RefPol-500,Forcing (MAGICC6),3.3665700057903,Category 2,Category 3,Category 3 - 5,O1,N1,P2,T0,LIMITS-Base,Policy
IMAGE 2.4,LIMITS-RefPol2030-500,Forcing (MAGICC6),3.344275249453,Category 2,Category 3,N/A,O2,N1,P3,T0,LIMITS-Base,Policy
IMAGE 2.4,LIMITS-StrPol,Forcing (MAGICC6),4.6993374992399,Category 5,Category 5,Category 3 - 5,O1,N1,P6,T0,LIMITS-Base,Policy
IMAGE 2.4,LIMITS-StrPol-450,Forcing (MAGICC6),2.9401721944878,Category 2,Category 2,Category 2 - 4,O1,N1,P2,T0,LIMITS-Base,Policy
IMAGE 2.4,LIMITS-StrPol-500,Forcing (MAGICC6),3.3778473696657,Category 2,Category 3,Category 2 - 4,O1,N1,P2,T0,LIMITS-Base,Policy
IMAGE 2.4,POEM_ScenarioA,Carbon Budget 2100,1154481.1766815,Category 2,Category 2,Category 2,N/A,N1,P1,T3,POEM_baseline,Policy
IMAGE 2.4,POEM_ScenarioA_CPH,Carbon Budget 2100,1179756.7478943,Category 2,Category 2,Category 2,N/A,N1,P1,T3,POEM_baseline,Policy
IMAGE 2.4,POEM_ScenarioB_CPH_early,Carbon Budget 2100,1179756.7478943,Category 2,Category 2,Category 2,N/A,N1,P1,T3,POEM_baseline,Policy
IMAGE 2.4 EMF22,EMF22 2.6 OS BECCS,Forcing Kyoto Gases (MAGICC6),2.8571787824295,Category 1,Category 2,Category 1 - 2,O1,N1,P1,T0,EMF22 Reference,Policy
IMAGE 2.4 EMF22,EMF22 3.7 NTE,Forcing Kyoto Gases (MAGICC6),3.9223189371437,Category 3,Category 4,Category 3 - 4,O1,N1,P1,T3,EMF22 Reference,Policy
IMAGE 2.4 EMF22,EMF22 3.7 NTE w Delay,Forcing Kyoto Gases (MAGICC6),3.9238193574026,Category 3,Category 4,N/A,O1,N1,P5,T3,EMF22 Reference,Policy
IMAGE 2.4 EMF22,EMF22 3.7 OS,Forcing Kyoto Gases (MAGICC6),3.9119591618838,Category 3,Category 4,Category 5 - 6,O1,N1,P1,T3,EMF22 Reference,Policy
IMAGE 2.4 EMF22,EMF22 3.7 OS w Delay,Forcing Kyoto Gases (MAGICC6),3.9922341237202,Category 3,Category 4,N/A,O1,N1,P5,T3,EMF22 Reference,Policy
IMAGE 2.4 EMF22,EMF22 4.5 NTE,Forcing Kyoto Gases (MAGICC6),4.618881796637,Category 4,Category 5,Category 5 - 6,O1,N1,P1,T3,EMF22 Reference,Policy
IMAGE 2.4 EMF22,EMF22 4.5 NTE w Delay,Forcing Kyoto Gases (MAGICC6),4.7672447998625,Category 5,Category 5,N/A,O1,N1,P5,T3,EMF22 Reference,Policy
KEI-Linkages,AME CO2 price $10 (5% p.a.),Carbon Budget 2050,1573018.0506645,Category 5 - 6,N/A,Category 5 - 6,N/A,N/A,P1,T1,AME Reference,Policy
KEI-Linkages,AME CO2 price $30 (5% p.a.),Carbon Budget 2050,1305199.7543235,Category 3 - 4,N/A,Category 3 - 4,N/A,N/A,P1,T1,AME Reference,Policy
KEI-Linkages,AME CO2 price $50 (5% p.a.),Carbon Budget 2050,1163263.4271455,Category 3 - 4,N/A,Category 3 - 4,N/A,N/A,P1,T1,AME Reference,Policy
MARIA23_org,AME 3.7 W/m2 NTE,Carbon Budget 2100,1504892.5618542,Category 3,Category 3,Category 1,N/A,N1,P1,T1,AME Reference,Policy
MARIA23_org,AME CO2 price $10 (5% p.a.),Carbon Budget 2100,2172196.5397774,Category 4,Category 4,Category 3 - 4,N/A,N1,P1,T1,AME Reference,Policy
MARIA23_org,AME CO2 price $30 (5% p.a.),Carbon Budget 2100,1506785.3308578,Category 3,Category 3,Category 2,N/A,N1,P1,T1,AME Reference,Policy
MARIA23_org,AME CO2 price $50 (5% p.a.),Carbon Budget 2100,1293076.4873254,Category 2,Category 2,Category 1,N/A,N1,P1,T1,AME Reference,Policy
MERGE-ETL_2011,AMPERE2-450-Conv-OPT,Forcing (MAGICC6),2.8613600281763,Category 1,Category 2,Category 1 - 2,O1,N1,P1,T2,AMPERE2-Base-Conv-OPT,Policy
MERGE-ETL_2011,AMPERE2-450-EERE-OPT,Forcing (MAGICC6),2.7975100955474,Category 1,Category 2,Category 2,O1,N1,P1,T3,AMPERE2-Base-EERE-OPT,Policy
MERGE-ETL_2011,AMPERE2-450-FullTech-HST,Forcing (MAGICC6),2.7859652199427,Category 1,Category 2,N/A,O2,N1,P3,T0,AMPERE2-Base-FullTech-OPT,Policy
MERGE-ETL_2011,AMPERE2-450-FullTech-LST,Forcing (MAGICC6),2.8157683557919,Category 1,Category 2,N/A,O2,N1,P3,T0,AMPERE2-Base-FullTech-OPT,Policy
MERGE-ETL_2011,AMPERE2-450-FullTech-OPT,Forcing (MAGICC6),2.7945126023199,Category 1,Category 2,Category 2 - 4,O2,N1,P1,T0,AMPERE2-Base-FullTech-OPT,Policy
MERGE-ETL_2011,AMPERE2-450-LimBio-OPT,Forcing (MAGICC6),2.8170457584296,Category 1,Category 2,Category 2 - 4,O2,N1,P1,T2,AMPERE2-Base-LimBio-OPT,Policy
MERGE-ETL_2011,AMPERE2-450-LimSW-HST,Forcing (MAGICC6),2.7897163007911,Category 1,Category 2,N/A,O2,N1,P3,T2,AMPERE2-Base-LimSW-OPT,Policy
MERGE-ETL_2011,AMPERE2-450-LimSW-LST,Forcing (MAGICC6),2.834078048472,Category 1,Category 2,N/A,O2,N1,P3,T2,AMPERE2-Base-LimSW-OPT,Policy
MERGE-ETL_2011,AMPERE2-450-LimSW-OPT,Forcing (MAGICC6),2.8500472141195,Category 1,Category 2,Category 1 - 2,O1,N1,P1,T2,AMPERE2-Base-LimSW-OPT,Policy
MERGE-ETL_2011,AMPERE2-450-LowEI-HST,Forcing (MAGICC6),2.7797835635276,Category 1,Category 2,N/A,O2,N1,P3,T0,AMPERE2-Base-LowEI-OPT,Policy
MERGE-ETL_2011,AMPERE2-450-LowEI-LST,Forcing (MAGICC6),2.7936875792804,Category 1,Category 2,N/A,O2,N1,P3,T0,AMPERE2-Base-LowEI-OPT,Policy
MERGE-ETL_2011,AMPERE2-450-LowEI-OPT,Forcing (MAGICC6),2.787278417991,Category 1,Category 2,Category 2 - 4,O2,N1,P1,T0,AMPERE2-Base-LowEI-OPT,Policy
MERGE-ETL_2011,AMPERE2-450-NoCCS-OPT,Forcing (MAGICC6),2.7956393190963,Category 1,Category 2,Category 2,O1,N1,P1,T3,AMPERE2-Base-FullTech-OPT,Policy
MERGE-ETL_2011,AMPERE2-450-NucOff-LST,Forcing (MAGICC6),2.8152091056685,Category 1,Category 2,N/A,O2,N1,P3,T2,AMPERE2-Base-NucOff-OPT,Policy
MERGE-ETL_2011,AMPERE2-450-NucOff-OPT,Forcing (MAGICC6),2.7923617407984,Category 1,Category 2,Category 2 - 4,O2,N1,P1,T2,AMPERE2-Base-NucOff-OPT,Policy
MERGE-ETL_2011,AMPERE2-550-Conv-OPT,Forcing (MAGICC6),3.6814523942097,Category 3,Category 4,Category 3 - 5,O1,N1,P1,T2,AMPERE2-Base-Conv-OPT,Policy
MERGE-ETL_2011,AMPERE2-550-EERE-OPT,Forcing (MAGICC6),3.5878100810261,Category 3,Category 4,Category 5 - 6,O1,N1,P1,T3,AMPERE2-Base-EERE-OPT,Policy
MERGE-ETL_2011,AMPERE2-550-FullTech-HST,Forcing (MAGICC6),3.6283771300186,Category 3,Category 4,N/A,O2,N1,P3,T0,AMPERE2-Base-FullTech-OPT,Policy
MERGE-ETL_2011,AMPERE2-550-FullTech-LST,Forcing (MAGICC6),3.6336218833721,Category 3,Category 4,N/A,O2,N1,P3,T0,AMPERE2-Base-FullTech-OPT,Policy
MERGE-ETL_2011,AMPERE2-550-FullTech-OPT,Forcing (MAGICC6),3.6001665753815,Category 3,Category 4,Category 6,O2,N1,P1,T0,AMPERE2-Base-FullTech-OPT,Policy
MERGE-ETL_2011,AMPERE2-550-LimBio-OPT,Forcing (MAGICC6),3.6207172045031,Category 3,Category 4,Category 4 - 6,O1,N1,P1,T2,AMPERE2-Base-LimBio-OPT,Policy
MERGE-ETL_2011,AMPERE2-550-LimSW-OPT,Forcing (MAGICC6),3.6541542790375,Category 3,Category 4,Category 4 - 6,O1,N1,P1,T2,AMPERE2-Base-LimSW-OPT,Policy
MERGE-ETL_2011,AMPERE2-550-LowEI-OPT,Forcing (MAGICC6),3.6177264332556,Category 3,Category 4,Category 4 - 6,O2,N1,P1,T0,AMPERE2-Base-LowEI-OPT,Policy
MERGE-ETL_2011,AMPERE2-550-NoCCS-OPT,Forcing (MAGICC6),3.5947797195271,Category 3,Category 4,Category 4 - 5,O1,N1,P1,T3,AMPERE2-Base-FullTech-OPT,Policy
MERGE-ETL_2011,AMPERE2-550-NucOff-OPT,Forcing (MAGICC6),3.5968395171465,Category 3,Category 4,Category 6,O2,N1,P1,T2,AMPERE2-Base-NucOff-OPT,Policy
MERGE-ETL_2011,AMPERE3-450,Forcing (MAGICC6),2.7946421621075,Category 1,Category 2,Category 2 - 4,O2,N1,P1,T0,AMPERE3-Base,Policy
MERGE-ETL_2011,AMPERE3-450P-CE,Forcing (MAGICC6),3.1463608836547,Category 2,Category 3,N/A,O2,N1,P4,T0,AMPERE3-Base,Policy
MERGE-ETL_2011,AMPERE3-450P-EU,Forcing (MAGICC6),3.2549437139017,Category 2,Category 3,N/A,O2,N1,P4,T0,AMPERE3-Base,Policy
MERGE-ETL_2011,AMPERE3-550,Forcing (MAGICC6),3.6014609568773,Category 3,Category 4,Category 6,O2,N1,P1,T0,AMPERE3-Base,Policy
MERGE-ETL_2011,AMPERE3-550P-EU,Forcing (MAGICC6),3.7334333437179,Category 3,Category 4,N/A,O2,N1,P4,T0,AMPERE3-Base,Policy
MERGE-ETL_2011,AMPERE3-Base-EU,Forcing (MAGICC6),8.5334690539364,Category 7,Category 7,Category 7,O1,N1,P0,T0,AMPERE3-Base,Policy
MERGE-ETL_2011,AMPERE3-Base-EUback,Forcing (MAGICC6),8.767297018927,Category 7,Category 7,Category 7,O1,N1,P0,T0,AMPERE3-Base,Policy
MERGE-ETL_2011,AMPERE3-CF450,Forcing (MAGICC6),2.7940230252014,Category 1,Category 2,Category 2 - 4,O2,N1,P1,T0,AMPERE3-Base,Policy
MERGE-ETL_2011,AMPERE3-CF450P-EU,Forcing (MAGICC6),3.5239360444133,Category 3,Category 4,N/A,O2,N1,P4,T0,AMPERE3-Base,Policy
MERGE-ETL_2011,AMPERE3-CF550,Forcing (MAGICC6),3.599247948637,Category 3,Category 4,Category 6,O2,N1,P1,T0,AMPERE3-Base,Policy
MERGE-ETL_2011,AMPERE3-RefP-CE,Forcing (MAGICC6),5.6196838639724,Category 6,Category 6,Category 6,O1,N1,P6,T0,AMPERE3-Base,Policy
MERGE-ETL_2011,AMPERE3-RefP-CEback,Forcing (MAGICC6),6.0286759475719,Category 6,Category 6,Category 6,O1,N1,P6,T0,AMPERE3-Base,Policy
MERGE-ETL_2011,AMPERE3-RefP-EU,Forcing (MAGICC6),6.0475642469495,Category 6,Category 6,Category 6,O1,N1,P6,T0,AMPERE3-Base,Policy
MERGE-ETL_2011,AMPERE3-RefP-EUback,Forcing (MAGICC6),6.0770263380687,Category 6,Category 6,Category 6,O1,N1,P6,T0,AMPERE3-Base,Policy
MERGE-ETL_2011,AMPERE3-RefPol,Forcing (MAGICC6),6.1947026965085,Category 6,Category 6,Category 7,O1,N1,P6,T0,AMPERE3-Base,Policy
MERGE_AME,AME 3.7 W/m2 NTE,Forcing (MAGICC6),4.1137164675893,Category 4,Category 4,Category 3 - 4,O1,N1,P1,T1,AME Reference,Policy
MERGE_AME,AME CO2 price $10 (5% p.a.),Forcing (MAGICC6),4.6906906652849,Category 5,Category 5,Category 5 - 6,O1,N1,P1,T1,AME Reference,Policy
MERGE_AME,AME CO2 price $30 (5% p.a.),Forcing (MAGICC6),4.0452962590664,Category 4,Category 3,Category 3 - 4,O1,N1,P1,T1,AME Reference,Policy
MERGE_AME,AME CO2 price $50 (5% p.a.),Forcing (MAGICC6),3.8678367145482,Category 3,Category 3,Category 3 - 4,O1,N1,P1,T1,AME Reference,Policy
MERGE_EMF22,EMF22 3.7 NTE,Forcing Kyoto Gases (MAGICC6),3.9755295651253,Category 3,Category 3,Category 3 - 4,O1,N1,P1,T1,EMF22 Reference,Policy
MERGE_EMF22,EMF22 3.7 NTE Pessimistic Growth,Forcing Kyoto Gases (MAGICC6),4.0832868908499,Category 3,Category 3,Category 2,O1,N1,P1,T1,EMF22 Reference Pessimistic Growth,Policy
MERGE_EMF22,EMF22 3.7 NTE w Delay Pessimistic Growth,Forcing Kyoto Gases (MAGICC6),3.9773400288678,Category 3,Category 3,N/A,O1,N1,P5,T1,EMF22 Reference Pessimistic Growth,Policy
MERGE_EMF22,EMF22 3.7 OS,Forcing Kyoto Gases (MAGICC6),4.0028663979831,Category 3,Category 3,Category 3 - 4,O1,N1,P1,T1,EMF22 Reference,Policy
MERGE_EMF22,EMF22 3.7 OS Pessimistic Growth,Forcing Kyoto Gases (MAGICC6),3.9972724222144,Category 3,Category 3,Category 2,O1,N1,P1,T1,EMF22 Reference Pessimistic Growth,Policy
MERGE_EMF22,EMF22 3.7 OS w Delay Pessimistic Growth,Carbon Budget 2100,1767472.0486758,Category 3,Category 3,N/A,N/A,N1,P5,T1,EMF22 Reference Pessimistic Growth,Policy
MERGE_EMF22,EMF22 4.5 NTE,Forcing Kyoto Gases (MAGICC6),4.7816983064481,Category 5,Category 5,Category 5 - 6,O1,N1,P1,T1,EMF22 Reference,Policy
MERGE_EMF22,EMF22 4.5 NTE Pessimistic Growth,Forcing Kyoto Gases (MAGICC6),4.8783596929512,Category 5,Category 4,Category 4 - 5,O1,N1,P1,T1,EMF22 Reference Pessimistic Growth,Policy
MERGE_EMF22,EMF22 4.5 NTE w Delay,Forcing Kyoto Gases (MAGICC6),4.7840919781162,Category 5,Category 5,N/A,O1,N1,P5,T1,EMF22 Reference,Policy
MERGE_EMF22,EMF22 4.5 NTE w Delay Pessimistic Growth,Forcing Kyoto Gases (MAGICC6),4.7883016554275,Category 5,Category 5,N/A,O1,N1,P5,T1,EMF22 Reference Pessimistic Growth,Policy
MERGE_EMF27,EMF27-450-Conv,Forcing (MAGICC6),2.8508214424651,Category 1,Category 1,Category 1 - 2,O1,N1,P1,T2,EMF27-Base-Conv,Policy
MERGE_EMF27,EMF27-450-FullTech,Forcing (MAGICC6),2.8963106699956,Category 1,Category 1,Category 2 - 4,O2,N1,P1,T0,EMF27-Base-FullTech,Policy
MERGE_EMF27,EMF27-450-LimBio,Forcing (MAGICC6),2.8503826021875,Category 1,Category 1,Category 1 - 2,O1,N1,P1,T2,EMF27-Base-LimBio,Policy
MERGE_EMF27,EMF27-450-LimSW,Forcing (MAGICC6),2.8966817860597,Category 1,Category 1,Category 2 - 4,O2,N1,P1,T2,EMF27-Base-LimSW,Policy
MERGE_EMF27,EMF27-450-LowEI,Forcing (MAGICC6),2.8908371901713,Category 1,Category 1,Category 2 - 4,O2,N1,P1,T0,EMF27-Base-LowEI,Policy
MERGE_EMF27,EMF27-450-NucOff,Forcing (MAGICC6),2.8963675189656,Category 1,Category 1,Category 2 - 4,O2,N1,P1,T2,EMF27-Base-NucOff,Policy
MERGE_EMF27,EMF27-550-Conv,Forcing (MAGICC6),3.6487763939132,Category 3,Category 3,Category 2 - 4,O1,N1,P1,T2,EMF27-Base-Conv,Policy
MERGE_EMF27,EMF27-550-EERE,Forcing (MAGICC6),3.6425701726942,Category 3,Category 3,Category 3 - 4,O1,N1,P1,T3,EMF27-Base-EERE,Policy
MERGE_EMF27,EMF27-550-FullTech,Forcing (MAGICC6),3.644384253133,Category 3,Category 3,Category 2 - 4,O1,N1,P1,T0,EMF27-Base-FullTech,Policy
MERGE_EMF27,EMF27-550-LimBio,Forcing (MAGICC6),3.6491550587013,Category 3,Category 3,Category 2 - 4,O1,N1,P1,T2,EMF27-Base-LimBio,Policy
MERGE_EMF27,EMF27-550-LimSW,Forcing (MAGICC6),3.6434796948765,Category 3,Category 3,Category 2 - 4,O1,N1,P1,T2,EMF27-Base-LimSW,Policy
MERGE_EMF27,EMF27-550-LimTech,Forcing (MAGICC6),3.6468315752037,Category 3,Category 3,Category 3 - 4,O1,N1,P1,T3,EMF27-Base-LimTech,Policy
MERGE_EMF27,EMF27-550-LowEI,Forcing (MAGICC6),3.6324347934998,Category 3,Category 3,Category 2 - 4,O1,N1,P1,T0,EMF27-Base-LowEI,Policy
MERGE_EMF27,EMF27-550-NoCCS,Forcing (MAGICC6),3.642558235892,Category 3,Category 3,Category 3 - 4,O1,N1,P1,T3,EMF27-Base-FullTech,Policy
MERGE_EMF27,EMF27-550-NucOff,Forcing (MAGICC6),3.6448021396477,Category 3,Category 3,Category 2 - 4,O1,N1,P1,T2,EMF27-Base-NucOff,Policy
