MODEL,SCENARIO,REGION,variable,filter,growtherror
WITCH-GLOBIOM,SSP5-34,World,fossilco2,0.1%/y tolerance 2005-2020,-0.08233638362456541
WITCH-GLOBIOM,SSP5-34,World,pcgdpppp,0.1%/y tolerance 2005-2020,0.4807479860507753
WITCH-GLOBIOM,SSP5-34,World,pop,0.1%/y tolerance 2005-2020,-0.1915665862885252
AIM/CGE,SSP2-19,World,co2intensity,0.2%/y tolerance 2005-2020,0.10490750631504686
AIM/CGE,SSP2-19,World,energyintensity,0.2%/y tolerance 2005-2020,-0.3515586926051826
AIM/CGE,SSP2-19,World,fossilco2,0.2%/y tolerance 2005-2020,0.1273281468873786
AIM/CGE,SSP2-19,World,pcgdpppp,0.2%/y tolerance 2005-2020,0.49670738479880105
AIM/CGE,SSP2-19,World,pop,0.2%/y tolerance 2005-2020,-0.12272805162128675
AIM/CGE,SSP2-26,World,co2intensity,0.2%/y tolerance 2005-2020,0.10471845686998815
AIM/CGE,SSP2-26,World,energyintensity,0.2%/y tolerance 2005-2020,-0.3518409387839374
AIM/CGE,SSP2-26,World,fossilco2,0.2%/y tolerance 2005-2020,0.12690025893944235
AIM/CGE,SSP2-26,World,pcgdpppp,0.2%/y tolerance 2005-2020,0.49675079247467835
AIM/CGE,SSP2-26,World,pop,0.2%/y tolerance 2005-2020,-0.12272805162128675
AIM/CGE,SSP2-34,World,co2intensity,0.2%/y tolerance 2005-2020,0.10471845686998815
AIM/CGE,SSP2-34,World,energyintensity,0.2%/y tolerance 2005-2020,-0.3518409387839374
AIM/CGE,SSP2-34,World,fossilco2,0.2%/y tolerance 2005-2020,0.12690025893944235
AIM/CGE,SSP2-34,World,pcgdpppp,0.2%/y tolerance 2005-2020,0.49675079247467835
AIM/CGE,SSP2-34,World,pop,0.2%/y tolerance 2005-2020,-0.12272805162128675
AIM/CGE,SSP2-45,World,co2intensity,0.2%/y tolerance 2005-2020,0.10471845686998815
AIM/CGE,SSP2-45,World,energyintensity,0.2%/y tolerance 2005-2020,-0.3518409387839374
AIM/CGE,SSP2-45,World,fossilco2,0.2%/y tolerance 2005-2020,0.12690025893944235
AIM/CGE,SSP2-45,World,pcgdpppp,0.2%/y tolerance 2005-2020,0.49675079247467835
AIM/CGE,SSP2-45,World,pop,0.2%/y tolerance 2005-2020,-0.12272805162128675
AIM/CGE,SSP2-60,World,co2intensity,0.2%/y tolerance 2005-2020,0.10471845686998815
AIM/CGE,SSP2-60,World,energyintensity,0.2%/y tolerance 2005-2020,-0.3518409387839374
AIM/CGE,SSP2-60,World,fossilco2,0.2%/y tolerance 2005-2020,0.12690025893944235
AIM/CGE,SSP2-60,World,pcgdpppp,0.2%/y tolerance 2005-2020,0.49675079247467835
AIM/CGE,SSP2-60,World,pop,0.2%/y tolerance 2005-2020,-0.12272805162128675
AIM/CGE,SSP5-26,World,co2intensity,0.2%/y tolerance 2005-2020,0.17033292546485335
AIM/CGE,SSP5-26,World,energyintensity,0.2%/y tolerance 2005-2020,-0.57285612100333
AIM/CGE,SSP5-26,World,fossilco2,0.2%/y tolerance 2005-2020,0.06286801248090934
AIM/CGE,SSP5-26,World,pcgdpppp,0.2%/y tolerance 2005-2020,0.6633758956020939
AIM/CGE,SSP5-26,World,pop,0.2%/y tolerance 2005-2020,-0.19798468758270782
AIM/CGE,SSP5-34,World,co2intensity,0.2%/y tolerance 2005-2020,0.17033292546485335
AIM/CGE,SSP5-34,World,energyintensity,0.2%/y tolerance 2005-2020,-0.57285612100333
AIM/CGE,SSP5-34,World,fossilco2,0.2%/y tolerance 2005-2020,0.06286801248090934
AIM/CGE,SSP5-34,World,pcgdpppp,0.2%/y tolerance 2005-2020,0.6633758956020939
AIM/CGE,SSP5-34,World,pop,0.2%/y tolerance 2005-2020,-0.19798468758270782
AIM/CGE,SSP5-45,World,co2intensity,0.2%/y tolerance 2005-2020,0.17033292546485335
AIM/CGE,SSP5-45,World,energyintensity,0.2%/y tolerance 2005-2020,-0.57285612100333
AIM/CGE,SSP5-45,World,fossilco2,0.2%/y tolerance 2005-2020,0.06286801248090934
AIM/CGE,SSP5-45,World,pcgdpppp,0.2%/y tolerance 2005-2020,0.6633758956020939
AIM/CGE,SSP5-45,World,pop,0.2%/y tolerance 2005-2020,-0.19798468758270782
AIM/CGE,SSP5-60,World,co2intensity,0.2%/y tolerance 2005-2020,0.17033292546485335
AIM/CGE,SSP5-60,World,energyintensity,0.2%/y tolerance 2005-2020,-0.57285612100333
AIM/CGE,SSP5-60,World,fossilco2,0.2%/y tolerance 2005-2020,0.06286801248090934
AIM/CGE,SSP5-60,World,pcgdpppp,0.2%/y tolerance 2005-2020,0.6633758956020939
AIM/CGE,SSP5-60,World,pop,0.2%/y tolerance 2005-2020,-0.19798468758270782
IMAGE,SSP2-45,World,co2intensity,0.2%/y tolerance 2005-2020,-0.11023072271300771
IMAGE,SSP2-45,World,energyintensity,0.2%/y tolerance 2005-2020,-0.31580579527510033
IMAGE,SSP2-45,World,fossilco2,0.2%/y tolerance 2005-2020,-0.14267738677218333
IMAGE,SSP2-45,World,pcgdpppp,0.2%/y tolerance 2005-2020,0.40488640646473795
IMAGE,SSP2-45,World,pop,0.2%/y tolerance 2005-2020,-0.12152727524881324
IMAGE,SSP2-60,World,co2intensity,0.2%/y tolerance 2005-2020,-0.09350609039070856
IMAGE,SSP2-60,World,energyintensity,0.2%/y tolerance 2005-2020,-0.25640348963229953
IMAGE,SSP2-60,World,fossilco2,0.2%/y tolerance 2005-2020,-0.06655044880708338
IMAGE,SSP2-60,World,pcgdpppp,0.2%/y tolerance 2005-2020,0.40488640646473795
IMAGE,SSP2-60,World,pop,0.2%/y tolerance 2005-2020,-0.12152727524881324
IMAGE,SSP2-Baseline,World,co2intensity,0.2%/y tolerance 2005-2020,-0.07501456894658887
IMAGE,SSP2-Baseline,World,energyintensity,0.2%/y tolerance 2005-2020,-0.19903381481255655
IMAGE,SSP2-Baseline,World,fossilco2,0.2%/y tolerance 2005-2020,0.00931074745677929
IMAGE,SSP2-Baseline,World,pcgdpppp,0.2%/y tolerance 2005-2020,0.40488640646473795
IMAGE,SSP2-Baseline,World,pop,0.2%/y tolerance 2005-2020,-0.12152727524881324
IMAGE,SSP3-34,World,co2intensity,0.2%/y tolerance 2005-2020,-0.17700180272562416
IMAGE,SSP3-34,World,energyintensity,0.2%/y tolerance 2005-2020,-0.22830351970722673
IMAGE,SSP3-34,World,fossilco2,0.2%/y tolerance 2005-2020,-0.16953608421627164
IMAGE,SSP3-34,World,pcgdpppp,0.2%/y tolerance 2005-2020,0.29207790761491936
IMAGE,SSP3-34,World,pop,0.2%/y tolerance 2005-2020,-0.056308669398340117
IMAGE,SSP3-45,World,co2intensity,0.2%/y tolerance 2005-2020,-0.11596006342572052
IMAGE,SSP3-45,World,energyintensity,0.2%/y tolerance 2005-2020,-0.11172159168884122
IMAGE,SSP3-45,World,fossilco2,0.2%/y tolerance 2005-2020,0.008087583102017515
IMAGE,SSP3-45,World,pcgdpppp,0.2%/y tolerance 2005-2020,0.29207790761491936
IMAGE,SSP3-45,World,pop,0.2%/y tolerance 2005-2020,-0.056308669398340117
IMAGE,SSP3-60,World,co2intensity,0.2%/y tolerance 2005-2020,-0.07610257983250746
IMAGE,SSP3-60,World,energyintensity,0.2%/y tolerance 2005-2020,-0.010895551374293655
IMAGE,SSP3-60,World,fossilco2,0.2%/y tolerance 2005-2020,0.14877110700977814
IMAGE,SSP3-60,World,pcgdpppp,0.2%/y tolerance 2005-2020,0.29207790761491936
IMAGE,SSP3-60,World,pop,0.2%/y tolerance 2005-2020,-0.056308669398340117
IMAGE,SSP3-Baseline,World,co2intensity,0.2%/y tolerance 2005-2020,-0.07383499320902787
IMAGE,SSP3-Baseline,World,energyintensity,0.2%/y tolerance 2005-2020,0.011400910282455046
IMAGE,SSP3-Baseline,World,fossilco2,0.2%/y tolerance 2005-2020,0.17333515529000643
IMAGE,SSP3-Baseline,World,pcgdpppp,0.2%/y tolerance 2005-2020,0.29207790761491936
IMAGE,SSP3-Baseline,World,pop,0.2%/y tolerance 2005-2020,-0.056308669398340117
IMAGE,SSP5-34,World,co2intensity,0.2%/y tolerance 2005-2020,-0.12680799485743877
IMAGE,SSP5-34,World,energyintensity,0.2%/y tolerance 2005-2020,-0.2965142596625341
IMAGE,SSP5-34,World,fossilco2,0.2%/y tolerance 2005-2020,0.12299754911743976
IMAGE,SSP5-34,World,pcgdpppp,0.2%/y tolerance 2005-2020,0.7435153051206221
IMAGE,SSP5-34,World,pop,0.2%/y tolerance 2005-2020,-0.19719550148320952
REMIND-MAGPIE,SSP2-19,World,co2intensity,0.2%/y tolerance 2005-2020,-0.012131306506821815
REMIND-MAGPIE,SSP2-19,World,energyintensity,0.2%/y tolerance 2005-2020,-0.2642517623436691
REMIND-MAGPIE,SSP2-19,World,fossilco2,0.2%/y tolerance 2005-2020,0.06442450494926244
REMIND-MAGPIE,SSP2-19,World,pcgdpppp,0.2%/y tolerance 2005-2020,0.46538087407604656
REMIND-MAGPIE,SSP2-19,World,pop,0.2%/y tolerance 2005-2020,-0.12457330027629321
REMIND-MAGPIE,SSP2-26,World,co2intensity,0.2%/y tolerance 2005-2020,-0.012131306506821815
REMIND-MAGPIE,SSP2-26,World,energyintensity,0.2%/y tolerance 2005-2020,-0.2642517623436691
REMIND-MAGPIE,SSP2-26,World,fossilco2,0.2%/y tolerance 2005-2020,0.06442450494926244
REMIND-MAGPIE,SSP2-26,World,pcgdpppp,0.2%/y tolerance 2005-2020,0.46538087407604656
REMIND-MAGPIE,SSP2-26,World,pop,0.2%/y tolerance 2005-2020,-0.12457330027629321
REMIND-MAGPIE,SSP2-34,World,co2intensity,0.2%/y tolerance 2005-2020,-0.012131306506821815
REMIND-MAGPIE,SSP2-34,World,energyintensity,0.2%/y tolerance 2005-2020,-0.2642517623436691
REMIND-MAGPIE,SSP2-34,World,fossilco2,0.2%/y tolerance 2005-2020,0.06442450494926244
REMIND-MAGPIE,SSP2-34,World,pcgdpppp,0.2%/y tolerance 2005-2020,0.46538087407604656
REMIND-MAGPIE,SSP2-34,World,pop,0.2%/y tolerance 2005-2020,-0.12457330027629321
REMIND-MAGPIE,SSP2-45,World,co2intensity,0.2%/y tolerance 2005-2020,-0.012131306506821815
REMIND-MAGPIE,SSP2-45,World,energyintensity,0.2%/y tolerance 2005-2020,-0.2642517623436691
REMIND-MAGPIE,SSP2-45,World,fossilco2,0.2%/y tolerance 2005-2020,0.06442450494926244
REMIND-MAGPIE,SSP2-45,World,pcgdpppp,0.2%/y tolerance 2005-2020,0.46538087407604656
REMIND-MAGPIE,SSP2-45,World,pop,0.2%/y tolerance 2005-2020,-0.12457330027629321
REMIND-MAGPIE,SSP2-60,World,co2intensity,0.2%/y tolerance 2005-2020,-0.012131306506821815
REMIND-MAGPIE,SSP2-60,World,energyintensity,0.2%/y tolerance 2005-2020,-0.2642517623436691
REMIND-MAGPIE,SSP2-60,World,fossilco2,0.2%/y tolerance 2005-2020,0.06442450494926244
REMIND-MAGPIE,SSP2-60,World,pcgdpppp,0.2%/y tolerance 2005-2020,0.46538087407604656
REMIND-MAGPIE,SSP2-60,World,pop,0.2%/y tolerance 2005-2020,-0.12457330027629321
REMIND-MAGPIE,SSP5-19,World,co2intensity,0.2%/y tolerance 2005-2020,-0.15697816110426932
REMIND-MAGPIE,SSP5-19,World,energyintensity,0.2%/y tolerance 2005-2020,-0.1026413521542664
REMIND-MAGPIE,SSP5-19,World,fossilco2,0.2%/y tolerance 2005-2020,0.12714261637663715
REMIND-MAGPIE,SSP5-19,World,pcgdpppp,0.2%/y tolerance 2005-2020,0.5868244963122979
REMIND-MAGPIE,SSP5-19,World,pop,0.2%/y tolerance 2005-2020,-0.20006236667712507
REMIND-MAGPIE,SSP5-26,World,co2intensity,0.2%/y tolerance 2005-2020,-0.15697816110426932
REMIND-MAGPIE,SSP5-26,World,energyintensity,0.2%/y tolerance 2005-2020,-0.1026413521542664
REMIND-MAGPIE,SSP5-26,World,fossilco2,0.2%/y tolerance 2005-2020,0.12714261637663715
REMIND-MAGPIE,SSP5-26,World,pcgdpppp,0.2%/y tolerance 2005-2020,0.5868244963122979
REMIND-MAGPIE,SSP5-26,World,pop,0.2%/y tolerance 2005-2020,-0.20006236667712507
REMIND-MAGPIE,SSP5-34,World,co2intensity,0.2%/y tolerance 2005-2020,-0.15697816110426932
REMIND-MAGPIE,SSP5-34,World,energyintensity,0.2%/y tolerance 2005-2020,-0.1026413521542664
REMIND-MAGPIE,SSP5-34,World,fossilco2,0.2%/y tolerance 2005-2020,0.12714261637663715
REMIND-MAGPIE,SSP5-34,World,pcgdpppp,0.2%/y tolerance 2005-2020,0.5868244963122979
REMIND-MAGPIE,SSP5-34,World,pop,0.2%/y tolerance 2005-2020,-0.20006236667712507
REMIND-MAGPIE,SSP5-45,World,co2intensity,0.2%/y tolerance 2005-2020,-0.15697816110426932
REMIND-MAGPIE,SSP5-45,World,energyintensity,0.2%/y tolerance 2005-2020,-0.1026413521542664
REMIND-MAGPIE,SSP5-45,World,fossilco2,0.2%/y tolerance 2005-2020,0.12714261637663715
REMIND-MAGPIE,SSP5-45,World,pcgdpppp,0.2%/y tolerance 2005-2020,0.5868244963122979
REMIND-MAGPIE,SSP5-45,World,pop,0.2%/y tolerance 2005-2020,-0.20006236667712507
REMIND-MAGPIE,SSP5-60,World,co2intensity,0.2%/y tolerance 2005-2020,-0.15697816110426932
REMIND-MAGPIE,SSP5-60,World,energyintensity,0.2%/y tolerance 2005-2020,-0.1026413521542664
REMIND-MAGPIE,SSP5-60,World,fossilco2,0.2%/y tolerance 2005-2020,0.12714261637663715
REMIND-MAGPIE,SSP5-60,World,pcgdpppp,0.2%/y tolerance 2005-2020,0.5868244963122979
REMIND-MAGPIE,SSP5-60,World,pop,0.2%/y tolerance 2005-2020,-0.20006236667712507
WITCH-GLOBIOM,SSP1-26,World,co2intensity,0.2%/y tolerance 2005-2020,-0.23510520176337768
WITCH-GLOBIOM,SSP1-26,World,energyintensity,0.2%/y tolerance 2005-2020,0.18062568384430633
WITCH-GLOBIOM,SSP1-26,World,fossilco2,0.2%/y tolerance 2005-2020,0.17031155635138795
WITCH-GLOBIOM,SSP1-26,World,pcgdpppp,0.2%/y tolerance 2005-2020,0.4244057078678174
WITCH-GLOBIOM,SSP1-26,World,pop,0.2%/y tolerance 2005-2020,-0.1996146335973581
WITCH-GLOBIOM,SSP1-45,World,co2intensity,0.2%/y tolerance 2005-2020,-0.14318717821092908
WITCH-GLOBIOM,SSP1-45,World,energyintensity,0.2%/y tolerance 2005-2020,0.061455795896601995
WITCH-GLOBIOM,SSP1-45,World,fossilco2,0.2%/y tolerance 2005-2020,0.13726562314864732
WITCH-GLOBIOM,SSP1-45,World,pcgdpppp,0.2%/y tolerance 2005-2020,0.4186116390603325
WITCH-GLOBIOM,SSP1-45,World,pop,0.2%/y tolerance 2005-2020,-0.1996146335973581
WITCH-GLOBIOM,SSP1-60,World,co2intensity,0.2%/y tolerance 2005-2020,-0.11751043746542988
WITCH-GLOBIOM,SSP1-60,World,energyintensity,0.2%/y tolerance 2005-2020,0.011975788913405783
WITCH-GLOBIOM,SSP1-60,World,fossilco2,0.2%/y tolerance 2005-2020,0.11222148544806432
WITCH-GLOBIOM,SSP1-60,World,pcgdpppp,0.2%/y tolerance 2005-2020,0.4173707675974465
WITCH-GLOBIOM,SSP1-60,World,pop,0.2%/y tolerance 2005-2020,-0.1996146335973581
WITCH-GLOBIOM,SSP2-26,World,co2intensity,0.2%/y tolerance 2005-2020,-0.4294493638585659
WITCH-GLOBIOM,SSP2-26,World,energyintensity,0.2%/y tolerance 2005-2020,0.09390575377173027
WITCH-GLOBIOM,SSP2-26,World,fossilco2,0.2%/y tolerance 2005-2020,-0.14851318870326757
WITCH-GLOBIOM,SSP2-26,World,pcgdpppp,0.2%/y tolerance 2005-2020,0.303070062909611
WITCH-GLOBIOM,SSP2-26,World,pop,0.2%/y tolerance 2005-2020,-0.11603964152604296
WITCH-GLOBIOM,SSP3-34,World,co2intensity,0.2%/y tolerance 2005-2020,-0.30949282806772316
WITCH-GLOBIOM,SSP3-34,World,energyintensity,0.2%/y tolerance 2005-2020,0.330790944043023
WITCH-GLOBIOM,SSP3-34,World,fossilco2,0.2%/y tolerance 2005-2020,0.1421051294292841
WITCH-GLOBIOM,SSP3-34,World,pcgdpppp,0.2%/y tolerance 2005-2020,0.1717912047979906
WITCH-GLOBIOM,SSP3-34,World,pop,0.2%/y tolerance 2005-2020,-0.050984191344006335
WITCH-GLOBIOM,SSP4-19,World,co2intensity,0.2%/y tolerance 2005-2020,-0.04028079514842364
WITCH-GLOBIOM,SSP4-19,World,energyintensity,0.2%/y tolerance 2005-2020,-0.017961184790585172
WITCH-GLOBIOM,SSP4-19,World,fossilco2,0.2%/y tolerance 2005-2020,0.1070338084044633
WITCH-GLOBIOM,SSP4-19,World,pcgdpppp,0.2%/y tolerance 2005-2020,0.2915124452106117
WITCH-GLOBIOM,SSP4-19,World,pop,0.2%/y tolerance 2005-2020,-0.12623665686713959
WITCH-GLOBIOM,SSP5-34,World,co2intensity,0.2%/y tolerance 2005-2020,-0.2950853193051224
WITCH-GLOBIOM,SSP5-34,World,energyintensity,0.2%/y tolerance 2005-2020,-0.07643246408169313
WITCH-GLOBIOM,SSP5-34,World,fossilco2,0.2%/y tolerance 2005-2020,-0.08233638362456541
WITCH-GLOBIOM,SSP5-34,World,pcgdpppp,0.2%/y tolerance 2005-2020,0.4807479860507753
WITCH-GLOBIOM,SSP5-34,World,pop,0.2%/y tolerance 2005-2020,-0.1915665862885252
AIM/CGE,SSP2-19,World,co2intensity,0.3%/y tolerance 2005-2020,0.10490750631504686
AIM/CGE,SSP2-19,World,energyintensity,0.3%/y tolerance 2005-2020,-0.3515586926051826
AIM/CGE,SSP2-19,World,fossilco2,0.3%/y tolerance 2005-2020,0.1273281468873786
