MODEL,SCENARIO,REGION,variable,filter,growtherror,ieadivergencestps2020,2005-2040 divergence from IEA STPS
DNE21 V.12,AMPERE3-CF550,World,pop,0.1%/y tolerance 2005-2040,-0.1208880141709745,-0.10345416710309252,-0.1109258158464705
FARM_3.0,EMF27-550-Conv,World,co2intensity,0.1%/y tolerance 2005-2040,-0.4144025043767121,0.7202470509193926,0.23396867007820482
FARM_3.0,EMF27-550-Conv,World,energyintensity,0.1%/y tolerance 2005-2040,-1.0871079882361412,0.5484746455778292,-0.15248934034244382
FARM_3.0,EMF27-550-Conv,World,fossilco2,0.1%/y tolerance 2005-2040,-1.3056000237397956,0.8652255274347737,-0.06512828021147021
FARM_3.0,EMF27-550-Conv,World,pcgdpmer,0.1%/y tolerance 2005-2040,0.30492658271065,-0.30335558908016125,-0.04266322974124215
FARM_3.0,EMF27-550-Conv,World,pop,0.1%/y tolerance 2005-2040,-0.10901611383759224,-0.10014057998228687,-0.10394438020598917
FARM_3.0,EMF27-550-FullTech,World,co2intensity,0.1%/y tolerance 2005-2040,-0.49519913198757315,0.5309278737883039,0.09115915702721372
FARM_3.0,EMF27-550-FullTech,World,energyintensity,0.1%/y tolerance 2005-2040,-1.0120833935996005,0.7568258410643872,-0.0012781166487503826
FARM_3.0,EMF27-550-FullTech,World,fossilco2,0.1%/y tolerance 2005-2040,-1.3100446866874342,0.8934780199852471,-0.050888854303044795
FARM_3.0,EMF27-550-FullTech,World,pcgdpmer,0.1%/y tolerance 2005-2040,0.3062539527373316,-0.2941351148851571,-0.0368255144755191
FARM_3.0,EMF27-550-FullTech,World,pop,0.1%/y tolerance 2005-2040,-0.10901611383759224,-0.10014057998228687,-0.10394438020598917
FARM_3.0,EMF27-550-LimBio,World,co2intensity,0.1%/y tolerance 2005-2040,-0.4159623202575613,0.7115108007884561,0.22830803462587718
FARM_3.0,EMF27-550-LimBio,World,energyintensity,0.1%/y tolerance 2005-2040,-1.0865860267772627,0.5471558515228684,-0.1530192391771878
FARM_3.0,EMF27-550-LimBio,World,fossilco2,0.1%/y tolerance 2005-2040,-1.3065013774451284,0.8557744046613017,-0.07091521624145403
FARM_3.0,EMF27-550-LimBio,World,pcgdpmer,0.1%/y tolerance 2005-2040,0.30506308342728783,-0.30275166766773587,-0.04225963148415429
FARM_3.0,EMF27-550-LimBio,World,pop,0.1%/y tolerance 2005-2040,-0.10901611383759224,-0.10014057998228687,-0.10394438020598917
GCAM 3.0,AMPERE2-450-Conv-OPT,World,co2intensity,0.1%/y tolerance 2005-2040,-0.3041476781303931,-0.2545692972123759,-0.27581717474866896
GCAM 3.0,AMPERE2-450-Conv-OPT,World,energyintensity,0.1%/y tolerance 2005-2040,NA,NA,NA
GCAM 3.0,AMPERE2-450-Conv-OPT,World,fossilco2,0.1%/y tolerance 2005-2040,-0.466335341820286,0.24197066821378838,-0.06158905037224349
GCAM 3.0,AMPERE2-450-Conv-OPT,World,pcgdpmer,0.1%/y tolerance 2005-2040,NA,NA,NA
GCAM 3.0,AMPERE2-450-Conv-OPT,World,pop,0.1%/y tolerance 2005-2040,-0.1070809883385564,-0.10025797543912696,-0.10318212382459671
GCAM 3.0,AMPERE2-550-EERE-OPT,World,co2intensity,0.1%/y tolerance 2005-2040,0.05573441233928533,0.27302835672610254,0.17990238056032373
GCAM 3.0,AMPERE2-550-EERE-OPT,World,energyintensity,0.1%/y tolerance 2005-2040,NA,NA,NA
GCAM 3.0,AMPERE2-550-EERE-OPT,World,fossilco2,0.1%/y tolerance 2005-2040,-0.2961906534489276,0.38895221883225856,0.09531955928317878
GCAM 3.0,AMPERE2-550-EERE-OPT,World,pcgdpmer,0.1%/y tolerance 2005-2040,NA,NA,NA
GCAM 3.0,AMPERE2-550-EERE-OPT,World,pop,0.1%/y tolerance 2005-2040,-0.1070809883385564,-0.10025797543912696,-0.10318212382459671
GCAM 3.0,EMF27-450-FullTech,World,co2intensity,0.1%/y tolerance 2005-2040,-0.11673345876870012,-0.011123156482032492,-0.05638471460489004
GCAM 3.0,EMF27-450-FullTech,World,energyintensity,0.1%/y tolerance 2005-2040,0.14513281700783565,0.7835356582543832,0.5099344405772913
GCAM 3.0,EMF27-450-FullTech,World,fossilco2,0.1%/y tolerance 2005-2040,-0.24917536819123676,0.3352650230890946,0.0847905696832383
GCAM 3.0,EMF27-450-FullTech,World,pcgdpmer,0.1%/y tolerance 2005-2040,-0.1797043656808719,-0.22366943397564654,-0.20482726184931455
GCAM 3.0,EMF27-450-FullTech,World,pop,0.1%/y tolerance 2005-2040,-0.0978703607495004,-0.21347804470760956,-0.16393189443984849
GCAM 3.1,LIMITS-450,World,co2intensity,0.1%/y tolerance 2005-2040,-0.0961559731631243,-0.022182381147565267,-0.05388534915423342
GCAM 3.1,LIMITS-450,World,energyintensity,0.1%/y tolerance 2005-2040,0.16090985304131467,0.7855652504728275,0.5178557944307506
GCAM 3.1,LIMITS-450,World,fossilco2,0.1%/y tolerance 2005-2040,-0.21282084655218192,0.3262353906420062,0.09521128898735415
GCAM 3.1,LIMITS-450,World,pcgdpmer,0.1%/y tolerance 2005-2040,-0.1797043656808719,-0.22366943397564654,-0.20482726184931455
GCAM 3.1,LIMITS-450,World,pop,0.1%/y tolerance 2005-2040,-0.0978703607495004,-0.21347804470760956,-0.16393189443984849
GCAM 3.1,LIMITS-RefPol-450,World,co2intensity,0.1%/y tolerance 2005-2040,-0.04365327365459448,-0.09147468081059834,-0.07097979202945383
GCAM 3.1,LIMITS-RefPol-450,World,energyintensity,0.1%/y tolerance 2005-2040,0.5173736724034905,0.5145231459227066,0.5157448001287568
GCAM 3.1,LIMITS-RefPol-450,World,fossilco2,0.1%/y tolerance 2005-2040,0.19614567231852376,-0.014099013571147793,0.07600585181014001
GCAM 3.1,LIMITS-RefPol-450,World,pcgdpmer,0.1%/y tolerance 2005-2040,-0.1797043656808719,-0.22366943397564654,-0.20482726184931455
GCAM 3.1,LIMITS-RefPol-450,World,pop,0.1%/y tolerance 2005-2040,-0.0978703607495004,-0.21347804470760956,-0.16393189443984849
GCAM 3.1,LIMITS-RefPol-450-EE,World,co2intensity,0.1%/y tolerance 2005-2040,-0.04365327365459448,-0.09147468081059834,-0.07097979202945383
GCAM 3.1,LIMITS-RefPol-450-EE,World,energyintensity,0.1%/y tolerance 2005-2040,0.5173736724034905,0.5145231459227066,0.5157448001287568
GCAM 3.1,LIMITS-RefPol-450-EE,World,fossilco2,0.1%/y tolerance 2005-2040,0.19614567231852376,-0.014099013571147793,0.07600585181014001
GCAM 3.1,LIMITS-RefPol-450-EE,World,pcgdpmer,0.1%/y tolerance 2005-2040,-0.1797043656808719,-0.22366943397564654,-0.20482726184931455
GCAM 3.1,LIMITS-RefPol-450-EE,World,pop,0.1%/y tolerance 2005-2040,-0.0978703607495004,-0.21347804470760956,-0.16393189443984849
GCAM 3.1,LIMITS-RefPol-450-PC,World,co2intensity,0.1%/y tolerance 2005-2040,-0.04365327365459448,-0.09147468081059834,-0.07097979202945383
GCAM 3.1,LIMITS-RefPol-450-PC,World,energyintensity,0.1%/y tolerance 2005-2040,0.5173736724034905,0.5145231459227066,0.5157448001287568
GCAM 3.1,LIMITS-RefPol-450-PC,World,fossilco2,0.1%/y tolerance 2005-2040,0.19614567231852376,-0.014099013571147793,0.07600585181014001
GCAM 3.1,LIMITS-RefPol-450-PC,World,pcgdpmer,0.1%/y tolerance 2005-2040,-0.1797043656808719,-0.22366943397564654,-0.20482726184931455
GCAM 3.1,LIMITS-RefPol-450-PC,World,pop,0.1%/y tolerance 2005-2040,-0.0978703607495004,-0.21347804470760956,-0.16393189443984849
GCAM 3.1,LIMITS-StrPol-450,World,co2intensity,0.1%/y tolerance 2005-2040,-0.22093820068666226,0.02593992373069004,-0.07986498673388952
GCAM 3.1,LIMITS-StrPol-450,World,energyintensity,0.1%/y tolerance 2005-2040,0.4165515045025858,0.5841751773413321,0.5123364604104408
GCAM 3.1,LIMITS-StrPol-450,World,fossilco2,0.1%/y tolerance 2005-2040,-0.08196142261444872,0.172967622388766,0.06371231738738825
GCAM 3.1,LIMITS-StrPol-450,World,pcgdpmer,0.1%/y tolerance 2005-2040,-0.1797043656808719,-0.22366943397564654,-0.20482726184931455
GCAM 3.1,LIMITS-StrPol-450,World,pop,0.1%/y tolerance 2005-2040,-0.0978703607495004,-0.21347804470760956,-0.16393189443984849
GEM-E3-ICCS,AMPERE3-450P-CE,World,co2intensity,0.1%/y tolerance 2005-2040,NA,NA,NA
GEM-E3-ICCS,AMPERE3-450P-CE,World,energyintensity,0.1%/y tolerance 2005-2040,NA,NA,NA
GEM-E3-ICCS,AMPERE3-450P-CE,World,fossilco2,0.1%/y tolerance 2005-2040,0.09996086467342424,-0.025854061475978966,0.02806662115947955
GEM-E3-ICCS,AMPERE3-450P-CE,World,pcgdpmer,0.1%/y tolerance 2005-2040,0.4966656400347944,0.0383414383039834,0.23476609618861669
GEM-E3-ICCS,AMPERE3-450P-CE,World,pop,0.1%/y tolerance 2005-2040,-0.11011108010528114,-0.10315861731335751,-0.10613824422418192
GRAPE ver2011,EMF27-550-LowEI,World,co2intensity,0.1%/y tolerance 2005-2040,-0.26081966809965906,0.43812217527281366,0.13857567097032536
GRAPE ver2011,EMF27-550-LowEI,World,energyintensity,0.1%/y tolerance 2005-2040,-0.7793201905797862,0.04275560385034993,-0.3095625937625655
GRAPE ver2011,EMF27-550-LowEI,World,fossilco2,0.1%/y tolerance 2005-2040,-0.5128605330078204,0.26045061078295345,-0.07096845084166392
GRAPE ver2011,EMF27-550-LowEI,World,pcgdpmer,0.1%/y tolerance 2005-2040,0.6367889891933138,-0.08052679248252737,0.22689425680711883
GRAPE ver2011,EMF27-550-LowEI,World,pop,0.1%/y tolerance 2005-2040,-0.109509663521689,-0.13990037585768278,-0.1268757848565426
IMACLIM v1.1,AMPERE2-450-LowEI-OPT,World,co2intensity,0.1%/y tolerance 2005-2040,-0.44280560940233205,0.7998790615294992,0.2672999168444286
IMACLIM v1.1,AMPERE2-450-LowEI-OPT,World,energyintensity,0.1%/y tolerance 2005-2040,-0.39536124807560147,-0.3957420940820907,-0.39557887436502387
IMACLIM v1.1,AMPERE2-450-LowEI-OPT,World,fossilco2,0.1%/y tolerance 2005-2040,-0.555374116731479,0.4536451618995423,0.0212083282005332
IMACLIM v1.1,AMPERE2-450-LowEI-OPT,World,pcgdpmer,0.1%/y tolerance 2005-2040,0.4775170662519914,0.15246052693038437,0.2917704723539302
IMACLIM v1.1,AMPERE2-450-LowEI-OPT,World,pop,0.1%/y tolerance 2005-2040,-0.19472432550553687,-0.10295233247825053,-0.14228318663280182
IMACLIM v1.1,EMF27-550-Conv,World,co2intensity,0.1%/y tolerance 2005-2040,-0.1864721109651859,0.9516409289611647,0.4638781975641572
IMACLIM v1.1,EMF27-550-Conv,World,energyintensity,0.1%/y tolerance 2005-2040,NA,0.29186570415265767,NA
IMACLIM v1.1,EMF27-550-Conv,World,fossilco2,0.1%/y tolerance 2005-2040,-0.8633333666271438,0.7889645953108474,0.08083689733742261
IMACLIM v1.1,EMF27-550-Conv,World,pcgdpmer,0.1%/y tolerance 2005-2040,NA,-0.35158970532472444,NA
