MODEL,SCENARIO,REGION,variable,filter,growtherror
FARM_3.0,EMF27-Base-EERE,World,pop,0.1%/y tolerance 2005-2020,-0.10901611383759224
FARM_3.0,EMF27-Base-LowEI,World,co2intensity,0.1%/y tolerance 2005-2020,0.2166615982350082
FARM_3.0,EMF27-Base-LowEI,World,energyintensity,0.1%/y tolerance 2005-2020,-0.6260761475636571
FARM_3.0,EMF27-Base-LowEI,World,fossilco2,0.1%/y tolerance 2005-2020,-0.04773043199146643
FARM_3.0,EMF27-Base-LowEI,World,pcgdpmer,0.1%/y tolerance 2005-2020,0.4707002311747748
FARM_3.0,EMF27-Base-LowEI,World,pop,0.1%/y tolerance 2005-2020,-0.10901611383759224
GCAM 2.0,AME CO2 price $10 (5% p.a.),World,co2intensity,0.1%/y tolerance 2005-2020,-0.07071575613662939
GCAM 2.0,AME CO2 price $10 (5% p.a.),World,energyintensity,0.1%/y tolerance 2005-2020,0.32110036882376547
GCAM 2.0,AME CO2 price $10 (5% p.a.),World,fossilco2,0.1%/y tolerance 2005-2020,-0.02719011374323621
GCAM 2.0,AME CO2 price $10 (5% p.a.),World,pcgdpmer,0.1%/y tolerance 2005-2020,-0.1797043656808719
GCAM 2.0,AME CO2 price $10 (5% p.a.),World,pop,0.1%/y tolerance 2005-2020,-0.0978703607495004
GCAM 3.0,AMPERE2-450-LowEI-LST,World,co2intensity,0.1%/y tolerance 2005-2020,0.1936100401914378
GCAM 3.0,AMPERE2-450-LowEI-LST,World,energyintensity,0.1%/y tolerance 2005-2020,NA
GCAM 3.0,AMPERE2-450-LowEI-LST,World,fossilco2,0.1%/y tolerance 2005-2020,0.01707600828618827
GCAM 3.0,AMPERE2-450-LowEI-LST,World,pcgdpmer,0.1%/y tolerance 2005-2020,NA
GCAM 3.0,AMPERE2-450-LowEI-LST,World,pop,0.1%/y tolerance 2005-2020,-0.1070809883385564
GCAM 3.0,AMPERE2-550-LowEI-OPT,World,co2intensity,0.1%/y tolerance 2005-2020,0.18660806727402157
GCAM 3.0,AMPERE2-550-LowEI-OPT,World,energyintensity,0.1%/y tolerance 2005-2020,NA
GCAM 3.0,AMPERE2-550-LowEI-OPT,World,fossilco2,0.1%/y tolerance 2005-2020,5.824111804355603e-4
GCAM 3.0,AMPERE2-550-LowEI-OPT,World,pcgdpmer,0.1%/y tolerance 2005-2020,NA
GCAM 3.0,AMPERE2-550-LowEI-OPT,World,pop,0.1%/y tolerance 2005-2020,-0.1070809883385564
GCAM 3.0,EMF27-Base-EERE,World,co2intensity,0.1%/y tolerance 2005-2020,0.21749018634692674
GCAM 3.0,EMF27-Base-EERE,World,energyintensity,0.1%/y tolerance 2005-2020,0.05708749735258123
GCAM 3.0,EMF27-Base-EERE,World,fossilco2,0.1%/y tolerance 2005-2020,-0.002997042730864319
GCAM 3.0,EMF27-Base-EERE,World,pcgdpmer,0.1%/y tolerance 2005-2020,-0.1797043656808719
GCAM 3.0,EMF27-Base-EERE,World,pop,0.1%/y tolerance 2005-2020,-0.0978703607495004
GCAM 3.0,EMF27-Base-LowEI,World,co2intensity,0.1%/y tolerance 2005-2020,0.18356041131377232
GCAM 3.0,EMF27-Base-LowEI,World,energyintensity,0.1%/y tolerance 2005-2020,0.027637008593090817
GCAM 3.0,EMF27-Base-LowEI,World,fossilco2,0.1%/y tolerance 2005-2020,-0.06637730652350915
GCAM 3.0,EMF27-Base-LowEI,World,pcgdpmer,0.1%/y tolerance 2005-2020,-0.1797043656808719
GCAM 3.0,EMF27-Base-LowEI,World,pop,0.1%/y tolerance 2005-2020,-0.0978703607495004
GCAM 3.0,EMF27-FP-FullTech,World,co2intensity,0.1%/y tolerance 2005-2020,-0.017510162778362037
GCAM 3.0,EMF27-FP-FullTech,World,energyintensity,0.1%/y tolerance 2005-2020,0.3296638182702958
GCAM 3.0,EMF27-FP-FullTech,World,fossilco2,0.1%/y tolerance 2005-2020,0.03457892906156146
GCAM 3.0,EMF27-FP-FullTech,World,pcgdpmer,0.1%/y tolerance 2005-2020,-0.1797043656808719
GCAM 3.0,EMF27-FP-FullTech,World,pop,0.1%/y tolerance 2005-2020,-0.0978703607495004
GCAM 3.0,EMF27-G8-FullTech,World,co2intensity,0.1%/y tolerance 2005-2020,-0.05109878642216814
GCAM 3.0,EMF27-G8-FullTech,World,energyintensity,0.1%/y tolerance 2005-2020,0.3008772855797568
GCAM 3.0,EMF27-G8-FullTech,World,fossilco2,0.1%/y tolerance 2005-2020,-0.027796227272783636
GCAM 3.0,EMF27-G8-FullTech,World,pcgdpmer,0.1%/y tolerance 2005-2020,-0.1797043656808719
GCAM 3.0,EMF27-G8-FullTech,World,pop,0.1%/y tolerance 2005-2020,-0.0978703607495004
GCAM 3.1,LIMITS-500,World,co2intensity,0.1%/y tolerance 2005-2020,-0.026415298627974648
GCAM 3.1,LIMITS-500,World,energyintensity,0.1%/y tolerance 2005-2020,0.23467979922798698
GCAM 3.1,LIMITS-500,World,fossilco2,0.1%/y tolerance 2005-2020,-0.06931022583035995
GCAM 3.1,LIMITS-500,World,pcgdpmer,0.1%/y tolerance 2005-2020,-0.1797043656808719
GCAM 3.1,LIMITS-500,World,pop,0.1%/y tolerance 2005-2020,-0.0978703607495004
GCAM 3.1,LIMITS-StrPol,World,co2intensity,0.1%/y tolerance 2005-2020,-0.22093820068666226
GCAM 3.1,LIMITS-StrPol,World,energyintensity,0.1%/y tolerance 2005-2020,0.4165515045025858
GCAM 3.1,LIMITS-StrPol,World,fossilco2,0.1%/y tolerance 2005-2020,-0.08196142261444872
GCAM 3.1,LIMITS-StrPol,World,pcgdpmer,0.1%/y tolerance 2005-2020,-0.1797043656808719
GCAM 3.1,LIMITS-StrPol,World,pop,0.1%/y tolerance 2005-2020,-0.0978703607495004
GCAM 3.1,LIMITS-StrPol-450,World,co2intensity,0.1%/y tolerance 2005-2020,-0.22093820068666226
GCAM 3.1,LIMITS-StrPol-450,World,energyintensity,0.1%/y tolerance 2005-2020,0.4165515045025858
GCAM 3.1,LIMITS-StrPol-450,World,fossilco2,0.1%/y tolerance 2005-2020,-0.08196142261444872
GCAM 3.1,LIMITS-StrPol-450,World,pcgdpmer,0.1%/y tolerance 2005-2020,-0.1797043656808719
GCAM 3.1,LIMITS-StrPol-450,World,pop,0.1%/y tolerance 2005-2020,-0.0978703607495004
GCAM 3.1,LIMITS-StrPol-500,World,co2intensity,0.1%/y tolerance 2005-2020,-0.22093820068666226
GCAM 3.1,LIMITS-StrPol-500,World,energyintensity,0.1%/y tolerance 2005-2020,0.4165515045025858
GCAM 3.1,LIMITS-StrPol-500,World,fossilco2,0.1%/y tolerance 2005-2020,-0.08196142261444872
GCAM 3.1,LIMITS-StrPol-500,World,pcgdpmer,0.1%/y tolerance 2005-2020,-0.1797043656808719
GCAM 3.1,LIMITS-StrPol-500,World,pop,0.1%/y tolerance 2005-2020,-0.0978703607495004
GEM-E3-ICCS,AMPERE3-450,World,co2intensity,0.1%/y tolerance 2005-2020,NA
GEM-E3-ICCS,AMPERE3-450,World,energyintensity,0.1%/y tolerance 2005-2020,NA
GEM-E3-ICCS,AMPERE3-450,World,fossilco2,0.1%/y tolerance 2005-2020,-0.0055350313139763685
GEM-E3-ICCS,AMPERE3-450,World,pcgdpmer,0.1%/y tolerance 2005-2020,0.4894074050538799
GEM-E3-ICCS,AMPERE3-450,World,pop,0.1%/y tolerance 2005-2020,-0.11011108010528114
GEM-E3-ICCS,AMPERE3-450P-CE,World,co2intensity,0.1%/y tolerance 2005-2020,NA
GEM-E3-ICCS,AMPERE3-450P-CE,World,energyintensity,0.1%/y tolerance 2005-2020,NA
GEM-E3-ICCS,AMPERE3-450P-CE,World,fossilco2,0.1%/y tolerance 2005-2020,0.09996086467342424
GEM-E3-ICCS,AMPERE3-450P-CE,World,pcgdpmer,0.1%/y tolerance 2005-2020,0.4966656400347944
GEM-E3-ICCS,AMPERE3-450P-CE,World,pop,0.1%/y tolerance 2005-2020,-0.11011108010528114
GEM-E3-ICCS,AMPERE3-550,World,co2intensity,0.1%/y tolerance 2005-2020,NA
GEM-E3-ICCS,AMPERE3-550,World,energyintensity,0.1%/y tolerance 2005-2020,NA
GEM-E3-ICCS,AMPERE3-550,World,fossilco2,0.1%/y tolerance 2005-2020,0.0811349335253877
GEM-E3-ICCS,AMPERE3-550,World,pcgdpmer,0.1%/y tolerance 2005-2020,0.4855844407216383
GEM-E3-ICCS,AMPERE3-550,World,pop,0.1%/y tolerance 2005-2020,-0.11011108010528114
GEM-E3-ICCS,AMPERE3-CF450,World,co2intensity,0.1%/y tolerance 2005-2020,NA
GEM-E3-ICCS,AMPERE3-CF450,World,energyintensity,0.1%/y tolerance 2005-2020,NA
GEM-E3-ICCS,AMPERE3-CF450,World,fossilco2,0.1%/y tolerance 2005-2020,0.028232191473872792
GEM-E3-ICCS,AMPERE3-CF450,World,pcgdpmer,0.1%/y tolerance 2005-2020,0.4870857462062974
GEM-E3-ICCS,AMPERE3-CF450,World,pop,0.1%/y tolerance 2005-2020,-0.11011108010528114
GRAPE ver2011,EMF27-550-Conv,World,co2intensity,0.1%/y tolerance 2005-2020,-0.2825815969705632
GRAPE ver2011,EMF27-550-Conv,World,energyintensity,0.1%/y tolerance 2005-2020,-0.29577109489792663
GRAPE ver2011,EMF27-550-Conv,World,fossilco2,0.1%/y tolerance 2005-2020,-0.051689051772146666
GRAPE ver2011,EMF27-550-Conv,World,pcgdpmer,0.1%/y tolerance 2005-2020,0.6361733036180321
GRAPE ver2011,EMF27-550-Conv,World,pop,0.1%/y tolerance 2005-2020,-0.109509663521689
GRAPE ver2011,EMF27-550-LimBio,World,co2intensity,0.1%/y tolerance 2005-2020,-0.28110947299510114
GRAPE ver2011,EMF27-550-LimBio,World,energyintensity,0.1%/y tolerance 2005-2020,-0.295367405028063
GRAPE ver2011,EMF27-550-LimBio,World,fossilco2,0.1%/y tolerance 2005-2020,-0.0478701545286746
GRAPE ver2011,EMF27-550-LimBio,World,pcgdpmer,0.1%/y tolerance 2005-2020,0.6381163870161786
GRAPE ver2011,EMF27-550-LimBio,World,pop,0.1%/y tolerance 2005-2020,-0.109509663521689
IMACLIM v1.1,AMPERE2-450-LowEI-LST,World,co2intensity,0.1%/y tolerance 2005-2020,-0.2797661251512227
IMACLIM v1.1,AMPERE2-450-LowEI-LST,World,energyintensity,0.1%/y tolerance 2005-2020,-0.3212168547847023
IMACLIM v1.1,AMPERE2-450-LowEI-LST,World,fossilco2,0.1%/y tolerance 2005-2020,-0.08026888376014618
IMACLIM v1.1,AMPERE2-450-LowEI-LST,World,pcgdpmer,0.1%/y tolerance 2005-2020,0.7154384216813157
IMACLIM v1.1,AMPERE2-450-LowEI-LST,World,pop,0.1%/y tolerance 2005-2020,-0.19472432550553687
IMACLIM v1.1,AMPERE3-450,World,co2intensity,0.1%/y tolerance 2005-2020,-0.25735349227821214
IMACLIM v1.1,AMPERE3-450,World,energyintensity,0.1%/y tolerance 2005-2020,-0.09723576707366499
IMACLIM v1.1,AMPERE3-450,World,fossilco2,0.1%/y tolerance 2005-2020,-0.026659978407167717
IMACLIM v1.1,AMPERE3-450,World,pcgdpmer,0.1%/y tolerance 2005-2020,0.5226536064502463
IMACLIM v1.1,AMPERE3-450,World,pop,0.1%/y tolerance 2005-2020,-0.19472432550553687
IMAGE 2.4,AMPERE2-450-LowEI-HST,World,co2intensity,0.1%/y tolerance 2005-2020,0.05875026493563995
IMAGE 2.4,AMPERE2-450-LowEI-HST,World,energyintensity,0.1%/y tolerance 2005-2020,-0.8944739374431143
