MODEL,SCENARIO,REGION,variable,DATABASE,sensitivity,percent
AIM-Enduse[Backcast] 1.0,LIMITS-Base,OECD90,pcgdpmer,AR5,percent,0.4248810653284264
AIM-Enduse[Backcast] 1.0,LIMITS-Base,REF,pcgdpmer,AR5,percent,1.563859564928648
AIM-Enduse[Backcast] 1.0,LIMITS-Base,World,pcgdpmer,AR5,percent,0.6045623713908319
BET 1.5,EMF27-Base-Conv,ASIA,pcgdpmer,AR5,percent,0.37151393710449976
BET 1.5,EMF27-Base-Conv,LAM,pcgdpmer,AR5,percent,1.3230566618029833
BET 1.5,EMF27-Base-Conv,MAF,pcgdpmer,AR5,percent,0.23647398277650256
BET 1.5,EMF27-Base-Conv,OECD90,pcgdpmer,AR5,percent,0.6924717400574478
BET 1.5,EMF27-Base-Conv,REF,pcgdpmer,AR5,percent,2.7712908655681763
BET 1.5,EMF27-Base-Conv,World,pcgdpmer,AR5,percent,0.7581135641988843
BET 1.5,EMF27-Base-EERE,ASIA,pcgdpmer,AR5,percent,0.49196727962347775
BET 1.5,EMF27-Base-EERE,LAM,pcgdpmer,AR5,percent,1.514928864770107
BET 1.5,EMF27-Base-EERE,MAF,pcgdpmer,AR5,percent,0.2548508657309707
BET 1.5,EMF27-Base-EERE,OECD90,pcgdpmer,AR5,percent,0.7132619427214744
BET 1.5,EMF27-Base-EERE,REF,pcgdpmer,AR5,percent,2.4708129383437734
BET 1.5,EMF27-Base-EERE,World,pcgdpmer,AR5,percent,0.8111692069187981
BET 1.5,EMF27-Base-FullTech,ASIA,pcgdpmer,AR5,percent,0.3702956000973854
BET 1.5,EMF27-Base-FullTech,LAM,pcgdpmer,AR5,percent,1.325298335662422
BET 1.5,EMF27-Base-FullTech,MAF,pcgdpmer,AR5,percent,0.29701210798832056
BET 1.5,EMF27-Base-FullTech,OECD90,pcgdpmer,AR5,percent,0.6925237060884639
BET 1.5,EMF27-Base-FullTech,REF,pcgdpmer,AR5,percent,2.706113741879338
BET 1.5,EMF27-Base-FullTech,World,pcgdpmer,AR5,percent,0.7586637185237066
BET 1.5,EMF27-Base-LimBio,ASIA,pcgdpmer,AR5,percent,0.37163548027983473
BET 1.5,EMF27-Base-LimBio,LAM,pcgdpmer,AR5,percent,1.3229536557413595
BET 1.5,EMF27-Base-LimBio,MAF,pcgdpmer,AR5,percent,0.2567975348479319
BET 1.5,EMF27-Base-LimBio,OECD90,pcgdpmer,AR5,percent,0.6924247996146855
BET 1.5,EMF27-Base-LimBio,REF,pcgdpmer,AR5,percent,2.7440784355822703
BET 1.5,EMF27-Base-LimBio,World,pcgdpmer,AR5,percent,0.7581473304601736
BET 1.5,EMF27-Base-LimSW,ASIA,pcgdpmer,AR5,percent,0.37021301490407654
BET 1.5,EMF27-Base-LimSW,LAM,pcgdpmer,AR5,percent,1.324283696962572
BET 1.5,EMF27-Base-LimSW,MAF,pcgdpmer,AR5,percent,0.3082295462391542
BET 1.5,EMF27-Base-LimSW,OECD90,pcgdpmer,AR5,percent,0.6925314768304989
BET 1.5,EMF27-Base-LimSW,REF,pcgdpmer,AR5,percent,2.690930480033195
BET 1.5,EMF27-Base-LimSW,World,pcgdpmer,AR5,percent,0.7586146351174965
BET 1.5,EMF27-Base-LimTech,ASIA,pcgdpmer,AR5,percent,0.4915342914839014
BET 1.5,EMF27-Base-LimTech,LAM,pcgdpmer,AR5,percent,1.4858975979365008
BET 1.5,EMF27-Base-LimTech,MAF,pcgdpmer,AR5,percent,0.3894274414546346
BET 1.5,EMF27-Base-LimTech,OECD90,pcgdpmer,AR5,percent,0.7128888033741663
BET 1.5,EMF27-Base-LimTech,REF,pcgdpmer,AR5,percent,2.375473354690022
BET 1.5,EMF27-Base-LimTech,World,pcgdpmer,AR5,percent,0.8106496465156594
BET 1.5,EMF27-Base-LowEI,ASIA,pcgdpmer,AR5,percent,0.49160636779722267
BET 1.5,EMF27-Base-LowEI,LAM,pcgdpmer,AR5,percent,1.4781331198710794
BET 1.5,EMF27-Base-LowEI,MAF,pcgdpmer,AR5,percent,0.4408826958769252
BET 1.5,EMF27-Base-LowEI,OECD90,pcgdpmer,AR5,percent,0.7129863584108433
