MODEL,SCENARIO,REGION,variable,DATABASE,growthmeasure,percent
AIM-Enduse 12.1,EMF27-Base-Conv,ASIA,pcgdpmer,AR5,catchup40,2.966168493177133
AIM-Enduse 12.1,EMF27-Base-Conv,LAM,pcgdpmer,AR5,catchup40,4.5187768159110355
AIM-Enduse 12.1,EMF27-Base-Conv,MAF,pcgdpmer,AR5,catchup40,4.421923802212763
AIM-Enduse 12.1,EMF27-Base-Conv,OECD90,pcgdpmer,AR5,catchup40,1.592167771825197
AIM-Enduse 12.1,EMF27-Base-Conv,REF,pcgdpmer,AR5,catchup40,5.213557063587738
AIM-Enduse 12.1,EMF27-Base-Conv,World,pcgdpmer,AR5,catchup40,2.200518264335223
AIM-Enduse 12.1,EMF27-Base-EERE,ASIA,pcgdpmer,AR5,catchup40,2.966168493177133
AIM-Enduse 12.1,EMF27-Base-EERE,LAM,pcgdpmer,AR5,catchup40,4.5187768159110355
AIM-Enduse 12.1,EMF27-Base-EERE,MAF,pcgdpmer,AR5,catchup40,4.421923802212763
AIM-Enduse 12.1,EMF27-Base-EERE,OECD90,pcgdpmer,AR5,catchup40,1.592167771825197
AIM-Enduse 12.1,EMF27-Base-EERE,REF,pcgdpmer,AR5,catchup40,5.213557063587738
AIM-Enduse 12.1,EMF27-Base-EERE,World,pcgdpmer,AR5,catchup40,2.200518264335223
AIM-Enduse 12.1,EMF27-Base-FullTech,ASIA,pcgdpmer,AR5,catchup40,2.966168493177133
AIM-Enduse 12.1,EMF27-Base-FullTech,LAM,pcgdpmer,AR5,catchup40,4.5187768159110355
AIM-Enduse 12.1,EMF27-Base-FullTech,MAF,pcgdpmer,AR5,catchup40,4.421923802212763
AIM-Enduse 12.1,EMF27-Base-FullTech,OECD90,pcgdpmer,AR5,catchup40,1.592167771825197
AIM-Enduse 12.1,EMF27-Base-FullTech,REF,pcgdpmer,AR5,catchup40,5.213557063587738
AIM-Enduse 12.1,EMF27-Base-FullTech,World,pcgdpmer,AR5,catchup40,2.200518264335223
AIM-Enduse 12.1,EMF27-Base-LimBio,ASIA,pcgdpmer,AR5,catchup40,2.966168493177133
AIM-Enduse 12.1,EMF27-Base-LimBio,LAM,pcgdpmer,AR5,catchup40,4.5187768159110355
AIM-Enduse 12.1,EMF27-Base-LimBio,MAF,pcgdpmer,AR5,catchup40,4.421923802212763
AIM-Enduse 12.1,EMF27-Base-LimBio,OECD90,pcgdpmer,AR5,catchup40,1.592167771825197
AIM-Enduse 12.1,EMF27-Base-LimBio,REF,pcgdpmer,AR5,catchup40,5.213557063587738
AIM-Enduse 12.1,EMF27-Base-LimBio,World,pcgdpmer,AR5,catchup40,2.200518264335223
AIM-Enduse 12.1,EMF27-Base-LimSW,ASIA,pcgdpmer,AR5,catchup40,2.966168493177133
AIM-Enduse 12.1,EMF27-Base-LimSW,LAM,pcgdpmer,AR5,catchup40,4.5187768159110355
AIM-Enduse 12.1,EMF27-Base-LimSW,MAF,pcgdpmer,AR5,catchup40,4.421923802212763
AIM-Enduse 12.1,EMF27-Base-LimSW,OECD90,pcgdpmer,AR5,catchup40,1.592167771825197
AIM-Enduse 12.1,EMF27-Base-LimSW,REF,pcgdpmer,AR5,catchup40,5.213557063587738
AIM-Enduse 12.1,EMF27-Base-LimSW,World,pcgdpmer,AR5,catchup40,2.200518264335223
AIM-Enduse 12.1,EMF27-Base-LimTech,ASIA,pcgdpmer,AR5,catchup40,2.966168493177133
AIM-Enduse 12.1,EMF27-Base-LimTech,LAM,pcgdpmer,AR5,catchup40,4.5187768159110355
AIM-Enduse 12.1,EMF27-Base-LimTech,MAF,pcgdpmer,AR5,catchup40,4.421923802212763
AIM-Enduse 12.1,EMF27-Base-LimTech,OECD90,pcgdpmer,AR5,catchup40,1.592167771825197
