MODEL,SCENARIO,REGION,variable,percent,resulttype,sensadj1,sensadj2,DATABASE,grerrsens1,grerrsens2
AIM-Enduse 12.1,EMF27-Base-Conv,ASIA,pcgdpmer,-1.0717365025854042,growtherror,-0.11534761796874271,-0.18413339302708653,AR5,-0.9563888846166615,-0.8876031095583177
AIM-Enduse 12.1,EMF27-Base-Conv,LAM,pcgdpmer,1.3723139628455638,growtherror,0.09611336166010664,-0.2811606209436719,AR5,1.2762006011854572,1.6534745837892357
AIM-Enduse 12.1,EMF27-Base-Conv,MAF,pcgdpmer,1.2454704187042465,growtherror,0.10016240169222135,-0.3435738230950709,AR5,1.1453080170120251,1.5890442417993174
AIM-Enduse 12.1,EMF27-Base-Conv,OECD90,pcgdpmer,0.17303385385064085,growtherror,0.371857896203182,0.20335995390724138,AR5,-0.19882404235254114,-0.030326100056600525
AIM-Enduse 12.1,EMF27-Base-Conv,REF,pcgdpmer,1.0866673803834146,growtherror,0.7606638175974099,0.06938373987776814,AR5,0.32600356278600473,1.0172836405056465
AIM-Enduse 12.1,EMF27-Base-Conv,World,pcgdpmer,0.00560088992936425,growtherror,0.28066366201143733,0.08625502887974612,AR5,-0.2750627720820731,-0.08065413895038187
AIM-Enduse 12.1,EMF27-Base-EERE,ASIA,pcgdpmer,-1.0717365025854042,growtherror,-0.11534761796874271,-0.18413339302708653,AR5,-0.9563888846166615,-0.8876031095583177
AIM-Enduse 12.1,EMF27-Base-EERE,LAM,pcgdpmer,1.3723139628455638,growtherror,0.09611336166010664,-0.2811606209436719,AR5,1.2762006011854572,1.6534745837892357
AIM-Enduse 12.1,EMF27-Base-EERE,MAF,pcgdpmer,1.2454704187042465,growtherror,0.10016240169222135,-0.3435738230950709,AR5,1.1453080170120251,1.5890442417993174
AIM-Enduse 12.1,EMF27-Base-EERE,OECD90,pcgdpmer,0.17303385385064085,growtherror,0.371857896203182,0.20335995390724138,AR5,-0.19882404235254114,-0.030326100056600525
AIM-Enduse 12.1,EMF27-Base-EERE,REF,pcgdpmer,1.0866673803834146,growtherror,0.7606638175974099,0.06938373987776814,AR5,0.32600356278600473,1.0172836405056465
AIM-Enduse 12.1,EMF27-Base-EERE,World,pcgdpmer,0.00560088992936425,growtherror,0.28066366201143733,0.08625502887974612,AR5,-0.2750627720820731,-0.08065413895038187
AIM-Enduse 12.1,EMF27-Base-FullTech,ASIA,pcgdpmer,-1.0717365025854042,growtherror,-0.11534761796874271,-0.18413339302708653,AR5,-0.9563888846166615,-0.8876031095583177
AIM-Enduse 12.1,EMF27-Base-FullTech,LAM,pcgdpmer,1.3723139628455638,growtherror,0.09611336166010664,-0.2811606209436719,AR5,1.2762006011854572,1.6534745837892357
AIM-Enduse 12.1,EMF27-Base-FullTech,MAF,pcgdpmer,1.2454704187042465,growtherror,0.10016240169222135,-0.3435738230950709,AR5,1.1453080170120251,1.5890442417993174
AIM-Enduse 12.1,EMF27-Base-FullTech,OECD90,pcgdpmer,0.17303385385064085,growtherror,0.371857896203182,0.20335995390724138,AR5,-0.19882404235254114,-0.030326100056600525
AIM-Enduse 12.1,EMF27-Base-FullTech,REF,pcgdpmer,1.0866673803834146,growtherror,0.7606638175974099,0.06938373987776814,AR5,0.32600356278600473,1.0172836405056465
AIM-Enduse 12.1,EMF27-Base-FullTech,World,pcgdpmer,0.00560088992936425,growtherror,0.28066366201143733,0.08625502887974612,AR5,-0.2750627720820731,-0.08065413895038187
AIM-Enduse 12.1,EMF27-Base-LimBio,ASIA,pcgdpmer,-1.0717365025854042,growtherror,-0.11534761796874271,-0.18413339302708653,AR5,-0.9563888846166615,-0.8876031095583177
AIM-Enduse 12.1,EMF27-Base-LimBio,LAM,pcgdpmer,1.3723139628455638,growtherror,0.09611336166010664,-0.2811606209436719,AR5,1.2762006011854572,1.6534745837892357
AIM-Enduse 12.1,EMF27-Base-LimBio,MAF,pcgdpmer,1.2454704187042465,growtherror,0.10016240169222135,-0.3435738230950709,AR5,1.1453080170120251,1.5890442417993174
AIM-Enduse 12.1,EMF27-Base-LimBio,OECD90,pcgdpmer,0.17303385385064085,growtherror,0.371857896203182,0.20335995390724138,AR5,-0.19882404235254114,-0.030326100056600525
AIM-Enduse 12.1,EMF27-Base-LimBio,REF,pcgdpmer,1.0866673803834146,growtherror,0.7606638175974099,0.06938373987776814,AR5,0.32600356278600473,1.0172836405056465
AIM-Enduse 12.1,EMF27-Base-LimBio,World,pcgdpmer,0.00560088992936425,growtherror,0.28066366201143733,0.08625502887974612,AR5,-0.2750627720820731,-0.08065413895038187
AIM-Enduse 12.1,EMF27-Base-LimSW,ASIA,pcgdpmer,-1.0717365025854042,growtherror,-0.11534761796874271,-0.18413339302708653,AR5,-0.9563888846166615,-0.8876031095583177
AIM-Enduse 12.1,EMF27-Base-LimSW,LAM,pcgdpmer,1.3723139628455638,growtherror,0.09611336166010664,-0.2811606209436719,AR5,1.2762006011854572,1.6534745837892357
AIM-Enduse 12.1,EMF27-Base-LimSW,MAF,pcgdpmer,1.2454704187042465,growtherror,0.10016240169222135,-0.3435738230950709,AR5,1.1453080170120251,1.5890442417993174
AIM-Enduse 12.1,EMF27-Base-LimSW,OECD90,pcgdpmer,0.17303385385064085,growtherror,0.371857896203182,0.20335995390724138,AR5,-0.19882404235254114,-0.030326100056600525
AIM-Enduse 12.1,EMF27-Base-LimSW,REF,pcgdpmer,1.0866673803834146,growtherror,0.7606638175974099,0.06938373987776814,AR5,0.32600356278600473,1.0172836405056465
