MODEL,SCENARIO,REGION,variable,percent,resulttype
BET 1.5,EMF27-Base-Conv,LAM,fossilco2,0.9141205490570066,growtherror
BET 1.5,EMF27-Base-Conv,MAF,fossilco2,-0.5924909750937633,growtherror
BET 1.5,EMF27-Base-Conv,OECD90,fossilco2,1.7238527507958867,growtherror
BET 1.5,EMF27-Base-Conv,REF,fossilco2,1.939018130974007,growtherror
BET 1.5,EMF27-Base-Conv,World,fossilco2,0.9523003287148619,growtherror
BET 1.5,EMF27-Base-EERE,ASIA,fossilco2,-0.23851414699725737,growtherror
BET 1.5,EMF27-Base-EERE,LAM,fossilco2,0.6467029735087224,growtherror
BET 1.5,EMF27-Base-EERE,MAF,fossilco2,-0.77172629283749306,growtherror
BET 1.5,EMF27-Base-EERE,OECD90,fossilco2,1.5800780869343092,growtherror
BET 1.5,EMF27-Base-EERE,REF,fossilco2,1.7047413170102448,growtherror
BET 1.5,EMF27-Base-EERE,World,fossilco2,0.5597863384471531,growtherror
BET 1.5,EMF27-Base-FullTech,ASIA,fossilco2,0.4217942579261029,growtherror
BET 1.5,EMF27-Base-FullTech,LAM,fossilco2,0.7174837076286389,growtherror
BET 1.5,EMF27-Base-FullTech,MAF,fossilco2,-0.7229540379418937,growtherror
BET 1.5,EMF27-Base-FullTech,OECD90,fossilco2,1.7274473301736126,growtherror
BET 1.5,EMF27-Base-FullTech,REF,fossilco2,1.9528982873471532,growtherror
BET 1.5,EMF27-Base-FullTech,World,fossilco2,0.9427416489757305,growtherror
BET 1.5,EMF27-Base-LimBio,ASIA,fossilco2,0.3962107607021714,growtherror
BET 1.5,EMF27-Base-LimBio,LAM,fossilco2,0.9150827095958931,growtherror
BET 1.5,EMF27-Base-LimBio,MAF,fossilco2,-0.5912394477270264,growtherror
BET 1.5,EMF27-Base-LimBio,OECD90,fossilco2,1.7223130865901335,growtherror
BET 1.5,EMF27-Base-LimBio,REF,fossilco2,1.939591158567501,growtherror
BET 1.5,EMF27-Base-LimBio,World,fossilco2,0.9521173477318918,growtherror
BET 1.5,EMF27-Base-LimSW,ASIA,fossilco2,0.42080045808428856,growtherror
BET 1.5,EMF27-Base-LimSW,LAM,fossilco2,0.7164788871291812,growtherror
BET 1.5,EMF27-Base-LimSW,MAF,fossilco2,-0.724634238200907,growtherror
BET 1.5,EMF27-Base-LimSW,OECD90,fossilco2,1.7263669430071569,growtherror
BET 1.5,EMF27-Base-LimSW,REF,fossilco2,1.9514323910464346,growtherror
BET 1.5,EMF27-Base-LimSW,World,fossilco2,0.9415663325124364,growtherror
BET 1.5,EMF27-Base-LimTech,ASIA,fossilco2,-0.2457528100375761,growtherror
BET 1.5,EMF27-Base-LimTech,LAM,fossilco2,0.6921775071237342,growtherror
BET 1.5,EMF27-Base-LimTech,MAF,fossilco2,-0.7016776826082793,growtherror
BET 1.5,EMF27-Base-LimTech,OECD90,fossilco2,1.5768108356774344,growtherror
BET 1.5,EMF27-Base-LimTech,REF,fossilco2,1.6985662799300272,growtherror
